ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2006_2010,5,+Forest,0.00,"15.65(12.35,18.91)***","16.31(12.96,19.57)***","15.00(11.51,18.44)***","10.21(6.46,13.84)***",0.0002,0.0002,0.0002,0.0002,1.0002,1.0003,0.9999,1.0013,1858,1712,1581,1442,2524,2075,1920,1994
"C00_C97","2011_2015",10,"+Forest","0.00","15.33(12.27,18.42)***","15.38(12.34,18.33)***","14.16(10.91,17.44)***","7.50(4.10,11.02)***","0.0002","0.0002","0.0002","0.0002","1.0004","1.0002","1.0015","1.0014",1593,1486,1245,1305,2340,2449,2047,2163
"C00_C97","2016_2020",15,"+Forest","0.00","14.10(11.01,17.10)***","11.96(9.11,14.97)***","9.54(6.35,12.75)***","1.29(-2.09,4.56)","0.0002","0.0002","0.0002","0.4486","1.0015","1.0010","1.0010","1.0003",1626,1585,1509,1463,2458,2514,2077,1928
