ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Smoking_Rate,uninsured_rate_2005,physician_density_per100k,forest_coverage,site_number_mean
G20_G30_G12.2_F01_F03,2006_2010,5,+Forest,,,,"2.05(1.25,2.87)***",
"G20_G30_G12.2_F01_F03","2011_2015",10,"+Forest","","","","2.25(1.39,3.12)***",""
"G20_G30_G12.2_F01_F03","2016_2020",15,"+Forest","","","","0.98(0.10,1.87)*",""
