ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2006_2010,5,+Doctor,0.00,"15.23(12.03,18.68)***","15.86(12.52,19.23)***","14.02(10.46,17.65)***","8.44(4.42,12.40)***",0.0002,0.0002,0.0002,0.0007,1.0020,1.0020,1.0024,1.0019,1879,1694,1638,1611,2468,2543,2473,2470
"C00_C97","2011_2015",10,"+Doctor","0.00","14.84(11.80,17.91)***","14.94(11.78,18.24)***","13.35(10.09,16.67)***","6.09(2.50,9.74)**","0.0002","0.0002","0.0002","0.0012","1.0032","1.0014","1.0016","1.0017",2107,1907,1809,1641,2651,2261,2547,2522
"C00_C97","2016_2020",15,"+Doctor","0.00","13.93(10.97,16.95)***","12.05(9.00,15.09)***","9.70(6.50,12.95)***","1.53(-1.95,5.06)","0.0002","0.0002","0.0002","0.3872","1.0003","1.0015","1.0016","1.0022",1912,1691,1458,1397,2613,2198,1758,2057
