ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Smoking_Rate,uninsured_rate_2005,physician_density_per100k,forest_coverage,site_number_mean
G20_G30_G12.2_F01_F03,2006_2010,5,Baseline,,,,,
"G20_G30_G12.2_F01_F03","2006_2010",5,"Full","0.58(-0.35,1.49)","-4.25(-5.25,-3.19)***","1.01(0.30,1.70)**","1.73(0.90,2.50)***","-0.01(-0.64,0.62)"
"G20_G30_G12.2_F01_F03","2011_2015",10,"Baseline","","","","",""
"G20_G30_G12.2_F01_F03","2011_2015",10,"Full","0.67(-0.31,1.63)","-6.13(-7.19,-5.04)***","0.54(-0.19,1.30)","1.82(1.02,2.65)***","0.02(-0.63,0.68)"
"G20_G30_G12.2_F01_F03","2016_2020",15,"Baseline","","","","",""
"G20_G30_G12.2_F01_F03","2016_2020",15,"Full","0.98(-0.03,1.96)","-6.93(-7.98,-5.83)***","0.70(-0.05,1.46)","0.45(-0.43,1.32)","-0.52(-1.18,0.15)"
