ICD_Code,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2006_2010,5,+Doctor,0.00,"9.35(7.35,11.40)***","13.49(11.48,15.48)***","17.14(14.97,19.30)***","20.67(18.31,23.14)***",0.0002,0.0002,0.0002,0.0002,1.0033,1.0024,1.0028,1.0022,2460,2431,1884,2029,2937,3021,2984,2903
"G20_G30_G12.2_F01_F03","2011_2015",10,"+Doctor","0.00","10.47(8.37,12.54)***","13.88(11.71,16.04)***","17.95(15.59,20.26)***","22.37(19.83,24.89)***","0.0002","0.0002","0.0002","0.0002","1.0021","1.0023","1.0018","1.0018",2002,1788,1591,1461,2633,2438,2323,2281
"G20_G30_G12.2_F01_F03","2016_2020",15,"+Doctor","0.00","8.98(6.86,11.08)***","11.00(8.88,13.14)***","14.63(12.34,17.04)***","17.90(15.30,20.48)***","0.0002","0.0002","0.0002","0.0002","1.0010","1.0021","1.0006","1.0002",2211,1943,1874,1732,2467,2299,2365,2114
