ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
C00_C97,All-site Cancer,2000_2005,5,0.0,"4.66(2.24,7.11)***","4.91(2.62,7.21)***","6.51(4.26,8.59)***","12.12(9.80,14.58)***"
C00_C97,All-site Cancer,2000_2005,10,0.0,"6.02(3.78,8.15)***","6.20(4.07,8.36)***","7.80(5.55,10.02)***","10.74(8.30,13.10)***"
C34,Lung Cancer,2000_2005,5,0.0,"3.92(2.61,5.23)***","3.33(2.02,4.62)***","3.96(2.65,5.28)***","5.73(4.31,7.17)***"
C34,Lung Cancer,2000_2005,10,0.0,"4.09(2.85,5.30)***","3.03(1.85,4.25)***","3.62(2.44,4.82)***","3.84(2.49,5.12)***"
C18_C21,Colorectal Cancer,2000_2005,5,0.0,"1.42(0.71,2.12)***","1.89(1.20,2.57)***","1.76(1.05,2.48)***","1.29(0.55,2.03)***"
C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.60(-0.06,1.27)","0.39(-0.27,1.02)","0.32(-0.33,0.96)","0.03(-0.63,0.73)"
C50,Breast Cancer,2000_2005,5,0.0,"1.51(0.93,2.12)***","1.84(1.24,2.40)***","2.18(1.56,2.78)***","2.73(2.10,3.38)***"
C50,Breast Cancer,2000_2005,10,0.0,"0.92(0.32,1.50)**","0.95(0.40,1.51)**","1.06(0.50,1.61)***","1.46(0.88,2.02)***"
C61,Prostate Cancer,2000_2005,5,0.0,"0.19(-0.34,0.73)","0.35(-0.20,0.87)","-0.01(-0.54,0.50)","-0.35(-0.92,0.21)"
C61,Prostate Cancer,2000_2005,10,0.0,"0.71(0.20,1.20)**","0.21(-0.29,0.68)","-0.05(-0.53,0.43)","-0.28(-0.79,0.24)"
C15_C26,Digestive System Cancer,2000_2005,5,0.0,"1.53(0.41,2.62)**","1.88(0.76,2.92)***","2.21(1.08,3.31)***","3.19(2.00,4.35)***"
C15_C26,Digestive System Cancer,2000_2005,10,0.0,"2.81(1.74,3.86)***","2.71(1.66,3.75)***","2.94(1.87,3.97)***","3.67(2.50,4.75)***"
