ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","Q1",0.8382,0.6534,1.0374,-16.1804,"0.1012"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","Q2",0.8649,0.6683,1.0756,-13.511,"0.1982"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","Q3",0.9597,0.7329,1.1909,-4.0264,"0.7116"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","Q4",0.9772,0.7532,1.22,-2.2822,"0.8225"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","Q5",0.9456,0.7042,1.1974,-5.4422,"0.6386"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","Q1",0.8382,0.6534,1.0374,-16.1804,"0.1012"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","Q2",0.7417,0.5517,0.9464,-25.8312,"0.0162"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","Q3",0.8811,0.6794,1.0993,-11.8853,"0.2587"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","Q4",1.0222,0.8238,1.2409,2.2186,"0.8545"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","Q5",1.0055,0.7991,1.2186,0.5529,"0.9820"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","Q1",0.8382,0.6534,1.0374,-16.1804,"0.1012"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","Q2",0.9426,0.7316,1.1541,-5.7361,"0.5831"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","Q3",0.8761,0.6875,1.0784,-12.3896,"0.2107"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","Q4",0.9123,0.7226,1.1162,-8.7656,"0.3732"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","Q5",1.0057,0.7988,1.2218,0.5735,"0.9715"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","Q1",0.8382,0.6534,1.0374,-16.1804,"0.1012"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","Q2",0.9479,0.7388,1.1657,-5.2061,"0.6051"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","Q3",0.9551,0.7418,1.183,-4.4922,"0.6616"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","Q4",0.9384,0.7388,1.1637,-6.1633,"0.5506"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","Q5",1.0035,0.7989,1.2353,0.3519,"0.9985"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","Q1",0.8382,0.6534,1.0374,-16.1804,"0.1012"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","Q2",0.8455,0.6487,1.0531,-15.4473,"0.1457"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","Q3",0.9324,0.73,1.148,-6.7634,"0.5156"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","Q4",0.9444,0.7423,1.1615,-5.555,"0.5846"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","Q5",1.0106,0.7762,1.2638,1.0647,"0.9620"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI","Q1",1.0576,0.8984,1.228,5.7574,"0.4926"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI","Q2",1.1838,1.0071,1.3783,18.3766,"0.0392"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI","Q3",1.2354,1.0616,1.434,23.5418,"0.0082"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI","Q4",1.2941,1.1039,1.5019,29.4073,"0.0012"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI","Q5",1.3886,1.1822,1.6185,38.8597,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","Q1",0.8214,0.6303,1.0156,-17.864,"0.0697"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","Q2",0.9471,0.7418,1.1543,-5.2944,"0.6136"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","Q3",0.9421,0.7126,1.1763,-5.789,"0.6086"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","Q4",0.9695,0.7391,1.2085,-3.0513,"0.7861"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","Q5",0.9064,0.657,1.159,-9.3629,"0.4556"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","Q1",0.8214,0.6303,1.0156,-17.864,"0.0697"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","Q2",0.7764,0.5836,0.9786,-22.3611,"0.0347"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","Q3",0.9205,0.7142,1.1363,-7.9526,"0.4631"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","Q4",0.9341,0.7279,1.1389,-6.5869,"0.5436"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","Q5",1.0007,0.8037,1.2075,0.0724,"0.9865"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Land","Q1",0.8214,0.6303,1.0156,-17.864,"0.0697"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"koppen_major_B_EQI_Land","Q2",0.903,0.705,1.1181,-9.7011,"0.3512"
