ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
F03,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
F03,2000_2005,2006_2010,5,Q2,2.891,2.4529,3.3961,189.0992,0.0002
F03,2000_2005,2006_2010,5,Q3,3.5516,2.9705,4.1983,255.1568,0.0002
F03,2000_2005,2006_2010,5,Q4,4.4462,3.6905,5.2985,344.6189,0.0002
F03,2000_2005,2006_2010,5,Q5,5.7445,4.6813,6.974,474.4473,0.0002
"F03","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"F03","2000_2005","2011_2015",10,"Q2",2.5344,2.158,2.932,153.4444,"0.0002"
"F03","2000_2005","2011_2015",10,"Q3",3.0473,2.5958,3.532,204.731,"0.0002"
"F03","2000_2005","2011_2015",10,"Q4",3.6941,3.114,4.3491,269.4138,"0.0002"
"F03","2000_2005","2011_2015",10,"Q5",4.8561,3.9966,5.8193,385.6094,"0.0002"
"F03","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"F03","2000_2005","2016_2020",15,"Q2",2.4175,2.044,2.8252,141.7537,"0.0002"
"F03","2000_2005","2016_2020",15,"Q3",2.8331,2.4216,3.2994,183.3089,"0.0002"
"F03","2000_2005","2016_2020",15,"Q4",3.2679,2.7523,3.8807,226.7933,"0.0002"
"F03","2000_2005","2016_2020",15,"Q5",3.9691,3.2654,4.7608,296.9148,"0.0002"
