ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G20,2000_2005,2006_2010,5,Q2,7.108,5.6089,8.8095,610.7971,0.0002
G20,2000_2005,2006_2010,5,Q3,10.8255,8.6343,13.4979,982.5544,0.0002
G20,2000_2005,2006_2010,5,Q4,14.3141,11.2369,17.8076,1331.4066,0.0002
G20,2000_2005,2006_2010,5,Q5,19.7903,15.1675,25.4725,1879.0282,0.0002
"G20","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G20","2000_2005","2011_2015",10,"Q2",6.0362,4.821,7.4335,503.6199,"0.0002"
"G20","2000_2005","2011_2015",10,"Q3",8.8258,7.1116,10.8422,782.5847,"0.0002"
"G20","2000_2005","2011_2015",10,"Q4",12.1914,9.6541,15.2887,1119.1368,"0.0002"
"G20","2000_2005","2011_2015",10,"Q5",16.1486,12.3576,20.4785,1514.8648,"0.0002"
"G20","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G20","2000_2005","2016_2020",15,"Q2",4.3017,3.5451,5.1735,330.1684,"0.0002"
"G20","2000_2005","2016_2020",15,"Q3",5.5794,4.5951,6.6394,457.936,"0.0002"
"G20","2000_2005","2016_2020",15,"Q4",6.9738,5.7098,8.4183,597.3804,"0.0002"
"G20","2000_2005","2016_2020",15,"Q5",9.3885,7.5117,11.5683,838.8495,"0.0002"
