ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q2,2.2053,1.9074,2.5291,120.525,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q3,2.613,2.2573,2.9999,161.2979,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q4,3.1043,2.6586,3.6176,210.4292,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q5,3.9015,3.2619,4.6324,290.1534,0.0002
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q2",2.1596,1.8745,2.4713,115.9603,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q3",2.4562,2.1311,2.8114,145.6201,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q4",2.8795,2.4503,3.3417,187.9465,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q5",3.6077,3.0329,4.268,260.7679,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q2",1.9415,1.7012,2.2071,94.1506,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q3",2.1701,1.8966,2.4734,117.0063,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q4",2.4804,2.1457,2.8459,148.0449,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q5",2.9808,2.54,3.4673,198.0767,"0.0002"
