ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G10,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G10,2000_2005,2006_2010,5,Q2,1.9715,1.5048,2.5406,97.1498,0.0002
G10,2000_2005,2006_2010,5,Q3,4.3698,3.3091,5.7036,336.9818,0.0002
G10,2000_2005,2006_2010,5,Q4,9.2839,6.8698,12.2397,828.3851,0.0002
G10,2000_2005,2006_2010,5,Q5,28.5145,20.7583,38.3004,2751.4468,0.0002
"G10","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G10","2000_2005","2011_2015",10,"Q2",2.1565,1.6311,2.7967,115.652,"0.0002"
"G10","2000_2005","2011_2015",10,"Q3",3.7012,2.7954,4.8472,270.1156,"0.0002"
"G10","2000_2005","2011_2015",10,"Q4",8.8131,6.5244,11.6818,781.3051,"0.0002"
"G10","2000_2005","2011_2015",10,"Q5",34.3709,24.7356,47.1993,3337.092,"0.0002"
"G10","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G10","2000_2005","2016_2020",15,"Q2",2.2072,1.6718,2.8577,120.7198,"0.0002"
"G10","2000_2005","2016_2020",15,"Q3",4.1877,3.1189,5.5214,318.7694,"0.0002"
"G10","2000_2005","2016_2020",15,"Q4",12.8579,9.4557,16.9976,1185.7888,"0.0002"
"G10","2000_2005","2016_2020",15,"Q5",41.376,29.4631,56.4391,4037.5959,"0.0002"
