ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
X70_X84,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"2.36(1.83,2.89)","3.84(3.28,4.39)","4.21(3.60,4.81)","4.36(3.68,5.04)",0.0002,0.0002,0.0002,0.0002,1.0013,1.0021,1.0011,1.0011,2293,2183,1728,1651,2396,2825,2196,2553,"0.73(0.66,0.80)",0.0002,0.9999,2699,2767,"0.01(-0.04,0.06)",0.7416,1.0009,1650,2262,"-0.21(-0.27,-0.14)",0.0002,1.0017,2504,2509
"X70_X84","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","2.60(1.96,3.22)","3.88(3.22,4.53)","4.48(3.80,5.18)","4.74(3.94,5.51)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0006","1.0015","1.0008",3104,2267,1986,2074,2760,2666,2719,2348,"0.85(0.78,0.92)","0.0002","1.0003",3571,2792,"0.06(0.00,0.12)","0.0447","1.0018",1986,2167,"-0.19(-0.26,-0.12)","0.0002","1.0019",2910,2963
"X70_X84","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","3.40(2.68,4.07)","4.70(4.00,5.41)","5.38(4.61,6.16)","5.81(4.93,6.71)","0.0002","0.0002","0.0002","0.0002","1.0039","1.0050","1.0048","1.0034",2125,1841,1590,1630,2620,2415,2325,2410,"1.01(0.92,1.09)","0.0002","1.0012",2374,2631,"0.06(0.00,0.13)","0.0487","1.0014",1400,2162,"-0.18(-0.26,-0.10)","0.0002","1.0004",1909,2601
"X70_X84","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","3.52(2.69,4.35)","5.80(4.89,6.65)","6.54(5.58,7.50)","6.62(5.51,7.69)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0010","1.0004","1.0009",1801,1527,1318,1221,2695,2366,2303,2200,"1.17(1.07,1.27)","0.0002","1.0014",1987,2351,"0.04(-0.03,0.11)","0.3142","1.0032",1478,2018,"-0.17(-0.27,-0.08)","0.0002","1.0009",1637,2509
