ICD_Code,EQI_Period,AAMR_Period,Lag,Q1,Q2,Q3,Q4,Q5,Q1_p,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,"1.0000(1.0000,1.0000)","1.3202(1.2353,1.4111)","1.5167(1.4098,1.6307)","1.6108(1.4918,1.7421)","1.6426(1.5126,1.7867)",NA,0.0002,0.0002,0.0002,0.0002,1.0006,1.0012,1.0012,1.0011,2518,2066,1777,1848,2633,2833,2227,2601
"X60_X84_Y87.0","2000_2005","2011_2015",10,"1.1859(1.0015,1.3955)","1.5258(1.3237,1.7674)","1.7023(1.4872,1.9605)","1.7972(1.5777,2.0702)","1.8529(1.6235,2.1331)","0.0472","0.0002","0.0002","0.0002","0.0002","1.0008","1.0023","1.0014","1.0029",1632,1259,1191,1116,2470,2030,1782,2031
"X60_X84_Y87.0","2000_2005","2016_2020",15,"1.2995(1.1000,1.5281)","1.7377(1.5077,2.0117)","1.9234(1.6830,2.2125)","2.0149(1.7634,2.3157)","2.0718(1.8119,2.3858)","0.0027","0.0002","0.0002","0.0002","0.0002","1.0005","1.0011","1.0006","1.0007",1880,1445,1186,1149,2775,1905,1999,1795
"X60_X84_Y87.0","2000_2005","2021_2024",20,"1.4639(1.2145,1.7308)","1.9311(1.6601,2.2281)","2.2173(1.9278,2.5479)","2.3440(2.0458,2.6818)","2.3814(2.0766,2.7322)","0.0002","0.0002","0.0002","0.0002","0.0002","1.0010","1.0005","1.0007","1.0016",1379,1210,1056,1084,2250,2241,1786,1604
