ICD_Code,EQI_Period,AAMR_Period,Lag,Q1,Q2,Q3,Q4,Q5,Q1_p,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K76,2000_2005,2006_2010,5,"1.0000(1.0000,1.0000)","1.8786(1.4954,2.5095)","2.4801(1.9315,3.4785)","3.1088(2.3512,4.4670)","3.8178(2.8306,5.6276)",NA,0.0002,0.0002,0.0002,0.0002,1.0013,1.0015,1.0014,1.0019,2062,1773,1604,1618,2133,2469,2367,1931
"K76","2000_2005","2011_2015",10,"1.0000(1.0000,1.0000)","1.7958(1.5180,2.1827)","2.1297(1.7691,2.6341)","2.5574(2.0931,3.2112)","2.9614(2.3969,3.7642)",NA,"0.0002","0.0002","0.0002","0.0002","1.0013","1.0011","1.0025","1.0025",2515,2191,1854,1783,2341,2748,2509,2253
"K76","2000_2005","2016_2020",15,"1.0000(1.0000,1.0000)","1.5444(1.3509,1.7745)","1.8481(1.6028,2.1397)","2.2693(1.9449,2.6666)","2.5286(2.1525,2.9871)",NA,"0.0002","0.0002","0.0002","0.0002","0.9999","1.0001","1.0014","1.0008",2622,2349,1934,1784,3042,2719,2864,2336
"K76","2000_2005","2021_2024",20,"1.0000(1.0000,1.0000)","1.5023(1.3170,1.7258)","1.9743(1.7042,2.3291)","2.3579(2.0098,2.7962)","2.4070(2.0288,2.8914)",NA,"0.0002","0.0002","0.0002","0.0002","1.0002","0.9994","1.0001","1.0001",2888,2628,2226,2188,3008,3277,2512,2695
