ICD_Code,EQI_Period,AAMR_Period,Lag,Q1,Q2,Q3,Q4,Q5,Q1_p,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,"1.0000(1.0000,1.0000)","1.1825(1.1306,1.2385)","1.2166(1.1620,1.2746)","1.2619(1.2005,1.3268)","1.3268(1.2580,1.4000)",NA,0.0002,0.0002,0.0002,0.0002,1.0031,1.0016,1.0026,1.0022,1763,1460,1313,1261,2257,2081,1780,1934
"N00_N29_C64_C65","2000_2005","2011_2015",10,"0.8598(0.7648,0.9548)","1.0602(0.9617,1.1657)","1.0819(0.9841,1.1880)","1.0855(0.9888,1.1928)","1.1600(1.0546,1.2696)","0.0072","0.2347","0.1082","0.0852","0.0022","1.0005","1.0003","1.0005","1.0006",1834,1466,1347,1370,2437,2059,2078,2302
"N00_N29_C64_C65","2000_2005","2016_2020",15,"0.9730(0.8762,1.0744)","1.1355(1.0331,1.2450)","1.1669(1.0659,1.2780)","1.2014(1.1013,1.3139)","1.2844(1.1782,1.4011)","0.5856","0.0067","0.0007","0.0002","0.0002","1.0020","1.0037","1.0017","1.0015",1934,1627,1392,1486,2375,2434,1908,2096
"N00_N29_C64_C65","2000_2005","2021_2024",20,"1.0820(0.9625,1.2068)","1.2926(1.1648,1.4232)","1.2830(1.1605,1.4128)","1.3616(1.2357,1.4967)","1.4058(1.2782,1.5466)","0.1807","0.0002","0.0002","0.0002","0.0002","1.0017","1.0003","1.0002","1.0003",1741,1295,1215,1203,2123,2405,1958,1927
