Domain,F_statistic,P_value,Eta_squared,Significant
EQI,166.67687099760516,1.513336143454318e-157,0.21000595719527784,Yes
EQI_Air,326.19735080295624,6.602803158678763e-282,0.3422138663396132,Yes
EQI_Water,8.037655958702969,1.527057938167735e-07,0.012656975351435956,Yes
EQI_Land,11.157184102490405,1.1207738198976818e-10,0.017483441980179155,Yes
EQI_Built,137.64894033937367,2.7835153545319725e-132,0.18001586489910137,Yes
EQI_Social,70.74208552004777,2.55522664924071e-70,0.1013871557816691,Yes
