Domain,Comparison,Mean_Diff,T_statistic,P_value,Cohens_d,Significant
EQI,Farming vs Mining,-0.31703644886363624,-3.760888230184354,0.00018692771274478301,-0.37768807398743925,Yes
EQI,Farming vs Manufacturing,-1.1012856115017577,-22.318643308710246,4.177845019270876e-94,-1.2971144748777184,Yes
EQI,Farming vs Government,-0.8008310313767596,-12.488858064456482,6.885832990153628e-33,-0.8739880254125195,Yes
EQI,Farming vs Services,-1.7029147351836953,-27.223938509439662,3.984013843244421e-115,-1.9674037581293475,Yes
EQI,Farming vs Nonspecialized,-0.9288257355197543,-18.439309239166278,4.5053027401514645e-68,-1.0636748088890209,Yes
EQI,Mining vs Manufacturing,-0.7842491626381215,-9.670082798422042,3.1180906500940993e-21,-0.9131688301910185,Yes
EQI,Mining vs Government,-0.48379458251312335,-4.867051454679761,1.5151006669299964e-06,-0.4972300372805462,Yes
EQI,Mining vs Services,-1.3858782863200592,-14.886367472502972,2.885451668555365e-41,-1.5443379429124091,Yes
EQI,Mining vs Nonspecialized,-0.6117892866561181,-7.306406756765394,5.341829022060214e-13,-0.6880196285696542,Yes
EQI,Manufacturing vs Government,0.30045458012499815,5.442352234588564,6.291890928515921e-08,0.33236887966325157,Yes
EQI,Manufacturing vs Services,-0.6016291236819375,-10.838606810971555,3.22692860264911e-26,-0.6901754598274082,Yes
EQI,Manufacturing vs Nonspecialized,0.1724598759820034,4.239070032143748,2.3550054353756013e-05,0.19700617674713877,Yes
EQI,Government vs Services,-0.9020837038069357,-12.570534471234243,6.7510034291916e-33,-0.9385505198708674,Yes
EQI,Government vs Nonspecialized,-0.12799470414299474,-2.27854942703437,0.022852186689242292,-0.13821471667832508,Yes
EQI,Services vs Nonspecialized,0.774088999663941,13.646143467927711,1.0760883390195383e-39,0.8635653109310216,Yes
EQI_Air,Farming vs Mining,-0.7449547585227274,-8.590227413291585,8.447770439112942e-17,-0.8626755830712802,Yes
EQI_Air,Farming vs Manufacturing,-1.7227955725765947,-41.106048249456805,8.287963395425427e-240,-2.3890005074180967,Yes
EQI_Air,Farming vs Government,-1.3827033703173468,-21.96874772202549,1.8508866563644858e-84,-1.5374041680402795,Yes
EQI_Air,Farming vs Services,-1.9111117390721373,-29.161632437284254,7.243683496682136e-127,-2.1074358961840236,Yes
EQI_Air,Farming vs Nonspecialized,-1.3237520521672421,-28.15412857547985,2.674893851176208e-138,-1.624075877438589,Yes
