Typology_Type,N,EQI_Mean,EQI_SD,EQI_Median,EQI_Q25,EQI_Q75,EQI_Air_Mean,EQI_Air_SD,EQI_Air_Median,EQI_Air_Q25,EQI_Air_Q75,EQI_Water_Mean,EQI_Water_SD,EQI_Water_Median,EQI_Water_Q25,EQI_Water_Q75,EQI_Land_Mean,EQI_Land_SD,EQI_Land_Median,EQI_Land_Q25,EQI_Land_Q75,EQI_Built_Mean,EQI_Built_SD,EQI_Built_Median,EQI_Built_Q25,EQI_Built_Q75,EQI_Social_Mean,EQI_Social_SD,EQI_Social_Median,EQI_Social_Q25,EQI_Social_Q75
Farming,440,-0.8914911363636362,0.8311083193734349,-0.8313999999999999,-1.32805,-0.30605,-1.3002477272727273,0.8528637609848366,-1.32765,-2.011825,-0.6409250000000001,-0.2447236363636364,0.9848401238314709,-0.20675,-1.500675,0.7045750000000001,0.18004954545454546,0.8841708918605384,0.43895,-0.08225,0.73895,-0.8482454545454545,1.2185388981716683,-0.6213,-1.347725,-0.0207,-0.3485170454545454,0.8526920981333421,-0.2706,-0.869175,0.290725
Mining,128,-0.5744546875,0.8675095101577128,-0.472,-1.1184500000000002,-0.023350000000000003,-0.5552929687499999,0.8994683418451526,-0.40785,-1.397525,0.11335,0.21168515625,0.9170522579404492,0.66605,-0.34225000000000005,0.98125,-0.26073749999999996,1.1084632682977609,-0.053349999999999995,-0.5677749999999999,0.33165,-0.18664609375,1.0185898973776144,-0.047799999999999995,-0.7282500000000001,0.5258750000000001,-0.73065625,0.8433841834570484,-0.7475,-1.2190249999999998,-0.137575
Manufacturing,905,0.20979447513812155,0.8575940716430059,0.2935,-0.317,0.8442,0.4225478453038674,0.6475725583071406,0.4404,0.003,0.8969,0.04388209944751383,0.9444895568026698,0.2142,-0.517,0.876,0.030334806629834225,0.8667258308970823,0.1949,-0.3608,0.6142,-0.007147624309392265,0.7799025987074067,0.1054,-0.3964,0.5066,0.1261054143646409,0.8490526956708653,0.1306,-0.5244,0.7089
Government,381,-0.09066010498687661,1.0057656652541884,-0.006,-0.6441,0.5827,0.08245564304461941,0.9502784851383074,0.2293,-0.3585,0.7602,-0.07315144356955379,1.052612830471352,0.1176,-1.5102,0.9154,-0.27978766404199473,1.2143075715814569,-0.0292,-0.6548,0.4971,0.13602939632545932,0.9874236832212467,0.2474,-0.3428,0.8316,-0.20165905511811022,1.0729937818052764,-0.2549,-0.762,0.4368
Services,339,0.8114235988200591,0.9083675529303078,0.8326,0.19979999999999998,1.4318499999999998,0.6108640117994101,0.9724876718175465,0.7239,0.037250000000000005,1.3298,0.07440796460176992,1.0686904163791482,0.6183,-1.4348,0.9588,0.05582477876106194,1.0770038997032054,0.3057,-0.26755,0.75535,0.8267554572271385,0.7540250162170203,0.8647,0.5495,1.17205,0.6995365781710914,1.058729904577852,0.5343,0.04315,1.25885
Nonspecialized,948,0.03733459915611814,0.8920724248025389,0.08495,-0.5016499999999999,0.6372,0.023504324894514764,0.7969574309787555,0.0606,-0.45142499999999997,0.541075,0.045900316455696206,1.0037777811488426,0.45894999999999997,-1.0604500000000001,0.9179250000000001,0.015159704641350219,1.0038917571347004,0.2121,-0.350675,0.640825,0.07541033755274262,0.8465178485153209,0.20415,-0.4237,0.6857,-0.029078059071729955,0.9984499169653421,-0.00765,-0.6509499999999999,0.6078749999999999
