ICD_Code,EQI_Period,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,Smoking_rate,Heavy_Drinking_rate,Physical_Activities_rate,Obesity_rate,Forest_Coverage,Uninsured_rate,Physician_Density_per100k,AQS_Number,Homeownership_rate,Diabetes_Prevalence_rate
K70_K76_C22,2000_2005,2006_2010,5,EQI+A,0.00,"3.74(2.92,4.55)","4.23(3.38,5.05)","5.07(4.15,5.94)","6.66(5.65,7.64)",0.0002,0.0002,0.0002,0.0002,1.0003,1.0005,1.0006,1.0008,1774,1412,1304,1261,2680,2395,2035,2155,"2.59(2.20,2.98)","0.75(0.34,1.16)","-1.07(-1.60,-0.54)","1.05(0.57,1.54)",,,,,,
"K70_K76_C22","2000_2005","2006_2010",5,"EQI+B","0.00","4.01(3.23,4.79)","4.10(3.26,4.93)","4.41(3.48,5.30)","4.06(2.99,5.12)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0010","1.0005","1.0016",1763,1332,1197,1145,2604,2464,1790,1859,"","","","","0.97(0.67,1.27)","-0.70(-1.20,-0.20)","0.74(0.49,1.00)","0.09(-0.12,0.30)","0.09(-0.19,0.36)","5.26(4.81,5.71)"
"K70_K76_C22","2000_2005","2006_2010",5,"EQI+A+B","0.00","3.36(2.51,4.14)","3.26(2.43,4.06)","3.37(2.45,4.25)","3.69(2.57,4.75)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0011","1.0031","1.0015",1715,1334,1268,1222,2260,2281,2046,1873,"3.24(2.87,3.62)","0.79(0.41,1.17)","1.25(0.70,1.81)","-1.28(-1.87,-0.67)","0.38(0.08,0.69)","-0.61(-1.12,-0.10)","0.85(0.60,1.09)","0.03(-0.17,0.23)","0.06(-0.22,0.35)","6.11(5.43,6.81)"
"K70_K76_C22","2000_2005","2006_2010",5,"+Smoking_rate","0.00","3.27(2.46,4.10)","3.21(2.37,4.02)","3.54(2.72,4.34)","4.60(3.74,5.47)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0012","1.0018","1.0020",1592,1460,1230,1213,2472,2200,2288,2068,"3.42(3.09,3.75)","","","","","","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Heavy_Drinking_rate","0.00","3.61(2.76,4.45)","2.92(2.05,3.74)","2.60(1.72,3.41)","1.66(0.76,2.53)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0023","1.0022","1.0016",1875,1825,1658,1715,2381,2535,2225,2321,"","-0.26(-0.65,0.13)","","","","","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Physical_Activities_rate","0.00","4.47(3.65,5.31)","4.97(4.13,5.79)","5.81(4.93,6.72)","6.29(5.27,7.29)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0017","1.0027","1.0030",2398,1858,1739,1635,2842,2716,2712,2228,"","","-2.97(-3.35,-2.59)","","","","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Obesity_rate","0.00","3.90(3.05,4.75)","4.04(3.18,4.88)","4.52(3.66,5.40)","5.05(4.07,6.00)","0.0002","0.0002","0.0002","0.0002","1.0030","1.0029","1.0031","1.0030",1380,1242,1149,1188,2422,2008,2112,1886,"","","","2.90(2.48,3.29)","","","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Forest_Coverage","0.00","3.61(2.75,4.45)","2.91(2.03,3.76)","2.63(1.76,3.47)","1.76(0.87,2.65)","0.0002","0.0002","0.0002","0.0002","0.9999","0.9996","1.0005","0.9995",2080,1894,1624,1609,2672,2702,2499,2770,"","","","","0.43(0.13,0.73)","","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Uninsured_rate","0.00","3.22(2.37,4.05)","2.33(1.43,3.20)","1.79(0.83,2.67)","0.63(-0.40,1.57)","0.0002","0.0002","0.0002","0.2182","1.0003","1.0009","1.0016","1.0018",1713,1508,1105,1070,2559,2257,2210,2152,"","","","","","-1.02(-1.54,-0.49)","","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Physician_Density_per100k","0.00","3.48(2.65,4.33)","2.67(1.83,3.53)","2.16(1.32,3.02)","0.95(0.01,1.90)","0.0002","0.0002","0.0002","0.0472","1.0009","1.0023","1.0036","1.0023",2377,1998,1794,1755,2683,2814,2658,2496,"","","","","","","0.39(0.15,0.64)","","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+AQS_Number","0.00","3.57(2.74,4.41)","2.73(1.90,3.52)","2.26(1.41,3.09)","0.90(-0.04,1.81)","0.0002","0.0002","0.0002","0.0602","1.0010","1.0010","1.0013","1.0017",2865,2488,2268,2271,2971,2749,3008,2676,"","","","","","","","0.55(0.34,0.75)","",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Homeownership_rate","0.00","3.50(2.62,4.36)","2.63(1.77,3.46)","2.18(1.34,3.02)","1.06(0.15,1.93)","0.0002","0.0002","0.0002","0.0197","1.0013","1.0008","1.0007","1.0006",2180,2081,1959,1796,3008,2850,2923,2509,"","","","","","","","","-0.83(-1.08,-0.59)",""
"K70_K76_C22","2000_2005","2006_2010",5,"+Diabetes_Prevalence_rate","0.00","4.30(3.53,5.09)","4.63(3.86,5.38)","5.22(4.38,6.02)","5.28(4.45,6.13)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0006","1.0012","1.0004",2307,2102,1760,1911,2709,2697,2529,2605,"","","","","","","","","","4.89(4.49,5.28)"
"K70_K76_C22","2000_2005","2011_2015",10,"EQI+A","0.00","4.16(3.21,5.09)","5.05(4.11,6.02)","5.80(4.71,6.85)","7.45(6.28,8.63)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0033","1.0042","1.0026",1488,1235,1131,1194,2087,2251,2220,1893,"3.30(2.86,3.74)","0.26(-0.18,0.71)","-1.32(-1.99,-0.67)","1.07(0.48,1.63)","","","","","",""
"K70_K76_C22","2000_2005","2011_2015",10,"EQI+B","0.00","5.04(4.16,5.94)","5.89(4.95,6.82)","6.39(5.39,7.38)","6.17(4.98,7.36)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0029","1.0019","1.0019",2269,1692,1551,1561,2853,2304,2430,2181,"","","","","1.03(0.69,1.37)","1.29(0.75,1.81)","0.81(0.51,1.11)","0.07(-0.18,0.31)","0.44(0.12,0.77)","5.83(5.33,6.34)"
"K70_K76_C22","2000_2005","2011_2015",10,"EQI+A+B","0.00","3.95(3.10,4.82)","4.45(3.52,5.37)","4.58(3.54,5.62)","5.14(3.90,6.36)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0021","1.0022","1.0031",1656,1238,1144,1121,2411,2047,2092,1743,"4.20(3.76,4.63)","0.24(-0.20,0.66)","1.84(1.15,2.51)","-1.32(-1.99,-0.63)","0.40(0.06,0.74)","0.67(0.10,1.22)","1.01(0.73,1.28)","-0.03(-0.25,0.20)","0.31(0.00,0.64)","6.96(6.14,7.73)"
