ICD_Code,EQI_Period,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,Smoking_rate,Heavy_Drinking_rate,Physical_Activities_rate,Obesity_rate,Forest_Coverage,Uninsured_rate,Physician_Density_per100k,AQS_Number,Homeownership_rate,Diabetes_Prevalence_rate
C00_C97,2000_2005,2006_2010,5,EQI+A,0.00,"15.81(12.73,18.81)","20.19(17.03,23.42)","23.02(19.66,26.39)","29.47(25.58,33.33)",0.0002,0.0002,0.0002,0.0002,1.0015,1.0007,1.0014,1.0008,1892,1645,1479,1475,2621,2218,2255,2174,"16.78(15.03,18.49)","-3.00(-4.75,-1.28)","-3.44(-5.70,-1.25)","2.50(0.34,4.68)",,,,,,
"C00_C97","2000_2005","2006_2010",5,"EQI+B","0.00","15.40(12.23,18.43)","15.84(12.59,19.04)","14.05(10.52,17.63)","8.28(4.21,12.51)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0026","1.0015","1.0007",2181,1814,1664,1625,2481,2583,2564,2283,"","","","","4.21(2.90,5.58)","-15.98(-18.13,-13.76)","1.87(0.64,3.11)","0.62(-0.38,1.64)","1.82(0.46,3.15)","18.63(16.57,20.67)"
"C00_C97","2000_2005","2006_2010",5,"EQI+A+B","0.00","14.03(11.01,16.90)","15.81(12.74,18.88)","15.28(11.73,18.79)","16.17(12.00,20.37)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0002","1.0005",2534,2201,2021,2075,3090,2858,2565,2534,"15.72(14.03,17.49)","-1.62(-3.37,0.12)","-6.50(-9.03,-3.99)","-4.71(-7.39,-2.11)","1.59(0.31,2.90)","-17.80(-19.98,-15.62)","2.90(1.81,4.03)","0.66(-0.23,1.57)","0.98(-0.25,2.27)","11.03(7.97,14.11)"
"C00_C97","2000_2005","2006_2010",5,"+Smoking_rate","0.00","14.35(11.26,17.49)","17.04(13.90,20.07)","18.41(15.23,21.65)","23.51(19.89,27.19)","0.0002","0.0002","0.0002","0.0002","1.0030","1.0021","1.0038","1.0029",1447,1368,1234,1087,2122,1759,1717,1613,"19.56(18.04,21.08)","","","","","","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Heavy_Drinking_rate","0.00","15.42(12.02,18.64)","15.86(12.67,19.18)","14.36(10.99,17.87)","9.08(5.31,12.67)","0.0002","0.0002","0.0002","0.0002","0.9999","0.9998","1.0015","1.0006",1601,1512,1439,1442,2349,2292,2233,2222,"","-6.32(-8.12,-4.49)","","","","","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Physical_Activities_rate","0.00","17.26(14.19,20.48)","22.26(18.98,25.45)","25.62(22.11,29.08)","26.22(22.17,30.18)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0015","1.0028","1.0035",1792,1528,1391,1220,2724,2330,2245,2262,"","","-14.48(-16.12,-12.78)","","","","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Obesity_rate","0.00","16.32(13.14,19.42)","19.58(16.33,22.77)","20.96(17.53,24.32)","21.18(17.16,24.88)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0008","1.0015","1.0012",1739,1583,1419,1428,2077,2130,2281,2330,"","","","13.12(11.31,14.80)","","","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Forest_Coverage","0.00","15.03(11.66,18.35)","15.02(11.81,18.30)","13.69(10.30,16.99)","8.72(5.20,12.33)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0013","1.0011","1.0018",1957,1870,1674,1731,2128,2023,2400,2493,"","","","","3.43(1.97,4.89)","","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Uninsured_rate","0.00","12.13(8.93,15.39)","9.36(6.15,12.67)","4.60(1.12,8.18)","-4.13(-7.88,-0.22)","0.0002","0.0002","0.0127","0.0412","1.0009","1.0013","1.0025","1.0008",1729,1777,1526,1553,2343,2258,2113,2347,"","","","","","-16.99(-19.41,-14.69)","","","",""
"C00_C97","2000_2005","2006_2010",5,"+Physician_Density_per100k","0.00","14.77(11.55,18.11)","14.70(11.23,18.05)","12.94(9.43,16.54)","7.26(3.42,11.19)","0.0002","0.0002","0.0002","0.0007","1.0035","1.0029","1.0020","1.0020",1771,1791,1525,1477,2257,2358,2171,2134,"","","","","","","0.10(-1.07,1.29)","","",""
