ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
K70,2006_2010,5,"1.0000(1.0000,1.0000)","1.3504(1.2282,1.5028)","1.6455(1.4655,1.8833)","1.9637(1.7195,2.2916)",NA,0.0002,0.0002,0.0002,1.0017,1.0026,1.0033,2257,1809,1847,3389,2736,2984
"K70","2011_2015",10,"1.3001(0.9751,1.7395)","1.6558(1.2868,2.1673)","1.9894(1.5713,2.5724)","2.2868(1.8055,2.9501)","0.0752","0.0006","0.0002","0.0002","1.0001","1.0016","1.0014",2167,1612,1611,3082,2526,2443
"K70","2016_2020",15,"1.9505(1.4856,2.5542)","2.3905(1.8652,3.0671)","2.7908(2.2105,3.5655)","2.9375(2.3286,3.7529)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0014","1.0017",1931,1563,1459,2973,2859,2732
"K70","2021_2024",20,"3.1146(2.3827,4.0649)","3.9877(3.1413,5.1282)","4.5617(3.6211,5.8167)","4.9058(3.8979,6.2148)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0032","1.0028",2381,1990,1847,3353,2758,3154
