ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
C56,2006_2010,5,"1.0000(1.0000,1.0000)","1.2313(1.1454,1.3252)","1.3763(1.2643,1.4936)","1.4298(1.2988,1.5677)",NA,0.0002,0.0002,0.0002,1.0012,1.0020,1.0022,2659,2192,2035,3428,2956,2477
"C56","2011_2015",10,"0.8540(0.7346,0.9878)","1.1192(0.9928,1.2627)","1.2551(1.1171,1.4139)","1.3543(1.2021,1.5257)","0.0360","0.0723","0.0002","0.0002","1.0010","1.0008","1.0013",2803,2245,2027,3306,3083,2619
"C56","2016_2020",15,"0.7603(0.6578,0.8774)","0.9260(0.8172,1.0494)","1.0613(0.9428,1.1948)","1.0714(0.9442,1.2101)","0.0002","0.2156","0.3389","0.2764","1.0009","1.0025","1.0022",2876,2391,2324,3713,3415,3085
"C56","2021_2024",20,"0.7499(0.6323,0.8766)","0.8994(0.7807,1.0325)","1.0563(0.9298,1.1976)","1.0809(0.9449,1.2331)","0.0006","0.1189","0.4101","0.2572","1.0022","1.0025","1.0035",3746,2954,2793,3849,3436,3351
