ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
G12.2,2006_2010,5,"1.0000(1.0000,1.0000)","1.2551(1.1289,1.4063)","1.4634(1.3021,1.6638)","1.5158(1.3207,1.7508)",NA,0.0006,0.0002,0.0002,1.0020,1.0017,1.0026,2482,1927,1812,3307,2879,2720
"G12.2","2011_2015",10,"1.0000(1.0000,1.0000)","1.2799(1.1545,1.4260)","1.5793(1.4065,1.7889)","1.6391(1.4366,1.8875)",NA,"0.0002","0.0002","0.0002","1.0002","1.0008","1.0007",2588,1950,1831,3418,3352,3273
"G12.2","2016_2020",15,"1.0000(1.0000,1.0000)","1.2077(1.0882,1.3520)","1.5618(1.3889,1.7796)","1.6713(1.4568,1.9395)",NA,"0.0002","0.0002","0.0002","1.0012","1.0020","1.0031",3417,2663,2399,3810,3193,2781
"G12.2","2021_2024",20,"1.0000(1.0000,1.0000)","1.3679(1.2082,1.5733)","1.6451(1.4245,1.9425)","1.8565(1.5703,2.2531)",NA,"0.0002","0.0002","0.0002","1.0013","1.0018","1.0007",2495,1691,1690,3355,3163,2586
