ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
G12.2,2006_2010,5,"1.0000(1.0000,1.0000)","1.2551(1.1289,1.4063)","1.4634(1.3021,1.6638)","1.5158(1.3207,1.7508)",NA,0.0006,0.0002,0.0002,1.0020,1.0017,1.0026,2482,1927,1812,3307,2879,2720
"G12.2","2011_2015",10,"1.0274(0.8287,1.2541)","1.3112(1.1017,1.5700)","1.6163(1.3795,1.9127)","1.6768(1.4244,1.9966)","0.8459","0.0023","0.0002","0.0002","1.0002","1.0008","1.0007",2588,1950,1831,3418,3352,3273
"G12.2","2016_2020",15,"0.8535(0.6820,1.0599)","1.0277(0.8510,1.2506)","1.3272(1.1217,1.5899)","1.4196(1.1938,1.7088)","0.1360","0.8317","0.0006","0.0002","1.0012","1.0020","1.0031",3417,2663,2399,3810,3193,2781
"G12.2","2021_2024",20,"0.8850(0.6636,1.1274)","1.2039(0.9693,1.4801)","1.4451(1.1904,1.7528)","1.6292(1.3462,1.9811)","0.3306","0.0919","0.0010","0.0002","1.0013","1.0018","1.0007",2495,1691,1690,3355,3163,2586
