ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
N18_N19,2006_2010,5,"1.0000(1.0000,1.0000)","1.1677(1.1083,1.2354)","1.3137(1.2345,1.4015)","1.6781(1.5577,1.8189)",NA,0.0002,0.0002,0.0002,1.0021,1.0038,1.0032,2329,1797,2007,2983,2438,2670
"N18_N19","2011_2015",10,"1.0000(1.0000,1.0000)","1.1909(1.1270,1.2626)","1.3300(1.2463,1.4254)","1.6682(1.5385,1.8182)",NA,"0.0002","0.0002","0.0002","1.0002","1.0003","1.0008",2338,1775,1799,2943,2745,2922
"N18_N19","2016_2020",15,"1.0000(1.0000,1.0000)","1.2097(1.1419,1.2859)","1.3612(1.2729,1.4644)","1.7809(1.6419,1.9407)",NA,"0.0002","0.0002","0.0002","1.0014","1.0017","1.0013",2249,1923,1886,3026,2897,2533
"N18_N19","2021_2024",20,"1.0000(1.0000,1.0000)","1.1693(1.1005,1.2478)","1.3751(1.2777,1.4908)","1.8748(1.7177,2.0646)",NA,"0.0002","0.0002","0.0002","1.0019","1.0033","1.0037",2180,1589,1864,2697,2577,2461
