ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X70_X84,2006_2010,5,SVI+UN+PD+DB,0.00,"2.45(1.99,2.92)","4.30(3.72,4.87)","5.21(4.37,6.08)",0.0002,1.0036,1740,2903,0.0002,1.0065,1216,2230,0.0002,1.0088,1008,2155,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,"-0.46(-0.52,-0.41)",0.0002,1.0016,1623,2584,"-0.00(-0.00,-0.00)",0.0002,1.0011,3135,3129,"-0.41(-0.59,-0.22)",0.0002,1.0059,1071,1791
"X70_X84","2011_2015",10,"SVI+UN+PD+DB","0.00","2.86(2.32,3.40)","5.01(4.31,5.72)","6.06(5.05,7.10)","0.0002","1.0006",2450,3167,"0.0002","1.0010",1837,3032,"0.0002","1.0010",1560,2823,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.34(-0.40,-0.27)","0.0002","1.0018",2276,3081,"-0.00(-0.00,-0.00)","0.0002","1.0003",4036,4011,"-0.51(-0.74,-0.29)","0.0002","1.0012",1407,2477
"X70_X84","2016_2020",15,"SVI+UN+PD+DB","0.00","3.09(2.44,3.74)","5.52(4.69,6.33)","6.15(4.95,7.39)","0.0002","1.0003",1860,2959,"0.0002","1.0014",1458,2605,"0.0002","1.0019",1218,2219,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.32(-0.42,-0.23)","0.0002","1.0042",1362,2576,"-0.00(-0.00,-0.00)","0.0031","1.0021",3211,3432,"-0.39(-0.66,-0.15)","0.0010","1.0029",1218,2317
"X70_X84","2021_2024",20,"SVI+UN+PD+DB","0.00","3.94(3.12,4.75)","6.70(5.69,7.70)","8.80(7.32,10.24)","0.0002","1.0001",2564,3264,"0.0002","1.0022",1828,2463,"0.0002","1.0024",1652,2605,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.39(-0.52,-0.27)","0.0002","1.0020",1604,2528,"-0.00(-0.00,-0.00)","0.0402","0.9995",3861,4134,"-0.36(-0.64,-0.07)","0.0131","1.0037",1673,2362
