ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
N00_N15,2006_2010,5,SVI+SM+UN,0.00,"0.35(0.24,0.47)","0.65(0.52,0.79)","1.03(0.86,1.20)",0.0002,1.0006,3067,3503,0.0002,1.0021,2493,3232,0.0002,1.0017,2404,3458,"-0.03(-0.04,-0.01)",0.0002,1.0009,2411,3408,,NA,NA,NA,NA,,NA,NA,NA,NA,"-0.08(-0.09,-0.07)",0.0002,1.0006,2727,3716,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N15","2011_2015",10,"SVI+SM+UN","0.00","0.11(0.07,0.14)","0.22(0.18,0.26)","0.24(0.20,0.29)","0.0002","1.0004",4035,3723,"0.0002","1.0017",3246,3681,"0.0002","1.0025",3236,3607,"-0.01(-0.02,-0.01)","0.0002","1.0016",3794,3616,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.02(-0.02,-0.01)","0.0002","1.0006",4487,3719,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N15","2016_2020",15,"SVI+SM+UN","0.00","0.16(0.11,0.20)","0.27(0.22,0.32)","0.30(0.24,0.36)","0.0002","1.0009",3158,3648,"0.0002","1.0017",2425,3516,"0.0002","1.0010",2555,3606,"-0.01(-0.02,-0.01)","0.0002","1.0029",3052,3731,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.03,-0.02)","0.0002","1.0014",2817,3499,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N15","2021_2024",20,"SVI+SM+UN","0.00","0.19(0.13,0.24)","0.35(0.29,0.42)","0.33(0.26,0.41)","0.0002","1.0015",2170,3110,"0.0002","1.0012",1835,3081,"0.0002","1.0014",1739,2976,"-0.02(-0.02,-0.01)","0.0002","1.0033",2003,3402,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.04,-0.03)","0.0002","1.0005",2083,3218,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
