ICD_Code,AAMR_Period,Lag,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
C61,2006_2010,5,"1.0000(1.0000,1.0000)","1.1213(1.0677,1.1777)","1.2056(1.1415,1.2744)","1.4510(1.3621,1.5459)",NA,0.0002,0.0002,0.0002,1.0006,1.0020,1.0016,2197,1897,1988,3228,2902,3354
"C61","2011_2015",10,"1.0000(1.0000,1.0000)","1.1044(1.0479,1.1631)","1.2436(1.1737,1.3173)","1.4424(1.3487,1.5438)",NA,"0.0006","0.0002","0.0002","1.0024","1.0020","1.0002",3329,2619,2712,3576,3048,3430
"C61","2016_2020",15,"1.0000(1.0000,1.0000)","1.1012(1.0484,1.1556)","1.1915(1.1285,1.2572)","1.3748(1.2905,1.4630)",NA,"0.0002","0.0002","0.0002","1.0018","1.0021","1.0035",2823,2328,2342,3737,2850,3228
"C61","2021_2024",20,"1.0000(1.0000,1.0000)","1.0765(1.0214,1.1350)","1.1695(1.0990,1.2418)","1.3273(1.2352,1.4256)",NA,"0.0065","0.0002","0.0002","1.0029","1.0044","1.0048",3437,2584,2242,3687,3226,3148
