ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
"G12.2","2000_2005","2006_2010",5,"LandUse_Agricultural","Q2",1.6338,1.1293,2.4877,63.3773,"0.0062"
"G12.2","2000_2005","2006_2010",5,"LandUse_Agricultural","Q3",2.383,1.6612,3.6577,138.2981,"0.0002"
"G12.2","2000_2005","2006_2010",5,"LandUse_Agricultural","Q4",3.6325,2.5403,5.6103,263.2472,"0.0002"
"G12.2","2000_2005","2006_2010",5,"LandUse_Agricultural","Q5",4.8647,3.3616,7.6538,386.4685,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Agricultural","Q1",0.8872,0.4726,1.5509,-11.2784,"0.5441"
"G12.2","2000_2005","2011_2015",10,"LandUse_Agricultural","Q2",1.6508,1.0732,2.719,65.0849,"0.0197"
"G12.2","2000_2005","2011_2015",10,"LandUse_Agricultural","Q3",2.7921,1.8567,4.4561,179.2105,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Agricultural","Q4",3.5463,2.402,5.6513,254.6286,"0.0002"
"G12.2","2000_2005","2011_2015",10,"LandUse_Agricultural","Q5",4.8167,3.2788,7.5973,381.671,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Agricultural","Q1",0.9922,0.557,1.6636,-0.7828,"0.8640"
"G12.2","2000_2005","2016_2020",15,"LandUse_Agricultural","Q2",1.3511,0.8504,2.1543,35.1055,"0.2317"
"G12.2","2000_2005","2016_2020",15,"LandUse_Agricultural","Q3",2.0564,1.3516,3.2793,105.6426,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Agricultural","Q4",3.1253,2.1203,4.9532,212.5333,"0.0002"
"G12.2","2000_2005","2016_2020",15,"LandUse_Agricultural","Q5",4.1535,2.8549,6.6339,315.3528,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Agricultural","Q1",1,1,1,0,NA
"G12.2","2006_2010","2011_2015",5,"LandUse_Agricultural","Q2",1.5951,1.217,2.1164,59.5144,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Agricultural","Q3",1.9019,1.4429,2.537,90.1879,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Agricultural","Q4",2.3015,1.7224,3.093,130.1542,"0.0002"
"G12.2","2006_2010","2011_2015",5,"LandUse_Agricultural","Q5",2.28,1.7058,3.0646,128.0044,"0.0002"
"G12.2","2006_2010","2016_2020",10,"LandUse_Agricultural","Q1",0.8739,0.5747,1.281,-12.6052,"0.4426"
"G12.2","2006_2010","2016_2020",10,"LandUse_Agricultural","Q2",1.2766,0.9029,1.7814,27.6612,"0.1787"
"G12.2","2006_2010","2016_2020",10,"LandUse_Agricultural","Q3",1.8029,1.307,2.4802,80.2934,"0.0002"
"G12.2","2006_2010","2016_2020",10,"LandUse_Agricultural","Q4",1.8875,1.3779,2.5659,88.7518,"0.0002"
"G12.2","2006_2010","2016_2020",10,"LandUse_Agricultural","Q5",1.871,1.3676,2.5771,87.096,"0.0002"
"G12.2","2000_2005","2006_2010",5,"LandUse_Urban","Q1",1,1,1,0,NA
"G12.2","2000_2005","2006_2010",5,"LandUse_Urban","Q2",0.4775,0.1005,1.5764,-52.2524,"0.1492"
"G12.2","2000_2005","2006_2010",5,"LandUse_Urban","Q3",1.1535,0.3023,3.4403,15.3485,"0.6936"
"G12.2","2000_2005","2006_2010",5,"LandUse_Urban","Q4",1.0559,0.2816,3.2886,5.5861,"0.6096"
"G12.2","2000_2005","2006_2010",5,"LandUse_Urban","Q5",1.2763,0.336,3.8761,27.6291,"0.7986"
"G12.2","2000_2005","2011_2015",10,"LandUse_Urban","Q1",1.9563,0.1947,6.4787,95.6257,"0.9145"
"G12.2","2000_2005","2011_2015",10,"LandUse_Urban","Q2",0.8658,0.1912,2.5124,-13.4169,"0.3902"
"G12.2","2000_2005","2011_2015",10,"LandUse_Urban","Q3",0.9404,0.2401,2.97,-5.9646,"0.5091"
"G12.2","2000_2005","2011_2015",10,"LandUse_Urban","Q4",0.9896,0.2537,3.0569,-1.0399,"0.5286"
"G12.2","2000_2005","2011_2015",10,"LandUse_Urban","Q5",1.3574,0.3597,4.0542,35.742,"0.8760"
