ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
C00_C97,2011_2015,10,AirSVI,0.00,"22.62(19.52,25.70)","6.37(3.49,9.33)","22.49(19.47,25.58)",0.0002,1.0029,1995,2678,0.0002,1.0027,2010,2921,0.0002,1.0027,1823,2825,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM","0.00","11.68(8.53,14.71)","14.94(12.15,17.74)","18.63(15.57,21.64)","0.0002","1.0001",3408,3897,"0.0002","1.0006",3297,3860,"0.0002","1.0014",3278,3516,"4.70(4.43,4.96)","0.0002","1.0025",2543,2918,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+PA","0.00","20.72(17.15,24.22)","7.48(4.51,10.49)","21.84(18.82,24.85)","0.0002","1.0062",1143,2075,"0.0002","1.0020",1673,2025,"0.0002","1.0030",1548,2445,"",NA,"NA",NA,NA,"-0.47(-0.87,-0.06)","0.0240","1.0140",451,701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+OB","0.00","15.49(12.38,18.62)","14.43(11.60,17.36)","22.06(19.11,25.07)","0.0002","0.9998",3984,4107,"0.0002","0.9996",4248,4091,"0.0002","1.0001",3708,3727,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.04(2.83,3.25)","0.0002","1.0017",1992,2894,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+UN","0.00","25.19(21.97,28.39)","4.32(1.16,7.40)","23.19(20.18,26.24)","0.0002","1.0013",2214,2976,"0.0073","1.0004",2543,3104,"0.0002","1.0002",1990,2714,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.13(-1.52,-0.74)","0.0002","1.0054",1892,2786,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+PD","0.00","22.74(19.62,25.77)","7.31(4.32,10.25)","23.47(20.30,26.57)","0.0002","1.0013",2003,2464,"0.0002","1.0007",2037,2663,"0.0002","1.0006",1741,2586,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.02,-0.00)","0.0090","1.0001",4556,3394,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+DB","0.00","13.54(10.17,17.02)","8.18(5.19,11.24)","16.58(13.32,19.77)","0.0002","1.0030",1937,2665,"0.0002","1.0048",1681,2593,"0.0002","1.0013",1751,2643,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.02(5.05,7.08)","0.0002","1.0325",174,388
"C00_C97","2011_2015",10,"AirSVI+SM+PA","0.00","13.60(10.48,16.61)","12.36(9.51,15.15)","18.65(15.62,21.55)","0.0002","1.0021",2193,3462,"0.0002","1.0006",2280,2818,"0.0002","1.0000",2302,2998,"4.40(4.12,4.66)","0.0002","1.0020",2582,3287,"0.49(0.36,0.63)","0.0002","1.0008",2152,2612,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+OB","0.00","10.97(7.92,13.94)","15.32(12.60,18.05)","18.62(15.72,21.38)","0.0002","1.0019",2818,3487,"0.0002","1.0022",2429,3031,"0.0002","1.0019",2151,2919,"4.00(3.66,4.33)","0.0002","1.0008",2390,3242,"",NA,"NA",NA,NA,"0.79(0.52,1.06)","0.0002","1.0014",1935,2726,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+UN","0.00","14.71(11.60,17.71)","12.93(10.17,15.71)","19.68(16.85,22.56)","0.0002","1.0013",3552,3991,"0.0002","1.0007",2985,3500,"0.0002","0.9998",3127,3724,"5.10(4.82,5.36)","0.0002","1.0005",2382,3435,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.53(-1.85,-1.22)","0.0002","1.0019",2384,3231,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+PD","0.00","11.01(7.91,14.01)","12.51(9.76,15.26)","15.59(12.60,18.59)","0.0002","1.0012",3382,3491,"0.0002","0.9999",3546,3623,"0.0002","1.0021",3101,3513,"4.93(4.66,5.19)","0.0002","1.0003",2588,2728,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0011",6910,3759,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+DB","0.00","8.51(5.25,11.76)","14.52(11.79,17.28)","15.99(13.06,19.03)","0.0002","1.0022",3068,3317,"0.0002","1.0013",3083,3388,"0.0002","1.0013",2835,3070,"4.22(3.93,4.50)","0.0002","1.0028",3204,3151,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.56(1.78,3.33)","0.0002","1.0014",2672,3283
