ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
G20_G30_G12.2_F01_F03,2011_2015,10,AirSVI,0.00,"3.82(1.76,5.97)","14.55(12.47,16.67)","14.29(12.21,16.49)",0.0006,1.0006,2945,3468,0.0002,1.0006,2907,3340,0.0002,1.0008,2780,3076,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+SM","0.00","1.41(-0.74,3.68)","15.17(13.14,17.21)","12.87(10.74,15.05)","0.2110","1.0009",3290,3795,"0.0002","1.0000",3475,3866,"0.0002","0.9998",3150,3146,"0.75(0.54,0.96)","0.0002","1.0040",2742,3074,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+PA","0.00","5.76(3.67,7.97)","12.14(10.05,14.21)","14.34(12.22,16.41)","0.0002","1.0021",2407,3063,"0.0002","1.0023",2305,2894,"0.0002","1.0032",2248,3393,"",NA,"NA",NA,NA,"0.65(0.54,0.76)","0.0002","1.0014",2028,2556,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+OB","0.00","2.72(0.50,4.95)","15.05(13.05,17.09)","13.85(11.66,16.03)","0.0173","1.0007",2953,3375,"0.0002","1.0010",2490,2739,"0.0002","1.0013",2728,3028,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.34(0.17,0.50)","0.0002","1.0009",2092,3032,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+UN","0.00","6.13(3.98,8.27)","12.87(10.92,14.87)","14.97(12.91,17.04)","0.0002","1.0013",2773,3021,"0.0002","1.0020",2558,3450,"0.0002","1.0020",2423,3282,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.92(-1.18,-0.68)","0.0002","1.0058",1312,2286,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+PD","0.00","3.89(1.80,6.01)","13.43(11.40,15.52)","13.15(10.99,15.35)","0.0002","1.0008",3014,3455,"0.0002","1.0006",2766,3447,"0.0002","0.9996",2581,2982,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0020",9325,3994,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+DB","0.00","4.23(1.86,6.63)","14.57(12.62,16.59)","14.58(12.38,16.87)","0.0006","1.0016",2870,3695,"0.0002","0.9997",3727,3666,"0.0002","1.0012",2944,3518,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.18(-0.71,0.33)","0.4755","1.0012",2241,2451
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+SM+PA","0.00","3.59(1.33,5.84)","12.79(10.72,14.84)","13.15(11.01,15.37)","0.0010","1.0006",3530,3682,"0.0002","1.0005",3529,3599,"0.0002","1.0007",3271,3512,"0.62(0.43,0.83)","0.0002","1.0008",3729,3454,"0.61(0.50,0.72)","0.0002","1.0004",3033,2604,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+SM+OB","0.00","1.50(-0.72,3.73)","15.13(13.13,17.17)","12.89(10.74,15.06)","0.1864","1.0004",2992,3352,"0.0002","1.0000",2608,3024,"0.0002","1.0000",2695,3196,"0.82(0.55,1.08)","0.0002","1.0003",2799,3029,"",NA,"NA",NA,NA,"-0.09(-0.31,0.12)","0.4126","1.0007",2285,2762,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2011_2015",10,"AirSVI+SM+UN","0.00","3.73(1.46,5.93)","13.31(11.26,15.33)","13.46(11.40,15.54)","0.0027","0.9998",3655,3678,"0.0002","1.0009",2870,3356,"0.0002","1.0008",2993,3392,"0.98(0.77,1.18)","0.0002","1.0021",2832,3366,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.18(-1.43,-0.93)","0.0002","1.0017",2871,3634,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
