ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"K70_K76_C22","2011_2015",10,"AirSVI+OB+UN+PD","0.00","7.11(6.16,8.05)","3.49(2.66,4.34)","6.64(5.75,7.53)","0.0002","1.0013",2542,3414,"0.0002","1.0017",2511,3145,"0.0002","1.0029",2147,3012,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.42(0.34,0.50)","0.0002","1.0021",2073,2600,"0.01(-0.08,0.10)","0.8209","1.0034",2182,3061,"0.00(0.00,0.01)","0.0002","1.0020",4154,3864,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+OB+UN+DB","0.00","5.90(4.91,6.89)","2.95(2.14,3.80)","5.58(4.69,6.50)","0.0002","1.0013",3064,3662,"0.0002","1.0021",3086,3643,"0.0002","1.0031",2439,2697,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(-0.07,0.14)","0.5147","1.0008",2727,3000,"-0.07(-0.16,0.03)","0.1635","1.0024",2713,3423,"",NA,"NA",NA,NA,"1.31(1.01,1.62)","0.0002","1.0022",2703,3537
"K70_K76_C22","2011_2015",10,"AirSVI+OB+PD+DB","0.00","5.61(4.64,6.56)","2.82(1.97,3.64)","5.14(4.20,6.04)","0.0002","1.0005",3703,3725,"0.0002","1.0017",3398,4126,"0.0002","1.0009",3236,3569,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-0.00,0.22)","0.0552","1.0020",2353,2875,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0010",5108,3907,"1.24(0.95,1.54)","0.0002","1.0023",2680,3099
"K70_K76_C22","2011_2015",10,"AirSVI+UN+PD+DB","0.00","5.65(4.69,6.60)","2.56(1.74,3.35)","5.04(4.14,5.96)","0.0002","1.0030",2700,3663,"0.0002","1.0020",2902,3617,"0.0002","1.0013",2465,3326,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.05(-0.15,0.04)","0.2718","1.0018",2355,3443,"0.00(0.00,0.01)","0.0015","1.0025",4430,3836,"1.46(1.24,1.68)","0.0002","1.0050",2643,3311
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+UN","0.00","6.64(5.71,7.59)","3.89(3.07,4.71)","6.62(5.77,7.44)","0.0002","1.0010",4064,3699,"0.0002","1.0001",4048,3816,"0.0002","1.0007",3320,3370,"0.68(0.58,0.78)","0.0002","1.0001",4305,3791,"0.00(-0.07,0.08)","0.9292","1.0017",3058,3547,"0.03(-0.06,0.12)","0.4980","1.0007",3440,3417,"-0.09(-0.19,0.00)","0.0614","1.0019",3395,3808,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+PD","0.00","5.96(5.00,6.88)","3.65(2.82,4.45)","5.68(4.79,6.54)","0.0002","1.0034",2942,3200,"0.0002","1.0002",3072,3403,"0.0002","1.0007",2744,3394,"0.70(0.61,0.80)","0.0002","1.0020",3530,3425,"-0.03(-0.10,0.05)","0.5122","1.0017",2168,2554,"0.12(0.02,0.21)","0.0115","1.0003",2713,3241,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0003",4819,4199,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+OB+DB","0.00","4.50(3.50,5.47)","2.94(2.15,3.76)","4.32(3.41,5.23)","0.0002","1.0017",3351,3370,"0.0002","1.0011",3429,3209,"0.0002","1.0016",2763,3283,"0.79(0.69,0.90)","0.0002","1.0014",3169,3804,"0.15(0.07,0.23)","0.0006","1.0022",2869,3130,"-0.39(-0.51,-0.28)","0.0002","1.0022",2589,2826,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.85(1.52,2.18)","0.0002","1.0025",2139,2923
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+UN+PD","0.00","6.19(5.24,7.13)","3.48(2.63,4.29)","5.79(4.90,6.68)","0.0002","1.0025",2240,2806,"0.0002","1.0030",1998,2837,"0.0002","1.0046",1905,2566,"0.76(0.67,0.86)","0.0002","1.0022",2683,2959,"-0.06(-0.13,0.02)","0.1210","1.0022",1786,2796,"",NA,"NA",NA,NA,"-0.08(-0.18,0.01)","0.0898","1.0013",2042,2897,"0.01(0.00,0.01)","0.0002","1.0016",4771,4067,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+UN+DB","0.00","5.33(4.35,6.35)","3.29(2.48,4.10)","5.26(4.37,6.14)","0.0002","1.0021",2691,3251,"0.0002","1.0006",2792,3755,"0.0002","1.0027",2257,3231,"0.64(0.55,0.73)","0.0002","1.0006",3562,3243,"0.15(0.07,0.23)","0.0006","1.0003",1976,2528,"",NA,"NA",NA,NA,"-0.15(-0.24,-0.05)","0.0035","1.0021",2799,2935,"",NA,"NA",NA,NA,"1.18(0.94,1.44)","0.0002","1.0008",2797,3029
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA+PD+DB","0.00","4.52(3.56,5.46)","3.04(2.27,3.85)","4.22(3.31,5.11)","0.0002","1.0007",3122,3440,"0.0002","1.0001",3358,3619,"0.0002","0.9999",2700,3694,"0.70(0.61,0.80)","0.0002","1.0002",4041,3594,"0.11(0.03,0.19)","0.0048","1.0022",2412,3257,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.01,0.01)","0.0002","1.0001",4821,4271,"1.22(0.97,1.47)","0.0002","1.0032",3062,3050
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB+UN+PD","0.00","6.16(5.20,7.08)","3.50(2.69,4.31)","5.75(4.88,6.63)","0.0002","1.0005",3220,3548,"0.0002","1.0003",3450,3489,"0.0002","0.9997",2963,3783,"0.72(0.62,0.82)","0.0002","1.0002",4026,3954,"",NA,"NA",NA,NA,"0.13(0.04,0.22)","0.0048","1.0002",2476,3635,"-0.07(-0.17,0.03)","0.1548","1.0015",2753,3464,"0.01(0.00,0.01)","0.0002","1.0002",4891,4245,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB+UN+DB","0.00","4.54(3.58,5.51)","2.88(2.06,3.68)","4.39(3.48,5.30)","0.0002","1.0022",2123,3344,"0.0002","1.0016",1770,2613,"0.0002","1.0021",1684,2905,"0.78(0.68,0.88)","0.0002","1.0008",2335,3407,"",NA,"NA",NA,NA,"-0.42(-0.53,-0.30)","0.0002","1.0008",1517,2421,"-0.19(-0.29,-0.10)","0.0002","1.0016",2304,3140,"",NA,"NA",NA,NA,"1.77(1.45,2.11)","0.0002","1.0012",1411,2477
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB+PD+DB","0.00","4.00(3.01,4.98)","2.86(2.04,3.66)","3.72(2.77,4.64)","0.0002","1.0042",2141,3096,"0.0002","1.0029",2658,2941,"0.0002","1.0055",2031,2799,"0.79(0.69,0.89)","0.0002","1.0013",2644,2955,"",NA,"NA",NA,NA,"-0.30(-0.42,-0.18)","0.0002","1.0018",1786,2880,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0008",4698,4093,"1.60(1.28,1.92)","0.0002","1.0036",1654,2461
"K70_K76_C22","2011_2015",10,"AirSVI+SM+UN+PD+DB","0.00","4.56(3.57,5.54)","2.97(2.15,3.75)","4.24(3.33,5.16)","0.0002","1.0014",2398,3370,"0.0002","1.0011",2542,3374,"0.0002","1.0032",2249,2995,"0.69(0.60,0.78)","0.0002","1.0013",2565,3149,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.14(-0.24,-0.05)","0.0035","1.0023",2058,3032,"0.01(0.01,0.01)","0.0002","1.0017",3972,3818,"1.14(0.93,1.37)","0.0002","1.0029",2361,2971
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB+UN+PD","0.00","6.81(5.83,7.80)","3.56(2.69,4.40)","6.47(5.56,7.35)","0.0002","1.0004",3514,3401,"0.0002","1.0014",3569,3464,"0.0002","1.0015",3127,3210,"",NA,"NA",NA,NA,"-0.10(-0.17,-0.02)","0.0110","1.0009",2697,3381,"0.38(0.30,0.47)","0.0002","1.0006",3525,3482,"-0.00(-0.10,0.09)","0.9154","1.0011",3095,3478,"0.01(0.00,0.01)","0.0002","1.0011",5015,3992,"",NA,"NA",NA,NA
