ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
J40_J47_J60_J70_J84_D86_C34,2011_2015,10,AirSVI,0.00,"18.14(15.39,20.88)","0.92(-1.70,3.56)","15.67(12.86,18.47)",0.0002,1.0033,1931,2681,0.4947,1.0014,2166,2666,0.0002,1.0026,1823,2567,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM","0.00","5.74(3.29,8.24)","6.74(4.43,8.95)","9.25(6.80,11.67)","0.0002","1.0011",3391,3356,"0.0002","1.0005",3262,3112,"0.0002","1.0018",3164,3508,"4.50(4.29,4.71)","0.0002","1.0011",2984,3326,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PA","0.00","11.72(8.85,14.86)","3.45(0.90,6.06)","13.00(10.37,15.76)","0.0002","1.0044",1174,2001,"0.0044","1.0025",1914,2458,"0.0002","1.0045",1578,2589,"",NA,"NA",NA,NA,"-1.35(-1.65,-1.03)","0.0002","1.0061",770,1044,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+OB","0.00","11.32(8.58,13.97)","5.29(2.85,7.85)","13.62(10.91,16.21)","0.0002","1.0016",3419,4031,"0.0002","1.0016",3319,3219,"0.0002","1.0013",3255,3390,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.26(2.07,2.45)","0.0002","1.0020",2796,3314,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+UN","0.00","19.21(16.44,22.03)","-0.42(-3.05,2.25)","15.79(13.14,18.54)","0.0002","1.0015",1903,3211,"0.7396","1.0015",1723,2516,"0.0002","1.0031",1756,2937,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.60(-0.94,-0.24)","0.0027","1.0011",1180,1922,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PD","0.00","17.91(15.18,20.61)","3.43(0.74,5.96)","18.20(15.52,20.84)","0.0002","1.0019",1701,2511,"0.0115","1.0013",1550,2662,"0.0002","1.0017",1351,2630,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.04,-0.02)","0.0002","1.0006",3937,3241,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+DB","0.00","12.15(9.09,15.24)","2.19(-0.44,4.80)","11.83(8.90,14.70)","0.0002","1.0017",2310,3336,"0.1085","1.0042",2709,2961,"0.0002","1.0022",2357,3460,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.84(3.11,4.54)","0.0002","1.0036",1082,1530
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM+PA","0.00","4.92(2.45,7.37)","7.72(5.44,9.98)","9.22(6.87,11.64)","0.0002","1.0003",2824,3458,"0.0002","1.0010",2727,3283,"0.0002","1.0006",2652,2697,"4.57(4.35,4.79)","0.0002","1.0004",2700,2866,"-0.22(-0.33,-0.10)","0.0002","1.0047",2402,3076,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM+OB","0.00","5.96(3.50,8.38)","6.62(4.46,8.80)","9.28(6.97,11.55)","0.0002","1.0007",2878,3041,"0.0002","1.0013",2601,3176,"0.0002","1.0014",2531,3319,"4.67(4.38,4.95)","0.0002","1.0000",3028,3432,"",NA,"NA",NA,NA,"-0.21(-0.43,0.02)","0.0723","1.0001",2558,2646,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM+UN","0.00","9.14(6.69,11.55)","4.23(2.13,6.37)","10.24(7.96,12.50)","0.0002","1.0015",3725,3946,"0.0002","1.0013",3291,3563,"0.0002","1.0024",3004,3583,"4.89(4.67,5.11)","0.0002","1.0014",2942,3180,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.72(-1.98,-1.46)","0.0002","1.0013",2764,3366,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM+PD","0.00","5.58(3.11,7.99)","6.46(4.11,8.72)","8.87(6.39,11.26)","0.0002","0.9999",3996,3952,"0.0002","1.0000",4016,3897,"0.0002","0.9997",3368,3648,"4.53(4.32,4.76)","0.0002","1.0012",3109,3522,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.3551","1.0002",6439,4247,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+SM+DB","0.00","7.93(5.34,10.50)","7.13(4.98,9.42)","11.02(8.62,13.41)","0.0002","1.0022",2642,3474,"0.0002","1.0025",2726,3262,"0.0002","1.0025",2499,3347,"4.76(4.53,5.00)","0.0002","1.0020",2708,2968,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.52(-2.11,-0.93)","0.0002","1.0016",2806,3473
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PA+OB","0.00","10.82(7.95,13.66)","5.84(3.29,8.46)","13.60(10.96,16.24)","0.0002","1.0013",2691,3249,"0.0002","1.0031",2560,3077,"0.0002","1.0015",2289,2937,"",NA,"NA",NA,NA,"-0.11(-0.25,0.02)","0.0902","1.0002",2308,2948,"2.32(2.12,2.52)","0.0002","1.0018",2368,3260,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PA+UN","0.00","12.63(9.81,15.52)","1.63(-0.91,4.18)","13.03(10.47,15.66)","0.0002","1.0010",1902,2631,"0.2147","1.0022",2106,2443,"0.0002","1.0026",2055,2157,"",NA,"NA",NA,NA,"-1.97(-2.24,-1.68)","0.0002","1.0027",1138,2058,"",NA,"NA",NA,NA,"-1.70(-2.04,-1.35)","0.0002","1.0000",1972,2609,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PA+PD","0.00","13.55(10.27,16.66)","4.48(1.87,7.22)","15.71(12.75,18.55)","0.0002","1.0030",1047,1797,"0.0010","1.0024",2022,2375,"0.0002","1.0036",1337,1989,"",NA,"NA",NA,NA,"-0.92(-1.27,-0.53)","0.0002","1.0092",511,906,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.02(-0.03,-0.01)","0.0002","1.0034",1649,2995,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+PA+DB","0.00","12.89(9.83,15.93)","0.96(-1.71,3.59)","11.67(8.89,14.46)","0.0002","1.0004",1790,2922,"0.4864","1.0009",2351,3069,"0.0002","1.0009",1993,3073,"",NA,"NA",NA,NA,"0.29(0.15,0.42)","0.0002","1.0079",794,2150,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.80(3.11,4.46)","0.0002","1.0055",1080,2078
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+OB+UN","0.00","13.33(10.55,16.02)","3.82(1.30,6.33)","14.36(11.78,16.97)","0.0002","1.0005",3052,3178,"0.0027","1.0020",2782,3675,"0.0002","1.0004",2946,3636,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.48(2.29,2.69)","0.0002","1.0012",2131,3136,"-1.08(-1.38,-0.77)","0.0002","1.0002",2699,3372,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+OB+PD","0.00","11.47(8.64,14.21)","5.82(3.31,8.39)","14.30(11.54,17.01)","0.0002","1.0017",3085,3580,"0.0002","1.0013",2760,3372,"0.0002","1.0026",2550,3550,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.21(2.01,2.41)","0.0002","1.0015",2026,2922,"",NA,"NA",NA,NA,"-0.01(-0.01,0.00)","0.0885","1.0017",6303,4003,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+OB+DB","0.00","15.53(12.58,18.41)","6.82(4.33,9.24)","17.74(14.95,20.58)","0.0002","1.0009",2630,2858,"0.0002","1.0021",2604,3048,"0.0002","1.0004",2422,3301,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.22(2.94,3.53)","0.0002","1.0028",1506,2379,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-3.97(-4.89,-3.02)","0.0002","1.0013",1834,2740
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"AirSVI+UN+PD","0.00","19.66(16.83,22.51)","1.79(-0.84,4.54)","18.75(15.98,21.49)","0.0002","1.0010",1799,2679,"0.1948","1.0032",1597,2475,"0.0002","1.0012",1618,2575,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.88(-1.24,-0.53)","0.0002","1.0030",1178,2250,"-0.03(-0.04,-0.03)","0.0002","1.0020",4016,3737,"",NA,"NA",NA,NA
