ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA+PD+DB","0.00","1.98(1.11,2.87)","1.51(0.76,2.26)","2.55(1.70,3.38)","0.0002","1.0016",2188,2580,"0.0002","1.0042",2195,3338,"0.0002","1.0050",1985,2928,"",NA,"NA",NA,NA,"-0.16(-0.23,-0.08)","0.0002","1.0013",2086,2725,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.8488","1.0009",4179,3322,"1.15(0.93,1.36)","0.0002","1.0028",2188,2809
"N00_N29_C64_C65","2011_2015",10,"AirSVI+OB+UN+PD","0.00","3.82(3.03,4.63)","1.64(0.95,2.33)","4.02(3.26,4.75)","0.0002","1.0032",2234,3017,"0.0002","1.0023",2174,2970,"0.0002","1.0039",1949,2784,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.53(0.47,0.60)","0.0002","1.0041",1906,2767,"-0.26(-0.33,-0.18)","0.0002","1.0024",2025,3041,"0.00(-0.00,0.00)","0.2702","1.0019",4388,3865,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+OB+UN+DB","0.00","2.84(1.98,3.68)","1.07(0.33,1.79)","2.96(2.18,3.74)","0.0002","1.0010",3218,3798,"0.0044","1.0009",2685,3095,"0.0002","1.0011",2746,3044,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.29(0.21,0.38)","0.0002","1.0021",2497,2864,"-0.32(-0.40,-0.24)","0.0002","1.0019",2708,3394,"",NA,"NA",NA,NA,"0.96(0.72,1.21)","0.0002","1.0021",2794,3676
"N00_N29_C64_C65","2011_2015",10,"AirSVI+OB+PD+DB","0.00","2.39(1.56,3.23)","1.70(0.99,2.41)","2.92(2.12,3.71)","0.0002","1.0010",2757,3420,"0.0002","1.0016",2438,3331,"0.0002","1.0015",2379,3304,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.33(0.23,0.42)","0.0002","1.0009",2145,3010,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1848","1.0003",4576,3774,"0.77(0.51,1.02)","0.0002","1.0009",2454,2941
"N00_N29_C64_C65","2011_2015",10,"AirSVI+UN+PD+DB","0.00","2.73(1.87,3.56)","0.57(-0.14,1.28)","2.59(1.78,3.38)","0.0002","1.0020",1985,2914,"0.1173","1.0012",2370,3344,"0.0002","1.0025",1803,2744,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.33(-0.41,-0.25)","0.0002","1.0028",1981,3167,"-0.00(-0.00,-0.00)","0.0390","1.0019",4223,4026,"1.52(1.32,1.71)","0.0002","1.0022",2132,2928
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+UN","0.00","3.14(2.35,3.93)","1.88(1.19,2.57)","3.75(3.04,4.45)","0.0002","1.0007",3906,3762,"0.0002","1.0020",3725,3878,"0.0002","1.0011",3366,3712,"0.28(0.19,0.36)","0.0002","1.0009",3756,3595,"-0.15(-0.22,-0.08)","0.0002","1.0003",2914,3263,"0.30(0.22,0.38)","0.0002","1.0002",3157,3571,"-0.31(-0.40,-0.23)","0.0002","1.0016",2934,3049,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+PD","0.00","2.42(1.62,3.24)","2.25(1.54,2.94)","3.27(2.53,4.04)","0.0002","1.0018",2987,3564,"0.0002","1.0012",3139,3548,"0.0002","1.0027",2705,3385,"0.27(0.19,0.36)","0.0002","1.0020",3128,3074,"-0.13(-0.20,-0.05)","0.0002","1.0006",2068,2769,"0.33(0.25,0.42)","0.0002","1.0017",2659,3329,"",NA,"NA",NA,NA,"0.00(0.00,0.00)","0.0015","1.0001",5300,4193,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+OB+DB","0.00","1.76(0.89,2.63)","1.90(1.17,2.63)","2.65(1.82,3.45)","0.0002","1.0004",3044,3451,"0.0002","1.0013",2801,3261,"0.0002","1.0012",2398,3101,"0.30(0.22,0.39)","0.0002","0.9998",4540,4100,"-0.05(-0.12,0.03)","0.1914","1.0019",3370,3383,"0.11(0.01,0.21)","0.0260","1.0005",3044,3292,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.83(0.56,1.09)","0.0002","1.0006",2923,3254
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+UN+PD","0.00","3.15(2.35,3.97)","1.64(0.95,2.31)","3.57(2.82,4.33)","0.0002","1.0029",2219,3172,"0.0002","1.0022",2234,2985,"0.0002","1.0029",1952,2787,"0.42(0.34,0.49)","0.0002","1.0023",2154,3011,"-0.26(-0.33,-0.19)","0.0002","1.0029",1727,2540,"",NA,"NA",NA,NA,"-0.31(-0.39,-0.23)","0.0002","1.0026",1798,2484,"0.00(-0.00,0.00)","0.5438","1.0002",4496,4120,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA+UN+DB","0.00","1.98(1.13,2.83)","1.02(0.33,1.71)","2.34(1.59,3.09)","0.0002","1.0024",2528,3182,"0.0052","1.0016",2395,3135,"0.0002","1.0018",2186,2912,"0.36(0.29,0.44)","0.0002","1.0012",3003,3524,"-0.09(-0.16,-0.02)","0.0173","1.0010",2295,2467,"",NA,"NA",NA,NA,"-0.37(-0.45,-0.29)","0.0002","1.0027",2191,2919,"",NA,"NA",NA,NA,"1.14(0.93,1.35)","0.0002","1.0030",2619,3053
