ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"I00_I99","2011_2015",10,"AirSVI+OB+UN+PD","0.00","29.10(25.65,32.51)","5.55(2.23,8.61)","27.43(23.93,30.72)","0.0002","1.0007",3318,3565,"0.0010","1.0019",3203,3923,"0.0002","1.0022",2996,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.83(5.56,6.10)","0.0002","1.0034",1491,2193,"-1.73(-2.15,-1.33)","0.0002","1.0008",2395,3171,"0.02(0.01,0.03)","0.0002","1.0003",4676,3235,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB+UN+DB","0.00","25.93(22.22,29.53)","5.92(2.74,9.14)","26.05(22.58,29.48)","0.0002","1.0014",1977,3328,"0.0002","1.0011",2366,3404,"0.0002","1.0013",1835,2870,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.76(4.36,5.15)","0.0002","1.0027",1684,2225,"-1.87(-2.27,-1.46)","0.0002","1.0016",1853,2816,"",NA,"NA",NA,NA,"3.96(2.70,5.26)","0.0002","1.0026",1971,2600
"I00_I99","2011_2015",10,"AirSVI+OB+PD+DB","0.00","23.34(19.70,27.01)","6.87(3.55,10.22)","23.63(19.94,27.31)","0.0002","1.0016",2447,3526,"0.0002","1.0040",2193,3103,"0.0002","1.0032",2070,2838,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.65(4.25,5.04)","0.0002","1.0029",1190,2197,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0014",3837,3783,"3.08(1.82,4.34)","0.0002","1.0015",1849,2795
"I00_I99","2011_2015",10,"AirSVI+UN+PD+DB","0.00","24.25(20.50,27.94)","-1.49(-4.82,2.01)","20.33(16.79,23.92)","0.0002","1.0010",1939,2573,"0.3814","1.0024",2297,3188,"0.0002","1.0011",1813,2814,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.94(-2.39,-1.49)","0.0002","1.0026",1552,2345,"-0.01(-0.02,-0.00)","0.0056","1.0011",2507,3219,"12.68(11.70,13.69)","0.0002","1.0049",1597,2264
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+UN","0.00","23.38(20.08,26.82)","8.17(5.01,11.33)","24.67(21.53,27.89)","0.0002","1.0029",2359,2963,"0.0002","1.0024",2471,3131,"0.0002","1.0034",2444,2769,"5.88(5.48,6.29)","0.0002","1.0032",1893,2571,"-0.15(-0.31,0.01)","0.0594","1.0044",1024,1665,"2.68(2.35,2.99)","0.0002","1.0054",1738,2664,"-2.44(-2.85,-2.06)","0.0002","1.0003",2192,2820,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+PD","0.00","16.64(13.12,20.20)","10.17(6.94,13.22)","19.24(15.77,22.60)","0.0002","1.0008",2572,3311,"0.0002","1.0017",2703,3141,"0.0002","1.0014",2632,3336,"5.72(5.32,6.11)","0.0002","1.0008",2824,3519,"-0.57(-0.74,-0.40)","0.0002","1.0027",2155,3166,"2.76(2.42,3.11)","0.0002","1.0036",2470,3197,"",NA,"NA",NA,NA,"0.04(0.03,0.05)","0.0002","1.0029",4691,3533,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+OB+DB","0.00","14.64(11.09,18.24)","9.88(6.77,13.01)","18.92(15.55,22.31)","0.0002","1.0017",2992,3587,"0.0002","1.0018",2903,3198,"0.0002","1.0023",2649,3370,"5.71(5.30,6.12)","0.0002","1.0003",3116,3350,"-0.18(-0.34,-0.03)","0.0190","1.0024",1989,2742,"1.09(0.62,1.57)","0.0002","1.0010",2173,3065,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.67(3.38,5.91)","0.0002","1.0038",2202,2948
"I00_I99","2011_2015",10,"AirSVI+SM+PA+UN+PD","0.00","25.05(21.55,28.52)","5.05(1.79,8.26)","22.48(19.14,25.93)","0.0002","1.0008",2060,3398,"0.0048","1.0006",2119,2741,"0.0002","1.0013",1855,2599,"8.09(7.74,8.42)","0.0002","1.0015",1897,2411,"0.04(-0.14,0.21)","0.6955","1.0070",722,1527,"",NA,"NA",NA,NA,"-1.95(-2.34,-1.55)","0.0002","1.0039",2003,2892,"0.02(0.01,0.03)","0.0010","1.0003",3394,3367,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+PA+UN+DB","0.00","17.37(13.91,20.89)","3.66(0.61,6.80)","16.65(13.36,20.03)","0.0002","1.0018",2675,3124,"0.0219","1.0007",3460,3682,"0.0002","1.0005",2494,3249,"6.61(6.25,6.95)","0.0002","1.0012",3179,3468,"0.09(-0.06,0.24)","0.2443","1.0035",1699,2084,"",NA,"NA",NA,NA,"-2.78(-3.16,-2.39)","0.0002","1.0014",2930,3352,"",NA,"NA",NA,NA,"8.15(7.28,9.06)","0.0002","1.0012",2519,3182
"I00_I99","2011_2015",10,"AirSVI+SM+PA+PD+DB","0.00","11.97(8.25,15.60)","6.92(3.77,10.15)","13.70(10.19,17.22)","0.0002","1.0006",2258,2862,"0.0002","1.0016",2562,2767,"0.0002","1.0022",2047,2928,"6.48(6.13,6.83)","0.0002","1.0011",2050,2629,"-0.24(-0.40,-0.08)","0.0035","1.0014",1351,2116,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0012",3462,3404,"6.99(6.08,7.85)","0.0002","1.0040",2149,3075
