Model,Lag,Q1,Q2,Q3,Q4,Q5
Built,5,0,"2.17(0.81,3.44)**","2.42(1.11,3.73)***","2.33(0.91,3.66)***","2.51(1.01,3.94)***"
Built,10,0,"1.93(0.62,3.25)**","2.66(1.31,3.97)***","2.13(0.77,3.53)**","2.40(0.88,3.88)**"
Built,15,0,"3.15(1.72,4.62)***","3.39(1.90,4.91)***","2.39(0.87,3.94)**","2.23(0.65,3.92)**"
Social,5,0,"2.50(1.19,3.78)***","2.40(1.03,3.81)***","2.12(0.63,3.64)**","3.18(1.47,4.81)***"
Social,10,0,"0.62(-0.74,1.94)","1.53(0.10,2.91)*","1.03(-0.53,2.53)","1.60(-0.07,3.30)"
Social,15,0,"-1.06(-2.47,0.43)","0.52(-1.00,2.07)","-0.43(-2.13,1.20)","0.72(-1.17,2.65)"
PD,,,,,,
EQI,5,0,"2.35(2.03,2.67)***","3.43(3.11,3.75)***","4.10(3.77,4.42)***","4.72(4.37,5.09)***"
EQI,10,0,"2.44(2.08,2.80)***","3.35(3.00,3.69)***","4.25(3.89,4.61)***","4.87(4.49,5.25)***"
EQI,15,0,"2.80(2.38,3.17)***","3.46(3.07,3.86)***","4.33(3.93,4.73)***","5.19(4.76,5.63)***"
Air,5,0,"2.16(1.80,2.52)***","2.72(2.35,3.10)***","2.87(2.48,3.26)***","2.76(2.34,3.18)***"
Air,10,0,"2.14(1.75,2.53)***","2.84(2.44,3.24)***","2.93(2.51,3.32)***","2.63(2.20,3.07)***"
Air,15,0,"2.80(2.33,3.24)***","3.28(2.82,3.72)***","3.62(3.15,4.07)***","3.28(2.79,3.76)***"
Water,5,0,"-0.06(-0.47,0.37)","0.51(0.08,0.96)*","0.58(0.15,1.01)*","0.62(0.17,1.09)**"
Water,10,0,"-0.15(-0.58,0.29)","0.18(-0.27,0.66)","0.38(-0.05,0.83)","0.52(0.05,1.00)*"
Water,15,0,"-0.02(-0.50,0.47)","0.58(0.08,1.08)*","0.52(0.03,1.02)*","0.77(0.24,1.30)**"
Land,5,0,"0.23(-0.11,0.55)","0.38(0.02,0.74)*","0.12(-0.25,0.51)","0.26(-0.16,0.69)"
Land,10,0,"0.50(0.16,0.84)**","0.53(0.17,0.88)**","0.38(-0.01,0.79)","0.79(0.37,1.22)***"
Land,15,0,"0.03(-0.35,0.43)","0.37(-0.06,0.77)","0.15(-0.30,0.61)","0.52(0.03,1.01)*"
Built,5,0,"0.96(0.63,1.29)***","1.40(1.06,1.73)***","1.41(1.08,1.74)***","1.37(1.01,1.72)***"
Built,10,0,"1.32(0.97,1.66)***","1.53(1.17,1.89)***","1.73(1.36,2.09)***","1.61(1.23,1.99)***"
Built,15,0,"1.22(0.83,1.61)***","1.62(1.21,2.01)***","1.64(1.24,2.03)***","1.48(1.07,1.89)***"
Social,5,0,"0.92(0.60,1.24)***","1.23(0.89,1.56)***","1.58(1.21,1.94)***","2.07(1.65,2.48)***"
Social,10,0,"0.50(0.16,0.85)**","0.96(0.61,1.34)***","1.41(1.02,1.81)***","1.82(1.39,2.28)***"
Social,15,0,"0.60(0.23,0.98)**","0.72(0.32,1.13)**","1.35(0.92,1.76)***","1.89(1.41,2.38)***"
VD,,,,,,
EQI,5,0,"0.76(0.56,0.97)***","1.36(1.14,1.58)***","1.71(1.48,1.94)***","2.21(1.96,2.46)***"
EQI,10,0,"0.93(0.67,1.18)***","1.50(1.24,1.77)***","1.90(1.62,2.18)***","2.36(2.06,2.66)***"
EQI,15,0,"0.81(0.51,1.11)***","1.38(1.08,1.70)***","1.81(1.48,2.13)***","2.58(2.22,2.95)***"
Air,5,0,"0.96(0.73,1.18)***","1.42(1.18,1.66)***","1.71(1.45,1.96)***","1.77(1.49,2.06)***"
Air,10,0,"1.38(1.10,1.66)***","1.87(1.57,2.15)***","2.06(1.74,2.37)***","1.94(1.59,2.29)***"
Air,15,0,"1.40(1.07,1.72)***","1.70(1.35,2.04)***","1.89(1.53,2.24)***","1.71(1.30,2.11)***"
Water,5,0,"0.15(-0.15,0.45)","0.16(-0.16,0.47)","0.06(-0.26,0.38)","0.37(0.03,0.70)*"
Water,10,0,"0.32(-0.05,0.68)","0.27(-0.10,0.67)","0.14(-0.24,0.53)","0.41(0.02,0.82)*"
Water,15,0,"0.36(-0.05,0.79)","0.55(0.10,0.99)*","0.49(0.05,0.93)*","0.88(0.42,1.35)***"
Land,5,0,"-0.20(-0.42,0.02)","-0.19(-0.43,0.05)","-0.38(-0.65,-0.11)**","-0.23(-0.51,0.06)"
Land,10,0,"0.05(-0.21,0.32)","-0.09(-0.36,0.19)","-0.10(-0.40,0.21)","-0.13(-0.45,0.21)"
Land,15,0,"0.06(-0.24,0.35)","0.06(-0.26,0.38)","0.01(-0.35,0.37)","0.23(-0.16,0.62)"
Built,5,0,"0.28(0.07,0.49)**","0.56(0.33,0.77)***","0.55(0.33,0.78)***","0.61(0.37,0.85)***"
Built,10,0,"0.50(0.24,0.73)***","0.53(0.27,0.79)**","0.54(0.28,0.80)***","0.64(0.36,0.92)***"
Built,15,0,"0.29(0.01,0.58)*","0.35(0.04,0.66)*","0.47(0.16,0.79)**","0.59(0.26,0.92)***"
Social,5,0,"0.34(0.13,0.55)**","0.31(0.07,0.54)**","0.58(0.33,0.83)***","0.67(0.38,0.97)***"
Social,10,0,"0.35(0.10,0.60)**","0.35(0.08,0.62)**","0.69(0.40,0.99)***","0.88(0.53,1.22)***"
Social,15,0,"0.50(0.21,0.78)***","0.30(-0.01,0.61)","0.94(0.60,1.29)***","1.24(0.84,1.63)***"
ALS,,,,,,
EQI,5,0,"0.46(0.36,0.56)***","0.89(0.78,1.00)***","1.43(1.31,1.55)***","1.83(1.68,1.96)***"
EQI,10,0,"0.56(0.46,0.67)***","1.09(0.97,1.21)***","1.40(1.27,1.52)***","1.78(1.64,1.91)***"
EQI,15,0,"0.46(0.37,0.55)***","0.86(0.76,0.96)***","1.20(1.09,1.30)***","1.54(1.43,1.65)***"
Air,5,0,"0.48(0.36,0.59)***","0.79(0.66,0.91)***","1.14(1.00,1.28)***","1.09(0.94,1.22)***"
Air,10,0,"0.53(0.41,0.65)***","0.95(0.82,1.09)***","1.10(0.97,1.25)***","1.00(0.85,1.14)***"
Air,15,0,"0.51(0.41,0.60)***","0.81(0.70,0.92)***","1.06(0.94,1.17)***","1.03(0.91,1.16)***"
Water,5,0,"0.03(-0.11,0.16)","0.26(0.11,0.40)**","0.23(0.08,0.37)**","0.22(0.07,0.37)**"
Water,10,0,"0.16(0.03,0.30)*","0.21(0.06,0.36)*","0.39(0.24,0.54)***","0.45(0.29,0.61)***"
Water,15,0,"0.09(-0.03,0.21)","0.09(-0.04,0.21)","0.19(0.07,0.31)**","0.26(0.12,0.39)***"
Land,5,0,"0.07(-0.05,0.18)","0.06(-0.07,0.19)","-0.01(-0.14,0.13)","0.03(-0.11,0.18)"
Land,10,0,"0.06(-0.06,0.18)","-0.03(-0.16,0.09)","-0.07(-0.21,0.07)","-0.15(-0.30,-0.00)*"
Land,15,0,"0.09(-0.01,0.19)","-0.01(-0.12,0.10)","-0.05(-0.17,0.07)","-0.05(-0.18,0.07)"
Built,5,0,"0.18(0.08,0.29)***","0.38(0.27,0.50)***","0.56(0.45,0.68)***","0.54(0.41,0.66)***"
Built,10,0,"0.28(0.17,0.39)***","0.30(0.18,0.41)***","0.51(0.39,0.64)***","0.51(0.38,0.64)***"
Built,15,0,"0.27(0.18,0.36)***","0.30(0.21,0.40)***","0.47(0.37,0.57)***","0.51(0.40,0.62)***"
Social,5,0,"0.21(0.10,0.32)***","0.28(0.16,0.40)***","0.38(0.25,0.52)***","0.63(0.48,0.79)***"
Social,10,0,"0.35(0.24,0.46)***","0.38(0.26,0.50)***","0.53(0.41,0.67)***","0.84(0.68,0.99)***"
Social,15,0,"0.15(0.06,0.25)**","0.23(0.13,0.33)***","0.29(0.18,0.40)***","0.47(0.34,0.61)***"
HD,,,,,,
EQI,5,0,"0.03(0.01,0.04)***","0.06(0.05,0.08)***","0.10(0.08,0.11)***","0.17(0.15,0.19)***"
EQI,10,0,"0.04(0.02,0.05)***","0.07(0.05,0.08)***","0.11(0.10,0.13)***","0.21(0.19,0.23)***"
EQI,15,0,"0.04(0.02,0.05)***","0.07(0.06,0.09)***","0.13(0.11,0.15)***","0.23(0.21,0.25)***"
Air,5,0,"0.03(0.01,0.04)***","0.05(0.03,0.06)***","0.08(0.07,0.10)***","0.16(0.14,0.18)***"
Air,10,0,"0.03(0.01,0.04)**","0.06(0.04,0.08)***","0.10(0.08,0.12)***","0.17(0.15,0.19)***"
Air,15,0,"0.03(0.02,0.05)***","0.07(0.05,0.09)***","0.12(0.10,0.14)***","0.20(0.18,0.23)***"
Water,5,0,"0.00(-0.01,0.02)","-0.01(-0.02,0.01)","0.01(-0.01,0.03)","0.00(-0.02,0.02)"
Water,10,0,"-0.01(-0.03,0.01)","-0.01(-0.03,0.01)","0.01(-0.01,0.03)","-0.01(-0.03,0.01)"
Water,15,0,"-0.02(-0.04,0.00)","-0.01(-0.03,0.01)","-0.01(-0.03,0.01)","-0.00(-0.03,0.02)"
Land,5,0,"0.02(0.00,0.03)*","0.02(0.00,0.03)*","-0.00(-0.02,0.01)","0.01(-0.01,0.03)"
Land,10,0,"0.01(-0.01,0.02)","0.01(-0.01,0.03)","0.00(-0.02,0.02)","0.00(-0.02,0.02)"
Land,15,0,"0.01(-0.01,0.02)","0.02(-0.00,0.03)","0.01(-0.01,0.03)","0.02(-0.00,0.04)"
Built,5,0,"0.01(-0.00,0.02)","0.01(-0.00,0.02)","0.03(0.02,0.05)***","0.04(0.03,0.06)***"
Built,10,0,"0.01(-0.00,0.03)","0.04(0.02,0.06)***","0.06(0.04,0.08)***","0.04(0.02,0.06)***"
Built,15,0,"0.01(-0.01,0.02)","0.02(0.00,0.03)*","0.02(0.00,0.04)*","0.03(0.01,0.05)***"
Social,5,0,"0.01(0.00,0.03)*","0.01(-0.01,0.02)","0.02(0.01,0.04)**","0.02(0.01,0.04)**"
Social,10,0,"0.01(-0.01,0.02)","0.01(-0.01,0.02)","0.03(0.01,0.05)**","0.04(0.02,0.06)**"
Social,15,0,"0.01(-0.01,0.02)","0.02(0.00,0.04)*","0.03(0.01,0.05)**","0.05(0.03,0.07)***"
