Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI,G20_G30_G12.2_F01_F03,NDD,2000_2005,5,0.0,"9.04(7.04,11.08)***","13.95(11.97,15.96)***","18.70(16.60,20.84)***","24.72(22.43,27.06)***"
EQI,G20_G30_G12.2_F01_F03,NDD,2000_2005,10,0.0,"9.87(7.83,11.98)***","13.89(11.81,16.00)***","19.28(17.09,21.61)***","26.74(24.34,29.21)***"
EQI,G20_G30_G12.2_F01_F03,NDD,2000_2005,15,0.0,"8.51(6.35,10.61)***","11.02(8.99,13.05)***","15.94(13.80,18.18)***","22.74(20.49,25.13)***"
EQI,G10,HD,2000_2005,5,0.0,"0.03(0.01,0.04)***","0.06(0.05,0.08)***","0.10(0.08,0.11)***","0.17(0.15,0.19)***"
EQI,G10,HD,2000_2005,10,0.0,"0.04(0.02,0.05)***","0.07(0.05,0.08)***","0.11(0.10,0.13)***","0.21(0.19,0.23)***"
EQI,G10,HD,2000_2005,15,0.0,"0.04(0.02,0.05)***","0.07(0.06,0.09)***","0.13(0.11,0.15)***","0.23(0.21,0.25)***"
EQI,G20,PD,2000_2005,5,0.0,"2.35(2.03,2.67)***","3.43(3.11,3.75)***","4.10(3.77,4.42)***","4.72(4.37,5.09)***"
EQI,G20,PD,2000_2005,10,0.0,"2.44(2.08,2.80)***","3.35(3.00,3.69)***","4.25(3.89,4.61)***","4.87(4.49,5.25)***"
EQI,G20,PD,2000_2005,15,0.0,"2.80(2.38,3.17)***","3.46(3.07,3.86)***","4.33(3.93,4.73)***","5.19(4.76,5.63)***"
EQI,G30,AD,2000_2005,5,0.0,"4.38(3.11,5.65)***","5.39(4.13,6.73)***","7.49(6.13,8.83)***","8.54(7.02,10.09)***"
EQI,G30,AD,2000_2005,10,0.0,"3.67(2.31,4.99)***","4.43(3.08,5.76)***","6.15(4.72,7.60)***","7.43(5.86,8.91)***"
EQI,G30,AD,2000_2005,15,0.0,"4.05(2.59,5.49)***","4.57(3.12,6.04)***","7.15(5.55,8.71)***","9.69(7.96,11.45)***"
EQI,G12.2,ALS,2000_2005,5,0.0,"0.46(0.36,0.56)***","0.89(0.78,1.00)***","1.43(1.31,1.55)***","1.83(1.68,1.96)***"
EQI,G12.2,ALS,2000_2005,10,0.0,"0.56(0.46,0.67)***","1.09(0.97,1.21)***","1.40(1.27,1.52)***","1.78(1.64,1.91)***"
EQI,G12.2,ALS,2000_2005,15,0.0,"0.46(0.37,0.55)***","0.86(0.76,0.96)***","1.20(1.09,1.30)***","1.54(1.43,1.65)***"
EQI,F01,VD,2000_2005,5,0.0,"0.76(0.56,0.97)***","1.36(1.14,1.58)***","1.71(1.48,1.94)***","2.21(1.96,2.46)***"
EQI,F01,VD,2000_2005,10,0.0,"0.93(0.67,1.18)***","1.50(1.24,1.77)***","1.90(1.62,2.18)***","2.36(2.06,2.66)***"
EQI,F01,VD,2000_2005,15,0.0,"0.81(0.51,1.11)***","1.38(1.08,1.70)***","1.81(1.48,2.13)***","2.58(2.22,2.95)***"
EQI,F03,UD,2000_2005,5,0.0,"4.14(2.89,5.35)***","6.57(5.28,7.85)***","8.07(6.70,9.40)***","11.54(10.03,13.04)***"
EQI,F03,UD,2000_2005,10,0.0,"4.87(3.49,6.28)***","6.92(5.53,8.34)***","9.48(7.96,10.93)***","13.97(12.33,15.63)***"
EQI,F03,UD,2000_2005,15,0.0,"2.87(1.59,4.14)***","3.42(2.08,4.74)***","4.59(3.26,5.99)***","6.59(5.08,8.13)***"
EQI,G20_G30_G12.2_F01_F03,NDD,2006_2010,5,0.0,"6.75(4.40,9.07)***","10.03(7.58,12.57)***","10.69(8.15,13.27)***","11.82(9.09,14.54)***"
EQI,G20_G30_G12.2_F01_F03,NDD,2006_2010,10,0.0,"4.86(2.60,7.12)***","8.13(5.80,10.52)***","8.16(5.59,10.65)***","8.51(5.88,11.10)***"
EQI,G10,HD,2006_2010,5,0.0,"0.05(0.03,0.07)***","0.07(0.05,0.09)***","0.07(0.05,0.09)***","0.08(0.06,0.11)***"
EQI,G10,HD,2006_2010,10,0.0,"0.04(0.02,0.06)***","0.06(0.04,0.08)***","0.07(0.05,0.10)***","0.11(0.09,0.13)***"
EQI,G20,PD,2006_2010,5,0.0,"1.34(0.90,1.78)***","1.72(1.25,2.19)***","1.79(1.31,2.28)***","1.78(1.29,2.28)***"
EQI,G20,PD,2006_2010,10,0.0,"1.74(1.24,2.22)***","1.99(1.48,2.50)***","2.16(1.61,2.68)***","2.15(1.60,2.69)***"
EQI,G30,AD,2006_2010,5,0.0,"2.27(0.82,3.73)**","2.98(1.51,4.55)***","2.40(0.79,4.03)**","2.69(1.02,4.42)**"
EQI,G30,AD,2006_2010,10,0.0,"2.50(0.89,4.12)**","4.68(2.89,6.41)***","4.04(2.27,5.86)***","4.06(2.17,5.91)***"
EQI,G12.2,ALS,2006_2010,5,0.0,"0.42(0.28,0.57)***","0.55(0.39,0.71)***","0.67(0.50,0.84)***","0.70(0.53,0.88)***"
EQI,G12.2,ALS,2006_2010,10,0.0,"0.32(0.20,0.44)***","0.62(0.48,0.75)***","0.54(0.39,0.68)***","0.59(0.45,0.74)***"
EQI,F01,VD,2006_2010,5,0.0,"0.78(0.49,1.07)***","1.02(0.72,1.34)***","1.21(0.89,1.54)***","1.09(0.74,1.43)***"
EQI,F01,VD,2006_2010,10,0.0,"1.17(0.83,1.52)***","1.16(0.79,1.52)***","1.21(0.83,1.60)***","1.30(0.91,1.70)***"
EQI,F03,UD,2006_2010,5,0.0,"2.92(1.40,4.44)***","5.06(3.41,6.73)***","5.91(4.15,7.61)***","6.44(4.59,8.26)***"
EQI,F03,UD,2006_2010,10,0.0,"-0.28(-1.67,1.16)","0.39(-1.10,1.91)","0.33(-1.29,1.96)","0.52(-1.19,2.23)"
EQI_Air,G20_G30_G12.2_F01_F03,NDD,2000_2005,5,0.0,"5.90(3.74,8.09)***","8.83(6.60,10.97)***","13.46(11.18,15.85)***","14.21(11.76,16.70)***"
EQI_Air,G20_G30_G12.2_F01_F03,NDD,2000_2005,10,0.0,"7.77(5.55,10.03)***","12.04(9.79,14.34)***","15.89(13.41,18.38)***","16.83(14.06,19.48)***"
EQI_Air,G20_G30_G12.2_F01_F03,NDD,2000_2005,15,0.0,"7.76(5.48,10.08)***","10.83(8.50,13.23)***","14.31(11.87,16.78)***","14.04(11.33,16.80)***"
EQI_Air,G10,HD,2000_2005,5,0.0,"0.03(0.01,0.04)***","0.05(0.03,0.06)***","0.08(0.07,0.10)***","0.16(0.14,0.18)***"
EQI_Air,G10,HD,2000_2005,10,0.0,"0.03(0.01,0.04)**","0.06(0.04,0.08)***","0.10(0.08,0.12)***","0.17(0.15,0.19)***"
EQI_Air,G10,HD,2000_2005,15,0.0,"0.03(0.02,0.05)***","0.07(0.05,0.09)***","0.12(0.10,0.14)***","0.20(0.18,0.23)***"
EQI_Air,G20,PD,2000_2005,5,0.0,"2.16(1.80,2.52)***","2.72(2.35,3.10)***","2.87(2.48,3.26)***","2.76(2.34,3.18)***"
EQI_Air,G20,PD,2000_2005,10,0.0,"2.14(1.75,2.53)***","2.84(2.44,3.24)***","2.93(2.51,3.32)***","2.63(2.20,3.07)***"
EQI_Air,G20,PD,2000_2005,15,0.0,"2.80(2.33,3.24)***","3.28(2.82,3.72)***","3.62(3.15,4.07)***","3.28(2.79,3.76)***"
EQI_Air,G30,AD,2000_2005,5,0.0,"2.77(1.32,4.28)***","4.25(2.72,5.81)***","5.73(4.18,7.34)***","4.72(3.01,6.49)***"
EQI_Air,G30,AD,2000_2005,10,0.0,"3.28(1.81,4.71)***","5.66(4.14,7.16)***","6.50(4.84,8.11)***","5.34(3.54,7.12)***"
EQI_Air,G30,AD,2000_2005,15,0.0,"3.77(2.16,5.48)***","7.70(5.99,9.44)***","8.97(7.13,10.75)***","8.83(6.82,10.86)***"
EQI_Air,G12.2,ALS,2000_2005,5,0.0,"0.48(0.36,0.59)***","0.79(0.66,0.91)***","1.14(1.00,1.28)***","1.09(0.94,1.22)***"
EQI_Air,G12.2,ALS,2000_2005,10,0.0,"0.53(0.41,0.65)***","0.95(0.82,1.09)***","1.10(0.97,1.25)***","1.00(0.85,1.14)***"
EQI_Air,G12.2,ALS,2000_2005,15,0.0,"0.51(0.41,0.60)***","0.81(0.70,0.92)***","1.06(0.94,1.17)***","1.03(0.91,1.16)***"
EQI_Air,F01,VD,2000_2005,5,0.0,"0.96(0.73,1.18)***","1.42(1.18,1.66)***","1.71(1.45,1.96)***","1.77(1.49,2.06)***"
EQI_Air,F01,VD,2000_2005,10,0.0,"1.38(1.10,1.66)***","1.87(1.57,2.15)***","2.06(1.74,2.37)***","1.94(1.59,2.29)***"
EQI_Air,F01,VD,2000_2005,15,0.0,"1.40(1.07,1.72)***","1.70(1.35,2.04)***","1.89(1.53,2.24)***","1.71(1.30,2.11)***"
EQI_Air,F03,UD,2000_2005,5,0.0,"2.55(1.22,3.89)***","3.54(2.12,4.95)***","5.89(4.35,7.37)***","7.57(5.88,9.26)***"
EQI_Air,F03,UD,2000_2005,10,0.0,"3.83(2.31,5.35)***","4.66(3.07,6.24)***","7.17(5.50,8.86)***","9.55(7.72,11.44)***"
EQI_Air,F03,UD,2000_2005,15,0.0,"2.35(0.94,3.77)***","0.87(-0.62,2.36)","2.05(0.49,3.65)*","2.09(0.29,3.84)*"
EQI_Air,G20_G30_G12.2_F01_F03,NDD,2006_2010,5,0.0,"2.42(0.21,4.59)*","2.31(-0.03,4.75)","2.53(0.07,5.08)*","2.41(-0.11,5.00)"
EQI_Air,G20_G30_G12.2_F01_F03,NDD,2006_2010,10,0.0,"1.89(-0.26,4.12)","1.35(-0.97,3.73)","1.84(-0.68,4.29)","1.60(-0.98,4.22)"
EQI_Air,G10,HD,2006_2010,5,0.0,"0.02(0.00,0.04)*","0.02(-0.00,0.04)","0.01(-0.01,0.03)","0.00(-0.02,0.03)"
EQI_Air,G10,HD,2006_2010,10,0.0,"0.01(-0.01,0.03)","-0.00(-0.02,0.02)","0.01(-0.02,0.03)","0.00(-0.02,0.02)"
EQI_Air,G20,PD,2006_2010,5,0.0,"0.59(0.20,0.98)**","0.27(-0.16,0.69)","0.35(-0.08,0.78)","0.26(-0.20,0.69)"
EQI_Air,G20,PD,2006_2010,10,0.0,"0.17(-0.24,0.59)","0.28(-0.18,0.74)","0.44(-0.06,0.92)","0.07(-0.43,0.54)"
EQI_Air,G30,AD,2006_2010,5,0.0,"0.08(-1.31,1.53)","1.31(-0.15,2.81)","0.32(-1.27,1.88)","-0.01(-1.65,1.62)"
EQI_Air,G30,AD,2006_2010,10,0.0,"-0.21(-1.80,1.34)","0.25(-1.43,1.88)","-0.06(-1.82,1.69)","-0.26(-2.15,1.57)"
EQI_Air,G12.2,ALS,2006_2010,5,0.0,"0.14(0.01,0.26)*","0.10(-0.04,0.24)","-0.02(-0.16,0.12)","0.09(-0.07,0.23)"
EQI_Air,G12.2,ALS,2006_2010,10,0.0,"0.05(-0.05,0.16)","0.09(-0.02,0.20)","0.07(-0.05,0.19)","0.06(-0.06,0.19)"
EQI_Air,F01,VD,2006_2010,5,0.0,"0.23(-0.06,0.51)","0.01(-0.29,0.31)","0.05(-0.26,0.36)","0.13(-0.20,0.46)"
EQI_Air,F01,VD,2006_2010,10,0.0,"0.31(-0.01,0.64)","0.13(-0.21,0.49)","0.10(-0.26,0.48)","0.15(-0.23,0.53)"
EQI_Air,F03,UD,2006_2010,5,0.0,"1.02(-0.47,2.50)","-0.05(-1.61,1.51)","1.22(-0.37,2.87)","1.44(-0.30,3.13)"
EQI_Air,F03,UD,2006_2010,10,0.0,"1.08(-0.31,2.43)","-0.19(-1.66,1.32)","0.77(-0.82,2.37)","0.95(-0.72,2.64)"
EQI_Water,G20_G30_G12.2_F01_F03,NDD,2000_2005,5,0.0,"0.69(-1.96,3.32)","2.08(-0.68,4.81)","3.81(1.18,6.41)**","4.20(1.53,7.02)**"
EQI_Water,G20_G30_G12.2_F01_F03,NDD,2000_2005,10,0.0,"1.55(-1.25,4.43)","2.84(-0.09,5.78)","5.13(2.20,8.18)**","5.47(2.43,8.60)**"
EQI_Water,G20_G30_G12.2_F01_F03,NDD,2000_2005,15,0.0,"1.39(-1.46,4.19)","2.41(-0.58,5.40)","3.82(0.97,6.64)**","5.49(2.35,8.63)***"
EQI_Water,G10,HD,2000_2005,5,0.0,"0.00(-0.01,0.02)","-0.01(-0.02,0.01)","0.01(-0.01,0.03)","0.00(-0.02,0.02)"
EQI_Water,G10,HD,2000_2005,10,0.0,"-0.01(-0.03,0.01)","-0.01(-0.03,0.01)","0.01(-0.01,0.03)","-0.01(-0.03,0.01)"
EQI_Water,G10,HD,2000_2005,15,0.0,"-0.02(-0.04,0.00)","-0.01(-0.03,0.01)","-0.01(-0.03,0.01)","-0.00(-0.03,0.02)"
EQI_Water,G20,PD,2000_2005,5,0.0,"-0.06(-0.47,0.37)","0.51(0.08,0.96)*","0.58(0.15,1.01)*","0.62(0.17,1.09)**"
EQI_Water,G20,PD,2000_2005,10,0.0,"-0.15(-0.58,0.29)","0.18(-0.27,0.66)","0.38(-0.05,0.83)","0.52(0.05,1.00)*"
EQI_Water,G20,PD,2000_2005,15,0.0,"-0.02(-0.50,0.47)","0.58(0.08,1.08)*","0.52(0.03,1.02)*","0.77(0.24,1.30)**"
EQI_Water,G30,AD,2000_2005,5,0.0,"0.69(-1.16,2.60)","0.10(-1.87,2.09)","1.87(-0.12,3.88)","0.23(-1.83,2.30)"
EQI_Water,G30,AD,2000_2005,10,0.0,"1.09(-0.91,3.19)","0.28(-1.78,2.31)","1.95(-0.03,4.03)","0.84(-1.28,2.95)"
EQI_Water,G30,AD,2000_2005,15,0.0,"0.79(-1.32,2.84)","-0.76(-2.89,1.41)","0.69(-1.50,2.91)","0.44(-1.90,2.75)"
EQI_Water,G12.2,ALS,2000_2005,5,0.0,"0.03(-0.11,0.16)","0.26(0.11,0.40)**","0.23(0.08,0.37)**","0.22(0.07,0.37)**"
EQI_Water,G12.2,ALS,2000_2005,10,0.0,"0.16(0.03,0.30)*","0.21(0.06,0.36)*","0.39(0.24,0.54)***","0.45(0.29,0.61)***"
EQI_Water,G12.2,ALS,2000_2005,15,0.0,"0.09(-0.03,0.21)","0.09(-0.04,0.21)","0.19(0.07,0.31)**","0.26(0.12,0.39)***"
EQI_Water,F01,VD,2000_2005,5,0.0,"0.15(-0.15,0.45)","0.16(-0.16,0.47)","0.06(-0.26,0.38)","0.37(0.03,0.70)*"
EQI_Water,F01,VD,2000_2005,10,0.0,"0.32(-0.05,0.68)","0.27(-0.10,0.67)","0.14(-0.24,0.53)","0.41(0.02,0.82)*"
EQI_Water,F01,VD,2000_2005,15,0.0,"0.36(-0.05,0.79)","0.55(0.10,0.99)*","0.49(0.05,0.93)*","0.88(0.42,1.35)***"
EQI_Water,F03,UD,2000_2005,5,0.0,"-0.48(-2.20,1.23)","1.63(-0.14,3.41)","1.11(-0.65,2.89)","3.08(1.19,4.93)***"
EQI_Water,F03,UD,2000_2005,10,0.0,"-0.29(-2.20,1.63)","1.71(-0.27,3.72)","1.95(-0.05,4.02)","2.96(0.88,5.15)**"
EQI_Water,F03,UD,2000_2005,15,0.0,"0.11(-1.78,1.97)","2.50(0.55,4.43)*","2.60(0.64,4.57)**","3.39(1.31,5.49)**"
EQI_Water,G20_G30_G12.2_F01_F03,NDD,2006_2010,5,0.0,"-0.85(-3.28,1.60)","1.54(-1.00,4.03)","3.94(1.41,6.49)**","4.64(1.97,7.40)**"
EQI_Water,G20_G30_G12.2_F01_F03,NDD,2006_2010,10,0.0,"-0.76(-3.15,1.74)","0.43(-2.17,3.04)","2.61(0.04,5.26)*","4.57(1.81,7.40)***"
EQI_Water,G10,HD,2006_2010,5,0.0,"0.00(-0.02,0.02)","0.00(-0.02,0.02)","0.01(-0.01,0.03)","0.01(-0.01,0.04)"
EQI_Water,G10,HD,2006_2010,10,0.0,"-0.00(-0.02,0.02)","-0.00(-0.03,0.02)","-0.01(-0.03,0.02)","0.01(-0.01,0.04)"
