scenario,term,Estimate,Est.Error,Q2.5,Q97.5
NA,Intercept,186.86775158989389,1.1931525522442552,184.65672749323312,189.123972444132
NA,EQIQ2,-1.17526112693201,1.5387419528530075,-4.381803565566535,1.7618742293960443
NA,EQIQ3,-2.572127094463413,1.6510688249537195,-5.6036605845706005,0.7090233640494186
NA,EQIQ4,-2.5592353805386883,1.6744134165828533,-5.9515396742506175,0.4977143121844301
NA,EQIQ5,1.586906052016891,1.7708427400249251,-1.6665075188236402,5.047701652041315
NA,Smoking_Rate_std,17.618758592345323,0.6247955755198165,16.523824402254036,18.772201997403247
NA,Intercept,181.873603627583,1.0410203223694283,179.66018993298343,183.99059152671649
NA,EQI_airQ2,1.2319340201386773,1.5252338555764942,-1.86128230071035,4.442071827412134
NA,EQI_airQ3,4.792379691652357,1.5648808680089386,1.7508623873464648,7.978001400173445
NA,EQI_airQ4,5.907519218555033,1.610559521473867,2.92615581423259,8.898451244843354
NA,EQI_airQ5,8.785939151694272,1.5698381186472314,5.741352507303019,12.08669425395898
NA,Smoking_Rate_std,17.476262339437653,0.5997437963032834,16.306023960755184,18.617099285512737
NA,Intercept,186.86775158989389,1.1931525522442552,184.65672749323312,189.123972444132
NA,EQIQ2,-1.17526112693201,1.5387419528530075,-4.381803565566535,1.7618742293960443
NA,EQIQ3,-2.572127094463413,1.6510688249537195,-5.6036605845706005,0.7090233640494186
NA,EQIQ4,-2.5592353805386883,1.6744134165828533,-5.9515396742506175,0.4977143121844301
NA,EQIQ5,1.586906052016891,1.7708427400249251,-1.6665075188236402,5.047701652041315
NA,Smoking_Rate_std,17.618758592345323,0.6247955755198165,16.523824402254036,18.772201997403247
NA,Intercept,60.764805448703,0.6689110200692858,59.45330416503531,62.05826915707331
NA,EQIQ2,-3.453544839178698,0.9081121292112836,-5.284403365108448,-1.7952532946089663
NA,EQIQ3,-5.556399045420365,0.9164212641934804,-7.376676668649679,-3.791931827868849
NA,EQIQ4,-6.0606415111446035,0.921383808204418,-7.869672572781146,-4.183684536418357
NA,EQIQ5,-5.073153983239564,1.0080292644793094,-6.830437923290971,-3.104642966933444
NA,Smoking_Rate_std,8.609108535050146,0.3052241238031218,8.005419758379611,9.158764122559708
NA,Intercept,186.97571262657755,1.3042098319970603,184.73492293324983,189.63460452598497
NA,EQIQ2,-1.4336845472423223,1.760301311748167,-4.868979348537528,1.989779424882366
NA,EQIQ3,-2.8340668123145116,1.706571953109654,-6.509991702662188,0.3813278080138934
NA,EQIQ4,-2.9656952330267767,1.8804641995517255,-6.075351838691447,0.5449741207079896
NA,EQIQ5,1.7311618096017247,1.8292321994217224,-2.382982931427294,5.215744220586313
NA,Smoking_Rate_std,17.847280320387632,0.5879025407643811,16.71037301224098,19.02770585921759
