ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,2006_2010,5,SVI+UN+PD+DB,0.00,"2.91(2.38,3.44)","5.20(4.56,5.86)","6.08(5.12,7.02)",0.0002,1.0003,2166,2962,0.0002,1.0009,1698,2571,0.0002,1.0026,1344,2219,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,"-0.52(-0.58,-0.45)",0.0002,1.0022,2124,2591,"-0.00(-0.00,-0.00)",0.0010,1.0020,3187,3633,"-0.59(-0.79,-0.40)",0.0002,1.0054,1251,2519
"X60_X84_Y87.0","2011_2015",10,"SVI+UN+PD+DB","0.00","3.36(2.75,3.98)","5.89(5.10,6.63)","6.98(5.86,8.05)","0.0002","1.0010",2327,3084,"0.0002","1.0017",1652,2203,"0.0002","1.0025",1346,1957,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.38(-0.46,-0.30)","0.0002","1.0018",1878,2679,"-0.00(-0.00,-0.00)","0.0002","1.0013",3728,3932,"-0.72(-0.94,-0.51)","0.0002","1.0027",1490,2376
"X60_X84_Y87.0","2016_2020",15,"SVI+UN+PD+DB","0.00","3.43(2.74,4.15)","6.00(5.13,6.87)","6.57(5.30,7.84)","0.0002","1.0032",2422,3329,"0.0002","1.0056",1755,2884,"0.0002","1.0066",1577,2677,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.35(-0.45,-0.25)","0.0002","1.0020",1720,2795,"-0.00(-0.00,-0.00)","0.0244","1.0007",3793,3748,"-0.49(-0.74,-0.25)","0.0002","1.0068",1609,2585
"X60_X84_Y87.0","2021_2024",20,"SVI+UN+PD+DB","0.00","4.35(3.49,5.21)","7.45(6.36,8.51)","9.54(7.93,11.13)","0.0002","1.0007",2462,3392,"0.0002","1.0024",1851,2788,"0.0002","1.0042",1616,2567,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.44(-0.58,-0.32)","0.0002","1.0014",1839,2973,"-0.00(-0.00,0.00)","0.3235","1.0008",4090,4058,"-0.44(-0.74,-0.12)","0.0073","1.0031",1583,2589
