ICD_Code,EQI_Period,AAMR_Period,Lag,K_Value,Model_Type,Intercept,MRD_Cluster1,MRD_Cluster2,N_Counties,Rhat_max
C00_C97,2000_2005,2006_2010,5,3,Cluster_Main_Effect,"71.31(65.51,76.96)***","3.79(1.51,6.07)***","3.96(2.15,5.88)***",3072,1.023
"C00_C97","2000_2005","2011_2015",10,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2011_2015",5,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2016_2020",10,3,"Cluster_Main_Effect","51.01(46.20,55.88)***","2.32(0.49,4.33)*","2.29(0.65,3.83)**",3072,"1.010"
"C00_C97","2000_2005","2006_2010",5,3,"Cluster_Main_Effect","71.31(65.51,76.96)***","3.79(1.51,6.07)***","3.96(2.15,5.88)***",3072,"1.023"
"C00_C97","2000_2005","2011_2015",10,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2011_2015",5,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2016_2020",10,3,"Cluster_Main_Effect","51.01(46.20,55.88)***","2.32(0.49,4.33)*","2.29(0.65,3.83)**",3072,"1.010"
"C00_C97","2000_2005","2006_2010",5,3,"Cluster_Main_Effect","71.31(65.51,76.96)***","3.79(1.51,6.07)***","3.96(2.15,5.88)***",3072,"1.023"
"C00_C97","2000_2005","2011_2015",10,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2011_2015",5,3,"Cluster_Main_Effect","58.81(53.78,63.85)***","5.90(3.78,8.10)***","5.14(3.32,6.96)***",3072,"1.011"
"C00_C97","2006_2010","2016_2020",10,3,"Cluster_Main_Effect","51.01(46.20,55.88)***","2.32(0.49,4.33)*","2.29(0.65,3.83)**",3072,"1.010"
