ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C64_C65,2000_2005,2006_2010,5,Q2,1.5605,1.4255,1.7171,56.0528,0.0002
C64_C65,2000_2005,2006_2010,5,Q3,1.8782,1.7067,2.0704,87.818,0.0002
C64_C65,2000_2005,2006_2010,5,Q4,2.0111,1.8262,2.2232,101.1143,0.0002
C64_C65,2000_2005,2006_2010,5,Q5,2.1031,1.8981,2.3319,110.3058,0.0002
"C64_C65","2000_2005","2011_2015",10,"Q2",1.5895,1.4578,1.7386,58.9465,"0.0002"
"C64_C65","2000_2005","2011_2015",10,"Q3",1.8984,1.7339,2.0856,89.8362,"0.0002"
"C64_C65","2000_2005","2011_2015",10,"Q4",1.9935,1.8183,2.1926,99.3459,"0.0002"
"C64_C65","2000_2005","2011_2015",10,"Q5",2.1018,1.9129,2.3218,110.1828,"0.0002"
"C64_C65","2000_2005","2016_2020",15,"Q2",1.6884,1.5471,1.8496,68.8392,"0.0002"
"C64_C65","2000_2005","2016_2020",15,"Q3",1.8408,1.6795,2.0205,84.0833,"0.0002"
"C64_C65","2000_2005","2016_2020",15,"Q4",1.9176,1.751,2.1117,91.7638,"0.0002"
"C64_C65","2000_2005","2016_2020",15,"Q5",1.9602,1.779,2.167,96.0184,"0.0002"
