ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q2,1.2096,1.1613,1.2605,20.964,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q3,1.3179,1.2663,1.3737,31.7904,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q4,1.4247,1.3653,1.4891,42.4693,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q5,1.5581,1.487,1.6297,55.813,0.0002
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q1",1.1795,1.0808,1.2797,17.955,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q2",1.4086,1.296,1.5167,40.8584,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q3",1.5018,1.3925,1.6145,50.1779,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q4",1.6183,1.5037,1.7353,61.8253,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q5",1.7794,1.6563,1.9076,77.9429,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q1",1.2864,1.1857,1.3894,28.6406,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q2",1.4809,1.3737,1.594,48.0901,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q3",1.5446,1.4368,1.6556,54.4599,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q4",1.6558,1.5409,1.7714,65.5809,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q5",1.7982,1.678,1.9258,79.8196,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Q1",1,1,1,0,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Q2",1.2096,1.1613,1.2605,20.964,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Q3",1.3179,1.2663,1.3737,31.7904,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Q4",1.4247,1.3653,1.4891,42.4693,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Q5",1.5581,1.487,1.6297,55.813,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q1",1.1795,1.0808,1.2797,17.955,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q2",1.4086,1.296,1.5167,40.8584,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q3",1.5018,1.3925,1.6145,50.1779,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q4",1.6183,1.5037,1.7353,61.8253,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q5",1.7794,1.6563,1.9076,77.9429,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q1",1.2864,1.1857,1.3894,28.6406,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q2",1.4809,1.3737,1.594,48.0901,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q3",1.5446,1.4368,1.6556,54.4599,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q4",1.6558,1.5409,1.7714,65.5809,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q5",1.7982,1.678,1.9258,79.8196,"0.0002"
