ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C25,2000_2005,2006_2010,5,Q2,1.4692,1.3809,1.5605,46.9245,0.0002
C25,2000_2005,2006_2010,5,Q3,1.538,1.4482,1.6286,53.8,0.0002
C25,2000_2005,2006_2010,5,Q4,1.6275,1.5342,1.7294,62.7514,0.0002
C25,2000_2005,2006_2010,5,Q5,1.7155,1.6125,1.8243,71.5475,0.0002
"C25","2000_2005","2011_2015",10,"Q2",1.417,1.3428,1.4942,41.7025,"0.0002"
"C25","2000_2005","2011_2015",10,"Q3",1.4806,1.4043,1.5631,48.0561,"0.0002"
"C25","2000_2005","2011_2015",10,"Q4",1.5435,1.4642,1.6314,54.347,"0.0002"
"C25","2000_2005","2011_2015",10,"Q5",1.6159,1.5271,1.7119,61.5943,"0.0002"
"C25","2000_2005","2016_2020",15,"Q2",1.3751,1.3055,1.4476,37.5107,"0.0002"
"C25","2000_2005","2016_2020",15,"Q3",1.4519,1.3813,1.524,45.1914,"0.0002"
"C25","2000_2005","2016_2020",15,"Q4",1.4897,1.417,1.5683,48.9709,"0.0002"
"C25","2000_2005","2016_2020",15,"Q5",1.5749,1.4939,1.6622,57.4926,"0.0002"
