ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.37,1.23,1.53
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.37,1.23,1.53
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.43,1.28,1.6
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.43,1.28,1.6
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q2,1.41,1.24,1.58
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q2,1.41,1.24,1.58
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q3,1.44,1.27,1.62
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q3,1.44,1.27,1.62
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q4,1.56,1.39,1.75
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q4,1.56,1.39,1.75
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q5,1.68,1.5,1.88
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q5,1.68,1.5,1.88
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q2,1.85,1.68,2.05
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q2,1.85,1.68,2.05
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q3,2.23,2.02,2.46
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q3,2.23,2.02,2.46
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q4,2.45,2.23,2.72
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q4,2.45,2.23,2.72
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q5,2.68,2.43,2.99
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q5,2.68,2.43,2.99
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q2,2.08,1.83,2.37
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q2,2.08,1.83,2.37
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q3,2.4,2.13,2.73
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q3,2.4,2.13,2.73
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q4,2.71,2.41,3.06
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q4,2.71,2.41,3.06
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q5,2.94,2.62,3.32
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q5,2.94,2.62,3.32
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q2,2.59,2.29,2.94
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q2,2.59,2.29,2.94
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q3,2.82,2.5,3.19
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q3,2.82,2.5,3.19
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q4,3.12,2.76,3.53
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q4,3.12,2.76,3.53
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q5,3.42,3.04,3.86
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q5,3.42,3.04,3.86
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q2,1.8,1.49,2.26
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q2,1.8,1.49,2.26
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q3,2.41,1.96,3.09
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q3,2.41,1.96,3.09
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q4,2.77,2.24,3.6
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q4,2.77,2.24,3.6
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q5,3.25,2.59,4.29
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q5,3.25,2.59,4.29
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q2,2.58,1.86,3.62
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q2,2.58,1.86,3.62
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q3,3.16,2.31,4.43
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q3,3.16,2.31,4.43
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q4,3.56,2.62,4.97
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q4,3.56,2.62,4.97
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q5,4.0,2.97,5.59
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q5,4.0,2.97,5.59
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q2,3.14,2.25,4.46
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q2,3.14,2.25,4.46
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q3,3.76,2.73,5.28
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q3,3.76,2.73,5.28
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q4,4.2,3.08,5.89
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q4,4.2,3.08,5.89
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q5,4.91,3.63,6.81
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q5,4.91,3.63,6.81
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.9,1.61,2.27
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.9,1.61,2.27
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.75,2.31,3.32
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.75,2.31,3.32
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.78,3.15,4.6
