ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
C00_C97,All-site Cancer,2000_2005,5,0.0,"4.86(2.63,7.20)***","5.30(3.09,7.55)***","6.51(4.16,8.87)***","11.19(8.75,13.66)***"
C00_C97,All-site Cancer,2000_2005,10,0.0,"6.41(4.26,8.64)***","7.06(4.78,9.34)***","8.13(5.85,10.51)***","9.94(7.54,12.48)***"
C00_C97,All-site Cancer,2000_2005,15,0.0,"4.23(2.01,6.47)**","3.25(1.04,5.46)**","3.89(1.69,6.19)***","4.90(2.48,7.29)***"
C00_C97,All-site Cancer,2006_2010,5,0.0,"3.07(0.71,5.34)*","3.36(0.94,5.77)**","2.57(0.05,5.09)*","1.98(-0.69,4.59)"
C00_C97,All-site Cancer,2006_2010,10,0.0,"3.62(1.34,5.73)**","1.69(-0.68,3.89)","0.38(-1.98,2.66)","0.59(-1.77,2.96)"
C18_C21,Colorectal Cancer,2000_2005,5,0.0,"3.79(3.11,4.42)***","4.51(3.83,5.15)***","4.81(4.14,5.47)***","4.86(4.12,5.56)***"
C18_C21,Colorectal Cancer,2000_2005,10,0.0,"3.15(2.53,3.80)***","3.14(2.56,3.72)***","3.51(2.92,4.10)***","3.68(3.04,4.31)***"
C18_C21,Colorectal Cancer,2000_2005,15,0.0,"3.45(2.85,4.05)***","3.08(2.52,3.66)***","3.22(2.62,3.78)***","3.22(2.56,3.83)***"
C18_C21,Colorectal Cancer,2006_2010,5,0.0,"1.80(1.16,2.45)***","1.83(1.16,2.52)***","1.38(0.66,2.07)***","1.40(0.66,2.14)***"
C18_C21,Colorectal Cancer,2006_2010,10,0.0,"1.51(0.86,2.15)***","1.80(1.10,2.44)***","1.51(0.81,2.18)***","1.56(0.85,2.26)***"
C22,Liver Cancer,2000_2005,5,0.0,"1.17(0.89,1.45)***","1.96(1.66,2.26)***","2.31(2.02,2.60)***","2.93(2.62,3.25)***"
C22,Liver Cancer,2000_2005,10,0.0,"1.78(1.47,2.09)***","2.40(2.08,2.71)***","2.82(2.50,3.14)***","3.29(2.94,3.63)***"
C22,Liver Cancer,2000_2005,15,0.0,"1.89(1.57,2.21)***","2.14(1.81,2.47)***","2.30(1.97,2.62)***","2.79(2.45,3.14)***"
C22,Liver Cancer,2006_2010,5,0.0,"1.09(0.72,1.46)***","1.19(0.78,1.61)***","1.34(0.91,1.77)***","1.24(0.80,1.69)***"
C22,Liver Cancer,2006_2010,10,0.0,"1.11(0.74,1.47)***","1.22(0.83,1.60)***","1.31(0.89,1.73)***","1.11(0.67,1.54)***"
C25,Pancreatic Cancer,2000_2005,5,0.0,"3.16(2.70,3.61)***","3.58(3.13,4.01)***","4.25(3.79,4.71)***","4.94(4.45,5.44)***"
C25,Pancreatic Cancer,2000_2005,10,0.0,"2.97(2.53,3.42)***","3.43(2.99,3.85)***","3.92(3.49,4.35)***","4.51(4.05,4.96)***"
