Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
Lung Cancer,"147,076 (0.54‰)",46.92 ± 0.12,"140,660 (0.50‰)",41.33 ± 0.11,"123,606 (0.44‰)",33.05 ± 0.10
Colorectal Cancer,"52,973 (0.19‰)",16.65 ± 0.07,"48,809 (0.17‰)",14.24 ± 0.07,"46,196 (0.16‰)",12.59 ± 0.06
Breast Cancer,"41,408 (0.15‰)",13.08 ± 0.06,"39,474 (0.14‰)",11.63 ± 0.06,"38,329 (0.14‰)",10.58 ± 0.06
Pancreatic Cancer,"36,033 (0.13‰)",11.38 ± 0.06,"38,929 (0.14‰)",11.35 ± 0.06,"42,458 (0.15‰)",11.38 ± 0.06
Prostate Cancer,"27,184 (0.10‰)",8.45 ± 0.05,"25,739 (0.09‰)",7.41 ± 0.05,"26,933 (0.10‰)",7.11 ± 0.04
Census Region: Midwest,,,,,,
All-site Cancer,"661,151 (2.00‰)",182.71 ± 0.23,"674,360 (2.01‰)",171.09 ± 0.21,"677,827 (2.00‰)",157.67 ± 0.20
Lung Cancer,"190,073 (0.57‰)",52.78 ± 0.12,"188,072 (0.56‰)",47.61 ± 0.11,"171,874 (0.51‰)",39.38 ± 0.10
Colorectal Cancer,"62,446 (0.19‰)",17.16 ± 0.07,"59,964 (0.18‰)",15.22 ± 0.06,"58,965 (0.17‰)",13.88 ± 0.06
Breast Cancer,"47,452 (0.14‰)",13.04 ± 0.06,"46,572 (0.14‰)",11.85 ± 0.06,"45,924 (0.14‰)",10.94 ± 0.05
Pancreatic Cancer,"40,618 (0.12‰)",11.18 ± 0.06,"44,592 (0.13‰)",11.24 ± 0.05,"50,831 (0.15‰)",11.70 ± 0.05
Prostate Cancer,"32,569 (0.10‰)",8.96 ± 0.05,"31,184 (0.09‰)",7.87 ± 0.05,"34,128 (0.10‰)",7.85 ± 0.04
Census Region: South,,,,,,
All-site Cancer,"1,048,346 (1.89‰)",181.38 ± 0.18,"1,106,431 (1.88‰)",167.99 ± 0.16,"1,155,538 (1.87‰)",153.74 ± 0.15
Lung Cancer,"313,833 (0.57‰)",53.90 ± 0.10,"313,428 (0.53‰)",47.02 ± 0.08,"292,206 (0.47‰)",38.08 ± 0.07
Colorectal Cancer,"97,260 (0.18‰)",16.89 ± 0.05,"99,003 (0.17‰)",15.10 ± 0.05,"104,235 (0.17‰)",14.04 ± 0.04
Breast Cancer,"74,475 (0.13‰)",12.80 ± 0.05,"77,441 (0.13‰)",11.82 ± 0.04,"81,957 (0.13‰)",11.17 ± 0.04
Pancreatic Cancer,"62,044 (0.11‰)",10.72 ± 0.04,"71,794 (0.12‰)",10.84 ± 0.04,"83,098 (0.13‰)",10.94 ± 0.04
Prostate Cancer,"51,363 (0.09‰)",9.22 ± 0.04,"50,832 (0.09‰)",7.92 ± 0.04,"57,720 (0.09‰)",7.76 ± 0.03
Census Region: West,,,,,,
