Model	Lag	Q1	Q2	Q3	Q4	Q5
Built	15	0.0	5.60(3.48,7.73)	6.18(4.01,8.41)	6.69(4.42,8.94)	6.65(4.27,8.97)
Social	5	0.0	5.75(3.69,7.74)	7.08(4.93,9.21)	8.38(6.06,10.69)	12.41(9.79,14.97)
Social	10	0.0	3.92(1.77,6.05)	5.80(3.50,8.02)	7.35(4.88,9.80)	11.42(8.70,14.04)
Social	15	0.0	2.25(0.12,4.35)	2.80(0.58,5.07)	3.94(1.56,6.37)	7.06(4.46,9.72)
Race (Black)
EQI	5	0.0	4.55(2.36,6.66)	8.69(6.47,10.85)	14.17(11.86,16.49)	26.81(24.27,29.36)
EQI	10	0.0	4.87(2.35,7.32)	9.33(6.79,11.71)	15.90(13.18,18.55)	30.88(27.95,33.83)
EQI	15	0.0	4.33(1.64,6.93)	8.29(5.70,10.91)	14.53(11.72,17.36)	32.84(29.83,36.03)
Air	5	0.0	1.85(-0.15,3.91)	6.17(4.00,8.37)	14.17(11.75,16.54)	32.56(29.85,35.35)
Air	10	0.0	1.84(-0.55,4.28)	7.43(4.82,9.99)	15.09(12.37,17.86)	37.89(34.71,41.15)
Air	15	0.0	1.72(-0.79,4.24)	7.72(5.00,10.24)	17.18(14.38,20.00)	40.09(36.94,43.19)
Water	5	0.0	0.31(-2.37,2.99)	1.69(-1.20,4.59)	-1.22(-4.11,1.66)	1.08(-2.03,4.22)
Water	10	0.0	-1.09(-4.22,2.04)	0.40(-2.83,3.60)	-1.78(-5.10,1.54)	-0.03(-3.49,3.39)
Water	15	0.0	-0.99(-4.17,2.16)	-1.50(-4.83,1.83)	-0.99(-4.36,2.41)	-0.17(-3.77,3.43)
Land	5	0.0	-2.87(-4.97,-0.71)	-3.70(-5.93,-1.49)	-4.45(-6.91,-1.89)	-3.36(-6.00,-0.58)
Land	10	0.0	-4.19(-6.56,-1.74)	-4.39(-6.94,-1.80)	-4.60(-7.47,-1.65)	-3.26(-6.53,-0.12)
Land	15	0.0	-4.23(-6.71,-1.73)	-5.29(-7.92,-2.73)	-3.42(-6.30,-0.44)	-1.79(-5.07,1.42)
Built	5	0.0	1.58(-0.35,3.48)	4.46(2.41,6.43)	5.23(3.09,7.35)	5.07(2.80,7.27)
Built	10	0.0	3.06(0.85,5.29)	7.08(4.81,9.41)	7.60(5.16,10.05)	6.63(4.08,9.25)
Built	15	0.0	3.60(1.24,5.87)	7.38(4.94,9.83)	6.60(4.11,9.02)	6.19(3.53,8.88)
Social	5	0.0	1.73(-0.26,3.69)	0.80(-1.37,2.92)	3.60(1.36,5.96)	0.24(-2.37,2.87)
Social	10	0.0	1.24(-1.09,3.55)	0.27(-2.20,2.74)	3.03(0.40,5.73)	0.53(-2.60,3.58)
