Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,National,National,974873,1518958033,61.0502,0.062,60.9291,61.1715,61.05 ± 0.06
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q1,Q1,30578,54149792,52.8939,0.3028,52.3027,53.4901,52.89 ± 0.30
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q2,Q2,67239,96778284,58.1314,0.2243,57.6928,58.5725,58.13 ± 0.22
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q3,Q3,120676,180414358,59.6041,0.1718,59.2683,59.9413,59.60 ± 0.17
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q4,Q4,179183,260777432,62.0198,0.1468,61.733,62.3076,62.02 ± 0.15
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q5,Q5,577197,926838167,61.9269,0.0818,61.7672,62.0869,61.93 ± 0.08
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,National,National,1276544,1581578220,70.9965,0.0633,70.8734,71.1197,71.00 ± 0.06
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q1,Q1,41420,55692570,62.8023,0.3092,62.1989,63.4101,62.80 ± 0.31
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q2,Q2,86984,99511336,66.6513,0.2265,66.2091,67.0958,66.65 ± 0.23
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q3,Q3,156918,186955556,69.0908,0.1751,68.7493,69.4335,69.09 ± 0.18
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q4,Q4,231650,270786281,72.3217,0.1512,72.0275,72.6168,72.32 ± 0.15
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q5,Q5,759572,968632477,72.033,0.0835,71.8711,72.1952,72.03 ± 0.08
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,National,National,1410777,1633304947,70.7458,0.0599,70.6291,70.8626,70.75 ± 0.06
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q1,Q1,47975,56261033,63.9342,0.2926,63.3633,64.5089,63.93 ± 0.29
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q2,Q2,95513,102207873,64.643,0.2097,64.2336,65.0542,64.64 ± 0.21
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q3,Q3,170002,192718074,66.909,0.1629,66.5913,67.2278,66.91 ± 0.16
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q4,Q4,252330,279125800,71.7667,0.1436,71.487,72.0473,71.77 ± 0.14
2016-2020,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),EQI,Q5,Q5,844957,1002992167,72.4523,0.0794,72.2979,72.607,72.45 ± 0.08
