Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C56,Ovary Cancer,Typology,5,Services,31681,650908678,4.5402,0.0256,4.4904,4.5905,4.54 ± 0.03
2006-2010,C56,Ovary Cancer,Typology,6,Nonspecialized,16538,361939164,4.4832,0.0351,4.4151,4.552,4.48 ± 0.04
2006-2010,C56,Ovary Cancer,Typology,National,National,72749,1519222147,4.5131,0.0168,4.4804,4.546,4.51 ± 0.02
2006-2010,C61,Prostate Cancer,Typology,1,Farming,2535,20793236,9.9235,0.1977,9.5409,10.3174,9.92 ± 0.20
2006-2010,C61,Prostate Cancer,Typology,2,Mining,1537,14617184,10.0043,0.2562,9.5103,10.5172,10.00 ± 0.26
2006-2010,C61,Prostate Cancer,Typology,3,Manufacturing,29327,294175065,8.9546,0.0525,8.8524,9.0577,8.95 ± 0.05
2006-2010,C61,Prostate Cancer,Typology,4,Government,15611,176788820,9.4715,0.0761,9.3235,9.6213,9.47 ± 0.08
2006-2010,C61,Prostate Cancer,Typology,5,Services,61269,650908678,8.8609,0.0359,8.7908,8.9313,8.86 ± 0.04
2006-2010,C61,Prostate Cancer,Typology,6,Nonspecialized,32265,361939164,9.115,0.0509,9.0158,9.215,9.11 ± 0.05
2006-2010,C61,Prostate Cancer,Typology,National,National,142544,1519222147,9.0284,0.024,8.9816,9.0754,9.03 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,1,Farming,1095,20793236,4.428,0.1347,4.1696,4.6983,4.43 ± 0.13
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,2,Mining,831,14617184,5.1186,0.1791,4.7764,5.4787,5.12 ± 0.18
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,3,Manufacturing,14202,294175065,4.2629,0.036,4.1931,4.3336,4.26 ± 0.04
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,4,Government,7153,176788820,4.125,0.0492,4.0299,4.2217,4.12 ± 0.05
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,5,Services,25332,650908678,3.6378,0.023,3.5931,3.6828,3.64 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,6,Nonspecialized,15431,361939164,4.1771,0.0339,4.1115,4.2436,4.18 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Typology,National,National,64044,1519222147,3.9704,0.0158,3.9397,4.0012,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,1,Farming,1468,20793236,5.8824,0.1544,5.5853,6.1912,5.88 ± 0.15
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,2,Mining,1106,14617184,7.0431,0.2133,6.6341,7.4707,7.04 ± 0.21
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,3,Manufacturing,22361,294175065,6.8383,0.046,6.749,6.9285,6.84 ± 0.05
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,4,Government,10552,176788820,6.2442,0.0612,6.1256,6.3645,6.24 ± 0.06
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,5,Services,43048,650908678,6.2396,0.0302,6.1808,6.2988,6.24 ± 0.03
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,6,Nonspecialized,23470,361939164,6.519,0.0428,6.4359,6.603,6.52 ± 0.04
2006-2010,C82_C85,Non-Hodgkin Lymphoma,Typology,National,National,102005,1519222147,6.4322,0.0202,6.3927,6.4718,6.43 ± 0.02
2006-2010,C91_C95,Leukemia,Typology,1,Farming,1628,20793236,6.5783,0.1642,6.2626,6.9058,6.58 ± 0.16
2006-2010,C91_C95,Leukemia,Typology,2,Mining,1178,14617184,7.5092,0.2204,7.0864,7.9506,7.51 ± 0.22
2006-2010,C91_C95,Leukemia,Typology,3,Manufacturing,23788,294175065,7.3201,0.0477,7.2274,7.4137,7.32 ± 0.05
2006-2010,C91_C95,Leukemia,Typology,4,Government,11636,176788820,6.8753,0.0642,6.7509,7.0014,6.88 ± 0.06
2006-2010,C91_C95,Leukemia,Typology,5,Services,46660,650908678,6.8129,0.0317,6.7512,6.875,6.81 ± 0.03
2006-2010,C91_C95,Leukemia,Typology,6,Nonspecialized,25700,361939164,7.1527,0.0449,7.0656,7.2407,7.15 ± 0.04
2006-2010,C91_C95,Leukemia,Typology,National,National,110590,1519222147,7.0053,0.0212,6.964,7.0467,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Typology,1,Farming,535,20793236,2.0099,0.0872,1.8432,2.1877,2.01 ± 0.09
2006-2010,F01,Vascular Dementia (VD),Typology,2,Mining,377,14617184,2.5647,0.1322,2.3123,2.8372,2.56 ± 0.13
2006-2010,F01,Vascular Dementia (VD),Typology,3,Manufacturing,9699,294175065,2.9308,0.0298,2.8728,2.9897,2.93 ± 0.03
2006-2010,F01,Vascular Dementia (VD),Typology,4,Government,5774,176788820,3.5538,0.0468,3.4628,3.6467,3.55 ± 0.05
2006-2010,F01,Vascular Dementia (VD),Typology,5,Services,19803,650908678,2.7807,0.0198,2.7421,2.8197,2.78 ± 0.02
2006-2010,F01,Vascular Dementia (VD),Typology,6,Nonspecialized,9994,361939164,2.8333,0.0284,2.778,2.8894,2.83 ± 0.03
2006-2010,F01,Vascular Dementia (VD),Typology,National,National,46182,1519222147,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),Typology,1,Farming,5124,20793236,19.1296,0.2681,18.6094,19.6607,19.13 ± 0.27
2006-2010,F03,Unspecified Dementia (UD),Typology,2,Mining,3756,14617184,25.5053,0.4165,24.6961,26.3343,25.51 ± 0.42
2006-2010,F03,Unspecified Dementia (UD),Typology,3,Manufacturing,88340,294175065,26.5701,0.0896,26.3952,26.7459,26.57 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),Typology,4,Government,43590,176788820,26.8279,0.1287,26.5766,27.0809,26.83 ± 0.13
2006-2010,F03,Unspecified Dementia (UD),Typology,5,Services,169509,650908678,23.6703,0.0577,23.5577,23.7832,23.67 ± 0.06
2006-2010,F03,Unspecified Dementia (UD),Typology,6,Nonspecialized,93494,361939164,26.4445,0.0866,26.2752,26.6145,26.44 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),Typology,National,National,403813,1519222147,25.1477,0.0397,25.0702,25.2254,25.15 ± 0.04
2006-2010,G10,Huntington's Disease (HD),Typology,1,Farming,68,20793236,0.2822,0.0345,0.2191,0.3577,0.28 ± 0.03
2006-2010,G10,Huntington's Disease (HD),Typology,2,Mining,47,14617184,0.2964,0.0439,0.2178,0.3941,0.30 ± 0.04
2006-2010,G10,Huntington's Disease (HD),Typology,3,Manufacturing,1058,294175065,0.3233,0.0101,0.3041,0.3434,0.32 ± 0.01
2006-2010,G10,Huntington's Disease (HD),Typology,4,Government,532,176788820,0.2947,0.0129,0.2702,0.3208,0.29 ± 0.01
2006-2010,G10,Huntington's Disease (HD),Typology,5,Services,1613,650908678,0.2312,0.0058,0.2201,0.2428,0.23 ± 0.01
2006-2010,G10,Huntington's Disease (HD),Typology,6,Nonspecialized,1091,361939164,0.2874,0.0088,0.2706,0.305,0.29 ± 0.01
2006-2010,G10,Huntington's Disease (HD),Typology,National,National,4409,1519222147,0.2713,0.0041,0.2634,0.2795,0.27 ± 0.00
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,1,Farming,423,20793236,1.7303,0.0845,1.5693,1.9033,1.73 ± 0.08
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,2,Mining,276,14617184,1.6989,0.1033,1.5044,1.9116,1.70 ± 0.10
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,3,Manufacturing,6842,294175065,2.0681,0.0252,2.0194,2.1177,2.07 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,4,Government,3439,176788820,1.9793,0.0341,1.9137,2.0466,1.98 ± 0.03
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,5,Services,12727,650908678,1.8424,0.0164,1.8106,1.8747,1.84 ± 0.02
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,6,Nonspecialized,7476,361939164,2.0292,0.0236,1.9834,2.0757,2.03 ± 0.02
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),Typology,National,National,31183,1519222147,1.9437,0.0111,1.9221,1.9654,1.94 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),Typology,1,Farming,1507,20793236,5.8893,0.1522,5.5956,6.1943,5.89 ± 0.15
2006-2010,G20,Parkinson's Disease (PD),Typology,2,Mining,925,14617184,6.1759,0.2034,5.7842,6.587,6.18 ± 0.20
2006-2010,G20,Parkinson's Disease (PD),Typology,3,Manufacturing,21765,294175065,6.7337,0.0457,6.6445,6.8238,6.73 ± 0.05
2006-2010,G20,Parkinson's Disease (PD),Typology,4,Government,10887,176788820,6.8005,0.0653,6.6734,6.9295,6.80 ± 0.07
2006-2010,G20,Parkinson's Disease (PD),Typology,5,Services,43509,650908678,6.3243,0.0304,6.265,6.384,6.32 ± 0.03
2006-2010,G20,Parkinson's Disease (PD),Typology,6,Nonspecialized,23280,361939164,6.7174,0.0441,6.6314,6.8042,6.72 ± 0.04
2006-2010,G20,Parkinson's Disease (PD),Typology,National,National,101873,1519222147,6.5383,0.0205,6.4982,6.5786,6.54 ± 0.02
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,1,Farming,14283,20793236,53.861,0.4522,52.9812,54.7516,53.86 ± 0.45
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,2,Mining,9581,14617184,64.7826,0.6627,63.4918,66.093,64.78 ± 0.66
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,3,Manufacturing,218719,294175065,66.1539,0.1418,65.877,66.4318,66.15 ± 0.14
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,4,Government,105857,176788820,65.2079,0.2008,64.8157,65.6019,65.21 ± 0.20
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,5,Services,399922,650908678,56.2846,0.0893,56.1103,56.4593,56.28 ± 0.09
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,6,Nonspecialized,226647,361939164,64.2792,0.1353,64.0148,64.5444,64.28 ± 0.14
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),Typology,National,National,975009,1519222147,61.0519,0.062,60.9308,61.1732,61.05 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),Typology,1,Farming,6694,20793236,25.1019,0.3078,24.5041,25.7105,25.10 ± 0.31
2006-2010,G30,Alzheimer's Disease (AD),Typology,2,Mining,4247,14617184,28.8377,0.4429,27.9769,29.7183,28.84 ± 0.44
2006-2010,G30,Alzheimer's Disease (AD),Typology,3,Manufacturing,92073,294175065,27.8512,0.092,27.6716,28.0317,27.85 ± 0.09
2006-2010,G30,Alzheimer's Disease (AD),Typology,4,Government,42167,176788820,26.0463,0.127,25.7983,26.2962,26.05 ± 0.13
2006-2010,G30,Alzheimer's Disease (AD),Typology,5,Services,154374,650908678,21.6669,0.0553,21.559,21.7753,21.67 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),Typology,6,Nonspecialized,92403,361939164,26.2549,0.0865,26.0859,26.4247,26.25 ± 0.09
2006-2010,G30,Alzheimer's Disease (AD),Typology,National,National,391958,1519222147,24.5349,0.0393,24.4582,24.6119,24.53 ± 0.04
2011-2015,C00_C97,All-site Cancer,Typology,1,Farming,41093,21176023,155.2925,0.7748,153.7946,156.8013,155.29 ± 0.77
2011-2015,C00_C97,All-site Cancer,Typology,2,Mining,31878,14915360,183.4968,1.0424,181.4879,185.5223,183.50 ± 1.04
2011-2015,C00_C97,All-site Cancer,Typology,3,Manufacturing,635668,299389398,174.5336,0.2218,174.1048,174.9632,174.53 ± 0.22
2011-2015,C00_C97,All-site Cancer,Typology,4,Government,320915,185616434,164.9207,0.2951,164.3506,165.4923,164.92 ± 0.30
2011-2015,C00_C97,All-site Cancer,Typology,5,Services,1210731,681029590,155.7577,0.1432,155.4804,156.0354,155.76 ± 0.14
2011-2015,C00_C97,All-site Cancer,Typology,6,Nonspecialized,686534,379753739,166.08,0.2031,165.6874,166.4733,166.08 ± 0.20
2011-2015,C00_C97,All-site Cancer,Typology,National,National,2926819,1581880544,163.2327,0.0966,163.0457,163.4198,163.23 ± 0.10
2011-2015,C18_C21,Colorectal Cancer,Typology,1,Farming,4043,21176023,15.3077,0.2438,14.8395,15.787,15.31 ± 0.24
2011-2015,C18_C21,Colorectal Cancer,Typology,2,Mining,3013,14915360,17.5226,0.3239,16.9024,18.1596,17.52 ± 0.32
2011-2015,C18_C21,Colorectal Cancer,Typology,3,Manufacturing,56509,299389398,15.6034,0.0665,15.475,15.7326,15.60 ± 0.07
2011-2015,C18_C21,Colorectal Cancer,Typology,4,Government,28254,185616434,14.5864,0.088,14.4168,14.7575,14.59 ± 0.09
2011-2015,C18_C21,Colorectal Cancer,Typology,5,Services,108288,681029590,13.8981,0.0428,13.8154,13.9811,13.90 ± 0.04
2011-2015,C18_C21,Colorectal Cancer,Typology,6,Nonspecialized,61548,379753739,14.9284,0.061,14.8107,15.0468,14.93 ± 0.06
2011-2015,C18_C21,Colorectal Cancer,Typology,National,National,261655,1581880544,14.6141,0.0289,14.5582,14.6702,14.61 ± 0.03
2011-2015,C22,Liver Cancer,Typology,1,Farming,1488,21176023,5.5911,0.1466,5.3106,5.8826,5.59 ± 0.15
2011-2015,C22,Liver Cancer,Typology,2,Mining,1240,14915360,6.8815,0.1987,6.5038,7.2755,6.88 ± 0.20
2011-2015,C22,Liver Cancer,Typology,3,Manufacturing,22306,299389398,5.9648,0.0405,5.8868,6.0436,5.96 ± 0.04
2011-2015,C22,Liver Cancer,Typology,4,Government,13871,185616434,6.8325,0.0589,6.7192,6.9471,6.83 ± 0.06
2011-2015,C22,Liver Cancer,Typology,5,Services,51904,681029590,6.5079,0.0289,6.4521,6.5642,6.51 ± 0.03
2011-2015,C22,Liver Cancer,Typology,6,Nonspecialized,28114,379753739,6.5423,0.0396,6.4661,6.6192,6.54 ± 0.04
2011-2015,C22,Liver Cancer,Typology,National,National,118923,1581880544,6.4322,0.0189,6.3957,6.4689,6.43 ± 0.02
2011-2015,C25,Pancreatic Cancer,Typology,1,Farming,2610,21176023,9.8737,0.1954,9.4985,10.2599,9.87 ± 0.20
2011-2015,C25,Pancreatic Cancer,Typology,2,Mining,1872,14915360,10.6624,0.25,10.1848,11.1566,10.66 ± 0.25
2011-2015,C25,Pancreatic Cancer,Typology,3,Manufacturing,41233,299389398,11.2198,0.0559,11.1117,11.3286,11.22 ± 0.06
2011-2015,C25,Pancreatic Cancer,Typology,4,Government,21660,185616434,11.0797,0.0763,10.9326,11.2282,11.08 ± 0.08
2011-2015,C25,Pancreatic Cancer,Typology,5,Services,84858,681029590,10.8566,0.0377,10.7837,10.9299,10.86 ± 0.04
2011-2015,C25,Pancreatic Cancer,Typology,6,Nonspecialized,44760,379753739,10.7573,0.0515,10.6579,10.8575,10.76 ± 0.05
2011-2015,C25,Pancreatic Cancer,Typology,National,National,196993,1581880544,10.9177,0.0249,10.8695,10.966,10.92 ± 0.02
2011-2015,C34,Lung Cancer,Typology,1,Farming,11221,21176023,42.1642,0.4012,41.3876,42.9517,42.16 ± 0.40
2011-2015,C34,Lung Cancer,Typology,2,Mining,9532,14915360,54.0546,0.561,52.9749,55.1509,54.05 ± 0.56
2011-2015,C34,Lung Cancer,Typology,3,Manufacturing,184061,299389398,49.997,0.1179,49.7689,50.226,50.00 ± 0.12
2011-2015,C34,Lung Cancer,Typology,4,Government,85553,185616434,43.6963,0.1514,43.404,43.9901,43.70 ± 0.15
2011-2015,C34,Lung Cancer,Typology,5,Services,303548,681029590,39.0409,0.0716,38.9022,39.1801,39.04 ± 0.07
2011-2015,C34,Lung Cancer,Typology,6,Nonspecialized,185364,379753739,44.549,0.1048,44.3464,44.7522,44.55 ± 0.10
2011-2015,C34,Lung Cancer,Typology,National,National,779279,1581880544,43.2514,0.0496,43.1555,43.3476,43.25 ± 0.05
2011-2015,C50,Breast Cancer,Typology,1,Farming,2561,21176023,9.8983,0.1991,9.5186,10.2893,9.90 ± 0.20
2011-2015,C50,Breast Cancer,Typology,2,Mining,2074,14915360,12.0836,0.2701,11.5691,12.6151,12.08 ± 0.27
2011-2015,C50,Breast Cancer,Typology,3,Manufacturing,42276,299389398,11.7104,0.0579,11.599,11.8226,11.71 ± 0.06
2011-2015,C50,Breast Cancer,Typology,4,Government,22608,185616434,11.6036,0.0783,11.4528,11.7559,11.60 ± 0.08
2011-2015,C50,Breast Cancer,Typology,5,Services,90342,681029590,11.6255,0.0392,11.5498,11.7015,11.63 ± 0.04
2011-2015,C50,Breast Cancer,Typology,6,Nonspecialized,47758,379753739,11.5276,0.0535,11.4244,11.6314,11.53 ± 0.05
2011-2015,C50,Breast Cancer,Typology,National,National,207619,1581880544,11.5995,0.0258,11.5497,11.6495,11.60 ± 0.03
2011-2015,C56,Ovary Cancer,Typology,1,Farming,955,21176023,3.6471,0.1196,3.4195,3.886,3.65 ± 0.12
2011-2015,C56,Ovary Cancer,Typology,2,Mining,638,14915360,3.6966,0.1484,3.4153,3.9949,3.70 ± 0.15
2011-2015,C56,Ovary Cancer,Typology,3,Manufacturing,14713,299389398,4.0513,0.0339,3.9861,4.1173,4.05 ± 0.03
2011-2015,C56,Ovary Cancer,Typology,4,Government,7557,185616434,3.8714,0.0452,3.7846,3.9597,3.87 ± 0.05
2011-2015,C56,Ovary Cancer,Typology,5,Services,30900,681029590,3.9637,0.0228,3.9197,4.0082,3.96 ± 0.02
2011-2015,C56,Ovary Cancer,Typology,6,Nonspecialized,16304,379753739,3.9345,0.0312,3.8744,3.9954,3.93 ± 0.03
2011-2015,C56,Ovary Cancer,Typology,National,National,71067,1581880544,3.9564,0.015,3.9274,3.9856,3.96 ± 0.02
2011-2015,C61,Prostate Cancer,Typology,1,Farming,2296,21176023,8.4298,0.177,8.0885,8.7818,8.43 ± 0.18
2011-2015,C61,Prostate Cancer,Typology,2,Mining,1410,14915360,8.4108,0.2257,7.9775,8.8616,8.41 ± 0.23
2011-2015,C61,Prostate Cancer,Typology,3,Manufacturing,28292,299389398,7.8148,0.0468,7.724,7.9064,7.81 ± 0.05
2011-2015,C61,Prostate Cancer,Typology,4,Government,15471,185616434,8.1779,0.0664,8.0495,8.3078,8.18 ± 0.07
2011-2015,C61,Prostate Cancer,Typology,5,Services,60345,681029590,7.7514,0.0319,7.6897,7.8135,7.75 ± 0.03
2011-2015,C61,Prostate Cancer,Typology,6,Nonspecialized,32223,379753739,8.0149,0.0451,7.9277,8.1029,8.01 ± 0.05
2011-2015,C61,Prostate Cancer,Typology,National,National,140037,1581880544,7.8859,0.0213,7.8447,7.9273,7.89 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,1,Farming,1041,21176023,3.9268,0.1231,3.6918,4.1727,3.93 ± 0.12
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,2,Mining,836,14915360,4.7448,0.1664,4.4286,5.0777,4.74 ± 0.17
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,3,Manufacturing,15196,299389398,4.1392,0.034,4.0737,4.2056,4.14 ± 0.03
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,4,Government,7842,185616434,3.9914,0.0457,3.9035,4.0807,3.99 ± 0.05
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,5,Services,27029,681029590,3.4578,0.0213,3.4167,3.4992,3.46 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,6,Nonspecialized,17286,379753739,4.1503,0.032,4.0887,4.2127,4.15 ± 0.03
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,Typology,National,National,69230,1581880544,3.8334,0.0147,3.8049,3.862,3.83 ± 0.01
2011-2015,C82_C85,Non-Hodgkin Lymphoma,Typology,1,Farming,1483,21176023,5.6212,0.1477,5.3387,5.9147,5.62 ± 0.15
2011-2015,C82_C85,Non-Hodgkin Lymphoma,Typology,2,Mining,995,14915360,5.8527,0.1877,5.4946,6.2279,5.85 ± 0.19
