Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
I00-I99,"808,728 (2.95‰)",246.21 ± 0.28,"772,234 (2.76‰)",217.05 ± 0.25,"793,732 (2.83‰)",207.88 ± 0.24
I20_I25,"443,665 (1.62‰)",134.98 ± 0.20,"386,108 (1.38‰)",108.43 ± 0.18,"369,073 (1.32‰)",96.51 ± 0.16
Lung Cancer,"147,076 (0.54‰)",46.92 ± 0.12,"140,660 (0.50‰)",41.33 ± 0.11,"123,606 (0.44‰)",33.05 ± 0.10
I60_I69,"112,533 (0.41‰)",34.31 ± 0.10,"109,205 (0.39‰)",30.88 ± 0.09,"110,935 (0.40‰)",29.16 ± 0.09
I10_I15,"52,625 (0.19‰)",16.07 ± 0.07,"60,532 (0.22‰)",17.06 ± 0.07,"78,632 (0.28‰)",20.66 ± 0.08
Census Region: Midwest,,,,,,
All-site Cancer,"661,151 (2.00‰)",182.71 ± 0.23,"674,360 (2.01‰)",171.09 ± 0.21,"677,827 (2.00‰)",157.67 ± 0.20
I00-I99,"932,291 (2.82‰)",251.95 ± 0.26,"925,689 (2.75‰)",229.99 ± 0.24,"985,680 (2.90‰)",227.76 ± 0.23
I20_I25,"459,875 (1.39‰)",124.37 ± 0.18,"421,801 (1.26‰)",104.79 ± 0.16,"406,410 (1.20‰)",93.70 ± 0.15
Lung Cancer,"190,073 (0.57‰)",52.78 ± 0.12,"188,072 (0.56‰)",47.61 ± 0.11,"171,874 (0.51‰)",39.38 ± 0.10
I60_I69,"158,771 (0.48‰)",42.95 ± 0.11,"152,971 (0.46‰)",38.13 ± 0.10,"165,299 (0.49‰)",38.23 ± 0.10
I10_I15,"64,519 (0.20‰)",17.34 ± 0.07,"74,560 (0.22‰)",18.46 ± 0.07,"98,135 (0.29‰)",22.72 ± 0.07
Census Region: South,,,,,,
All-site Cancer,"1,048,346 (1.89‰)",181.38 ± 0.18,"1,106,431 (1.88‰)",167.99 ± 0.16,"1,155,538 (1.87‰)",153.74 ± 0.15
