ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q4,2.77,2.24,3.6,1.73,1.51,1.95
F01,Vascular Dementia (VD),2000_2005,2006_2010,5,Q5,3.25,2.59,4.29,2.2,1.94,2.45
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q2,2.58,1.86,3.62,0.96,0.7,1.21
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q3,3.16,2.31,4.43,1.53,1.27,1.79
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q4,3.56,2.62,4.97,1.91,1.64,2.18
F01,Vascular Dementia (VD),2000_2005,2011_2015,10,Q5,4.0,2.97,5.59,2.35,2.05,2.65
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q2,3.14,2.25,4.46,0.82,0.53,1.12
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q3,3.76,2.73,5.28,1.45,1.14,1.75
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q4,4.2,3.08,5.89,1.9,1.58,2.22
F01,Vascular Dementia (VD),2000_2005,2016_2020,15,Q5,4.91,3.63,6.81,2.62,2.26,2.97
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.9,1.61,2.27,0.46,0.36,0.57
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.75,2.31,3.32,0.9,0.79,1.01
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.78,3.15,4.6,1.43,1.31,1.55
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.53,3.75,5.57,1.82,1.69,1.95
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,2.24,1.8,2.83,0.56,0.46,0.67
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,3.26,2.63,4.06,1.08,0.97,1.21
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.84,3.12,4.79,1.39,1.26,1.52
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.59,3.72,5.69,1.77,1.64,1.9
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.78,1.4,2.24,0.45,0.36,0.55
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.56,2.05,3.2,0.87,0.78,0.97
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.13,2.52,3.9,1.17,1.07,1.28
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,3.79,3.07,4.72,1.53,1.41,1.64
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,2.49,1.34,8.78,0.03,0.01,0.04
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,4.64,2.4,18.01,0.06,0.05,0.08
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,6.72,3.43,26.5,0.1,0.08,0.11
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,10.93,5.39,45.76,0.17,0.15,0.19
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,2.59,1.1,11.17,0.04,0.02,0.05
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,3.49,1.48,15.05,0.04,0.02,0.05
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,3.8,1.75,16.07,0.07,0.05,0.08
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,5.11,2.35,21.65,0.07,0.05,0.08
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,5.92,2.75,24.08,0.11,0.1,0.13
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,7.97,3.7,32.45,0.11,0.1,0.13
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,10.27,4.86,41.53,0.21,0.19,0.23
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,13.83,6.54,55.95,0.21,0.19,0.23
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,2.35,1.11,10.25,0.04,0.02,0.05
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.25,1.54,14.22,0.04,0.02,0.05
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,4.1,1.9,17.02,0.07,0.06,0.09
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,5.69,2.63,23.61,0.07,0.06,0.09
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,6.24,2.96,25.04,0.13,0.11,0.15
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,8.66,4.1,34.74,0.13,0.11,0.15
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,10.41,4.95,41.44,0.22,0.2,0.24
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,14.44,6.86,57.49,0.22,0.2,0.24
