Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C61,Prostate Cancer,RUCC,3.0,14110,114771138,9.6681,0.0816,9.5092,9.829,9.67 ± 0.08
2006-2010,C61,Prostate Cancer,RUCC,4.0,3335,23771547,9.8229,0.1705,9.4923,10.1621,9.82 ± 0.17
2006-2010,C61,Prostate Cancer,RUCC,National,142538,1519147926,9.0284,0.024,8.9816,9.0754,9.03 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,1.0,51358,1288964259,3.8753,0.0172,3.8419,3.909,3.88 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,2.0,4739,91640982,4.3852,0.0641,4.2612,4.5118,4.39 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,3.0,6535,114771138,4.5046,0.0562,4.396,4.6152,4.50 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,4.0,1404,23771547,4.19,0.1129,3.9737,4.4151,4.19 ± 0.11
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,National,64036,1519147926,3.97,0.0158,3.9394,4.0009,3.97 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,RUCC,1.0,83129,1288964259,6.3793,0.0222,6.336,6.4228,6.38 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,RUCC,2.0,7289,91640982,6.8549,0.0808,6.6984,7.0141,6.85 ± 0.08
2006-2010,C82_C85,Non-Hodgkin Lymphoma,RUCC,3.0,9564,114771138,6.6659,0.0687,6.5329,6.8008,6.67 ± 0.07
2006-2010,C82_C85,Non-Hodgkin Lymphoma,RUCC,4.0,2020,23771547,6.0647,0.1363,5.8031,6.3351,6.06 ± 0.14
2006-2010,C82_C85,Non-Hodgkin Lymphoma,RUCC,National,102002,1519147926,6.4322,0.0202,6.3928,6.4718,6.43 ± 0.02
2006-2010,C91_C95,Leukemia,RUCC,1.0,90376,1288964259,6.9571,0.0233,6.9118,7.0026,6.96 ± 0.02
2006-2010,C91_C95,Leukemia,RUCC,2.0,7623,91640982,7.2126,0.0832,7.0515,7.3763,7.21 ± 0.08
2006-2010,C91_C95,Leukemia,RUCC,3.0,10384,114771138,7.2964,0.0723,7.1567,7.4381,7.30 ± 0.07
2006-2010,C91_C95,Leukemia,RUCC,4.0,2204,23771547,6.6381,0.1429,6.3638,6.9211,6.64 ± 0.14
2006-2010,C91_C95,Leukemia,RUCC,National,110587,1519147926,7.0054,0.0212,6.9641,7.0468,7.01 ± 0.02
2006-2010,F01,Vascular Dementia (VD),RUCC,1.0,39130,1288964259,2.9894,0.0151,2.9599,3.0192,2.99 ± 0.02
2006-2010,F01,Vascular Dementia (VD),RUCC,2.0,3024,91640982,2.7815,0.0507,2.6833,2.8825,2.78 ± 0.05
2006-2010,F01,Vascular Dementia (VD),RUCC,3.0,3342,114771138,2.2672,0.0393,2.1909,2.3453,2.27 ± 0.04
2006-2010,F01,Vascular Dementia (VD),RUCC,4.0,685,23771547,1.9887,0.0761,1.8425,2.1433,1.99 ± 0.08
2006-2010,F01,Vascular Dementia (VD),RUCC,National,46181,1519147926,2.8873,0.0135,2.861,2.9138,2.89 ± 0.01
2006-2010,F03,Unspecified Dementia (UD),RUCC,1.0,335501,1288964259,25.5234,0.0442,25.4371,25.6099,25.52 ± 0.04
2006-2010,F03,Unspecified Dementia (UD),RUCC,2.0,27362,91640982,25.1055,0.1521,24.8089,25.4048,25.11 ± 0.15
2006-2010,F03,Unspecified Dementia (UD),RUCC,3.0,34124,114771138,23.0832,0.1252,22.8389,23.3294,23.08 ± 0.13
2006-2010,F03,Unspecified Dementia (UD),RUCC,4.0,6819,23771547,19.8304,0.2405,19.3625,20.3067,19.83 ± 0.24
2006-2010,F03,Unspecified Dementia (UD),RUCC,National,403806,1519147926,25.148,0.0397,25.0705,25.2256,25.15 ± 0.04
2006-2010,G10,Huntington's Disease (HD),RUCC,1.0,3527,1288964259,0.2603,0.0044,0.2518,0.269,0.26 ± 0.00
2006-2010,G10,Huntington's Disease (HD),RUCC,2.0,342,91640982,0.3324,0.0183,0.2981,0.3696,0.33 ± 0.02
2006-2010,G10,Huntington's Disease (HD),RUCC,3.0,455,114771138,0.336,0.0161,0.3058,0.3683,0.34 ± 0.02
2006-2010,G10,Huntington's Disease (HD),RUCC,4.0,85,23771547,0.2799,0.0312,0.2235,0.3461,0.28 ± 0.03
2006-2010,G10,Huntington's Disease (HD),RUCC,National,4409,1519147926,0.2713,0.0041,0.2634,0.2795,0.27 ± 0.00
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,1.0,25526,1288964259,1.9349,0.0122,1.9113,1.9588,1.93 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,2.0,2230,91640982,2.086,0.0445,2.0003,2.1744,2.09 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,3.0,2836,114771138,1.9695,0.0373,1.8976,2.0433,1.97 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,4.0,591,23771547,1.7788,0.0741,1.6382,1.9281,1.78 ± 0.07
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,National,31183,1519147926,1.9438,0.0111,1.9222,1.9655,1.94 ± 0.01
2006-2010,G20,Parkinson's Disease (PD),RUCC,1.0,84097,1288964259,6.6016,0.0228,6.5571,6.6464,6.60 ± 0.02
2006-2010,G20,Parkinson's Disease (PD),RUCC,2.0,7259,91640982,6.8469,0.0805,6.6903,7.0063,6.85 ± 0.08
2006-2010,G20,Parkinson's Disease (PD),RUCC,3.0,8640,114771138,5.9827,0.0645,5.8572,6.1102,5.98 ± 0.06
2006-2010,G20,Parkinson's Disease (PD),RUCC,4.0,1872,23771547,5.5589,0.1287,5.3099,5.8165,5.56 ± 0.13
2006-2010,G20,Parkinson's Disease (PD),RUCC,National,101868,1519147926,6.5382,0.0205,6.4981,6.5785,6.54 ± 0.02
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,1.0,798048,1288964259,61.0426,0.0685,60.9087,61.1767,61.04 ± 0.07
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,2.0,69731,91640982,64.3617,0.2442,63.8848,64.8412,64.36 ± 0.24
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,3.0,88665,114771138,60.3115,0.203,59.9151,60.7098,60.31 ± 0.20
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,4.0,18545,23771547,54.1562,0.3985,53.3795,54.9413,54.16 ± 0.40
2006-2010,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,National,974989,1519147926,61.0524,0.062,60.9313,61.1737,61.05 ± 0.06
2006-2010,G30,Alzheimer's Disease (AD),RUCC,1.0,313794,1288964259,23.9932,0.0429,23.9094,24.0773,23.99 ± 0.04
2006-2010,G30,Alzheimer's Disease (AD),RUCC,2.0,29856,91640982,27.5417,0.1597,27.2301,27.8559,27.54 ± 0.16
2006-2010,G30,Alzheimer's Disease (AD),RUCC,3.0,39723,114771138,27.0089,0.1357,26.744,27.2759,27.01 ± 0.14
2006-2010,G30,Alzheimer's Disease (AD),RUCC,4.0,8578,23771547,24.9995,0.2703,24.4732,25.5342,25.00 ± 0.27
2006-2010,G30,Alzheimer's Disease (AD),RUCC,National,391951,1519147926,24.5352,0.0393,24.4585,24.6121,24.54 ± 0.04
2011-2015,C18_C21,Colorectal Cancer,RUCC,1.0,211222,1350766445,14.2139,0.0313,14.1533,14.2746,14.21 ± 0.03
2011-2015,C18_C21,Colorectal Cancer,RUCC,2.0,18587,92864210,16.0942,0.12,15.8636,16.3273,16.09 ± 0.12
2011-2015,C18_C21,Colorectal Cancer,RUCC,3.0,26156,114653464,17.0671,0.1075,16.8609,17.2752,17.07 ± 0.11
2011-2015,C18_C21,Colorectal Cancer,RUCC,4.0,5683,23581363,16.0897,0.2181,15.6741,16.5136,16.09 ± 0.22
2011-2015,C18_C21,Colorectal Cancer,RUCC,National,261648,1581865482,14.6139,0.0289,14.558,14.67,14.61 ± 0.03
2011-2015,C22,Liver Cancer,RUCC,1.0,100380,1350766445,6.5395,0.0209,6.4991,6.58,6.54 ± 0.02
2011-2015,C22,Liver Cancer,RUCC,2.0,7246,92864210,6.0579,0.0723,5.9192,6.1991,6.06 ± 0.07
2011-2015,C22,Liver Cancer,RUCC,3.0,9437,114653464,6.0034,0.0628,5.8828,6.1257,6.00 ± 0.06
2011-2015,C22,Liver Cancer,RUCC,4.0,1858,23581363,5.1795,0.1225,4.9467,5.4205,5.18 ± 0.12
2011-2015,C22,Liver Cancer,RUCC,National,118921,1581865482,6.4322,0.0189,6.3957,6.4688,6.43 ± 0.02
2011-2015,C25,Pancreatic Cancer,RUCC,1.0,162972,1350766445,10.9177,0.0274,10.8648,10.9709,10.92 ± 0.03
2011-2015,C25,Pancreatic Cancer,RUCC,2.0,12901,92864210,10.935,0.0975,10.7471,11.1254,10.94 ± 0.10
2011-2015,C25,Pancreatic Cancer,RUCC,3.0,17292,114653464,11.0738,0.0854,10.9094,11.2401,11.07 ± 0.09
2011-2015,C25,Pancreatic Cancer,RUCC,4.0,3826,23581363,10.6532,0.175,10.3182,10.9962,10.65 ± 0.18
2011-2015,C25,Pancreatic Cancer,RUCC,National,196991,1581865482,10.9177,0.0249,10.8695,10.966,10.92 ± 0.02
2011-2015,C34,Lung Cancer,RUCC,1.0,619799,1350766445,41.6522,0.0535,41.5485,41.756,41.65 ± 0.05
2011-2015,C34,Lung Cancer,RUCC,2.0,58866,92864210,49.7936,0.2078,49.3922,50.1975,49.79 ± 0.21
2011-2015,C34,Lung Cancer,RUCC,3.0,82247,114653464,52.295,0.1847,51.9382,52.6536,52.29 ± 0.18
2011-2015,C34,Lung Cancer,RUCC,4.0,18348,23581363,50.703,0.3797,49.972,51.442,50.70 ± 0.38
2011-2015,C34,Lung Cancer,RUCC,National,779260,1581865482,43.2507,0.0496,43.1548,43.3469,43.25 ± 0.05
2011-2015,C50,Breast Cancer,RUCC,1.0,173422,1350766445,11.6393,0.0283,11.5846,11.6942,11.64 ± 0.03
2011-2015,C50,Breast Cancer,RUCC,2.0,13313,92864210,11.5987,0.1026,11.4025,11.7974,11.60 ± 0.10
2011-2015,C50,Breast Cancer,RUCC,3.0,17308,114653464,11.4729,0.0894,11.3026,11.6451,11.47 ± 0.09
2011-2015,C50,Breast Cancer,RUCC,4.0,3574,23581363,10.3029,0.1775,9.9679,10.6464,10.30 ± 0.18
2011-2015,C50,Breast Cancer,RUCC,National,207617,1581865482,11.5995,0.0258,11.5497,11.6495,11.60 ± 0.03
2011-2015,C56,Ovary Cancer,RUCC,1.0,59120,1350766445,3.9652,0.0165,3.9333,3.9973,3.97 ± 0.02
2011-2015,C56,Ovary Cancer,RUCC,2.0,4693,92864210,4.0401,0.0599,3.9253,4.1574,4.04 ± 0.06
2011-2015,C56,Ovary Cancer,RUCC,3.0,5920,114653464,3.855,0.051,3.7574,3.9545,3.86 ± 0.05
2011-2015,C56,Ovary Cancer,RUCC,4.0,1334,23581363,3.8089,0.1067,3.6072,4.0189,3.81 ± 0.11
2011-2015,C56,Ovary Cancer,RUCC,National,71067,1581865482,3.9565,0.015,3.9274,3.9857,3.96 ± 0.02
2011-2015,C61,Prostate Cancer,RUCC,1.0,114151,1350766445,7.7893,0.0233,7.7442,7.8347,7.79 ± 0.02
2011-2015,C61,Prostate Cancer,RUCC,2.0,9600,92864210,8.1937,0.0843,8.0306,8.3592,8.19 ± 0.08
2011-2015,C61,Prostate Cancer,RUCC,3.0,13234,114653464,8.4308,0.0737,8.2878,8.5757,8.43 ± 0.07
2011-2015,C61,Prostate Cancer,RUCC,4.0,3049,23581363,8.4121,0.1532,8.1162,8.7161,8.41 ± 0.15
2011-2015,C61,Prostate Cancer,RUCC,National,140034,1581865482,7.8858,0.0213,7.8446,7.9272,7.89 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,1.0,55805,1350766445,3.7313,0.016,3.7004,3.7624,3.73 ± 0.02
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,2.0,4875,92864210,4.145,0.0603,4.0294,4.263,4.14 ± 0.06
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,3.0,7034,114653464,4.5214,0.0548,4.4164,4.6283,4.52 ± 0.05
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,4.0,1513,23581363,4.2046,0.1099,3.9954,4.4219,4.20 ± 0.11
2011-2015,C64_C65,Kidney and Renal Pelvis Cancer,RUCC,National,69227,1581865482,3.8332,0.0147,3.8047,3.8619,3.83 ± 0.01
2011-2015,C82_C85,Non-Hodgkin Lymphoma,RUCC,1.0,82818,1350766445,5.6695,0.0199,5.631,5.7083,5.67 ± 0.02
2011-2015,C82_C85,Non-Hodgkin Lymphoma,RUCC,2.0,7157,92864210,6.221,0.0745,6.0777,6.3668,6.22 ± 0.07
2011-2015,C82_C85,Non-Hodgkin Lymphoma,RUCC,3.0,9288,114653464,6.0326,0.0635,5.9105,6.1565,6.03 ± 0.06
2011-2015,C82_C85,Non-Hodgkin Lymphoma,RUCC,4.0,1943,23581363,5.4699,0.1262,5.2294,5.7187,5.47 ± 0.13
2011-2015,C82_C85,Non-Hodgkin Lymphoma,RUCC,National,101206,1581865482,5.7344,0.0182,5.6991,5.7698,5.73 ± 0.02
2011-2015,C91_C95,Leukemia,RUCC,1.0,94627,1350766445,6.5308,0.0215,6.4892,6.5725,6.53 ± 0.02
2011-2015,C91_C95,Leukemia,RUCC,2.0,7766,92864210,6.8064,0.0784,6.6559,6.9595,6.81 ± 0.08
2011-2015,C91_C95,Leukemia,RUCC,3.0,10464,114653464,6.8882,0.0685,6.7568,7.0215,6.89 ± 0.07
2011-2015,C91_C95,Leukemia,RUCC,4.0,2322,23581363,6.5727,0.1392,6.308,6.8456,6.57 ± 0.14
2011-2015,C91_C95,Leukemia,RUCC,National,115179,1581865482,6.5858,0.0196,6.5478,6.6239,6.59 ± 0.02
2011-2015,F01,Vascular Dementia (VD),RUCC,1.0,55547,1350766445,3.7204,0.0159,3.6896,3.7515,3.72 ± 0.02
2011-2015,F01,Vascular Dementia (VD),RUCC,2.0,3988,92864210,3.3706,0.0537,3.2668,3.4769,3.37 ± 0.05
2011-2015,F01,Vascular Dementia (VD),RUCC,3.0,4462,114653464,2.8357,0.0426,2.7531,2.9201,2.84 ± 0.04
2011-2015,F01,Vascular Dementia (VD),RUCC,4.0,969,23581363,2.6554,0.0855,2.4908,2.828,2.66 ± 0.09
2011-2015,F01,Vascular Dementia (VD),RUCC,National,64966,1581865482,3.5987,0.0142,3.5711,3.6265,3.60 ± 0.01
2011-2015,F03,Unspecified Dementia (UD),RUCC,1.0,491706,1350766445,32.8074,0.0471,32.7158,32.8992,32.81 ± 0.05
2011-2015,F03,Unspecified Dementia (UD),RUCC,2.0,40499,92864210,34.1121,0.1703,33.7806,34.4459,34.11 ± 0.17
2011-2015,F03,Unspecified Dementia (UD),RUCC,3.0,50824,114653464,32.1385,0.143,31.8597,32.4192,32.14 ± 0.14
2011-2015,F03,Unspecified Dementia (UD),RUCC,4.0,10186,23581363,27.8162,0.2763,27.2786,28.3618,27.82 ± 0.28
2011-2015,F03,Unspecified Dementia (UD),RUCC,National,593215,1581865482,32.734,0.0428,32.6507,32.8174,32.73 ± 0.04
2011-2015,G10,Huntington's Disease (HD),RUCC,1.0,4009,1350766445,0.2696,0.0043,0.2613,0.2781,0.27 ± 0.00
2011-2015,G10,Huntington's Disease (HD),RUCC,2.0,406,92864210,0.384,0.0197,0.3476,0.4233,0.38 ± 0.02
2011-2015,G10,Huntington's Disease (HD),RUCC,3.0,537,114653464,0.3923,0.0176,0.3598,0.4269,0.39 ± 0.02
2011-2015,G10,Huntington's Disease (HD),RUCC,4.0,115,23581363,0.346,0.0336,0.2856,0.4153,0.35 ± 0.03
2011-2015,G10,Huntington's Disease (HD),RUCC,National,5067,1581865482,0.2868,0.0041,0.2789,0.2948,0.29 ± 0.00
2011-2015,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,1.0,29385,1350766445,1.9728,0.0117,1.9503,1.9955,1.97 ± 0.01
2011-2015,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,2.0,2479,92864210,2.1357,0.0437,2.0524,2.2214,2.14 ± 0.04
2011-2015,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,3.0,3167,114653464,2.0491,0.0371,1.9783,2.1217,2.05 ± 0.04
2011-2015,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,4.0,692,23581363,1.9521,0.076,1.8093,2.1031,1.95 ± 0.08
2011-2015,G12.2,Amyotrophic Lateral Sclerosis (ALS),RUCC,National,35723,1581865482,1.987,0.0106,1.9665,2.0077,1.99 ± 0.01
2011-2015,G20,Parkinson's Disease (PD),RUCC,1.0,104473,1350766445,7.3259,0.0229,7.2816,7.3705,7.33 ± 0.02
2011-2015,G20,Parkinson's Disease (PD),RUCC,2.0,8363,92864210,7.2947,0.0803,7.1392,7.4527,7.29 ± 0.08
2011-2015,G20,Parkinson's Disease (PD),RUCC,3.0,10387,114653464,6.7467,0.0665,6.6176,6.8777,6.75 ± 0.07
2011-2015,G20,Parkinson's Disease (PD),RUCC,4.0,2179,23581363,6.0752,0.1306,5.8228,6.3358,6.08 ± 0.13
2011-2015,G20,Parkinson's Disease (PD),RUCC,National,125402,1581865482,7.2459,0.0206,7.2059,7.2862,7.25 ± 0.02
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,1.0,1051219,1350766445,70.7061,0.0695,70.571,70.8414,70.71 ± 0.07
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,2.0,88678,92864210,75.1814,0.2539,74.6873,75.6778,75.18 ± 0.25
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,3.0,113345,114653464,72.0914,0.215,71.6723,72.5123,72.09 ± 0.22
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,4.0,23496,23581363,64.4735,0.4221,63.6517,65.3032,64.47 ± 0.42
2011-2015,G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),RUCC,National,1276738,1581865482,70.997,0.0633,70.8739,71.1202,71.00 ± 0.06
2011-2015,G30,Alzheimer's Disease (AD),RUCC,1.0,370108,1350766445,24.8795,0.0412,24.7995,24.9598,24.88 ± 0.04
2011-2015,G30,Alzheimer's Disease (AD),RUCC,2.0,33349,92864210,28.2683,0.1556,27.9657,28.5734,28.27 ± 0.16
2011-2015,G30,Alzheimer's Disease (AD),RUCC,3.0,44505,114653464,28.3214,0.1347,28.0589,28.5858,28.32 ± 0.13
2011-2015,G30,Alzheimer's Disease (AD),RUCC,4.0,9470,23581363,25.9745,0.2677,25.4539,26.503,25.97 ± 0.27
2011-2015,G30,Alzheimer's Disease (AD),RUCC,National,457432,1581865482,25.4313,0.0379,25.3577,25.5051,25.43 ± 0.04
2016-2020,C18_C21,Colorectal Cancer,RUCC,1,215097,1403347391,12.9352,0.0283,12.8806,12.99,12.94 ± 0.03
2016-2020,C18_C21,Colorectal Cancer,RUCC,2,18710,93238846,15.1033,0.1134,14.8876,15.3212,15.10 ± 0.11
2016-2020,C18_C21,Colorectal Cancer,RUCC,3,25955,113762539,16.0598,0.1028,15.865,16.2564,16.06 ± 0.10
2016-2020,C18_C21,Colorectal Cancer,RUCC,4,5740,23379649,15.3896,0.2112,14.994,15.7929,15.39 ± 0.21
2016-2020,C18_C21,Colorectal Cancer,RUCC,National,265502,1633728425,13.3677,0.0264,13.3169,13.4186,13.37 ± 0.03
2016-2020,C22,Liver Cancer,RUCC,1,115393,1403347391,6.674,0.0199,6.6355,6.7126,6.67 ± 0.02
2016-2020,C22,Liver Cancer,RUCC,2,8560,93238846,6.5455,0.0722,6.4076,6.6856,6.55 ± 0.07
2016-2020,C22,Liver Cancer,RUCC,3,11161,113762539,6.5972,0.0639,6.4754,6.7208,6.60 ± 0.06
2016-2020,C22,Liver Cancer,RUCC,4,2304,23379649,5.935,0.1271,5.6951,6.1824,5.94 ± 0.13
2016-2020,C22,Liver Cancer,RUCC,National,137418,1633728425,6.6414,0.0182,6.6064,6.6766,6.64 ± 0.02
2016-2020,C25,Pancreatic Cancer,RUCC,1,185786,1403347391,10.9798,0.0258,10.93,11.0299,10.98 ± 0.03
2016-2020,C25,Pancreatic Cancer,RUCC,2,14773,93238846,11.4856,0.0963,11.3011,11.6723,11.49 ± 0.10
2016-2020,C25,Pancreatic Cancer,RUCC,3,19446,113762539,11.5941,0.0849,11.4317,11.7582,11.59 ± 0.08
2016-2020,C25,Pancreatic Cancer,RUCC,4,4193,23379649,10.8646,0.1723,10.5382,11.1986,10.86 ± 0.17
2016-2020,C25,Pancreatic Cancer,RUCC,National,224198,1633728425,11.0493,0.0237,11.0036,11.0951,11.05 ± 0.02
2016-2020,C34,Lung Cancer,RUCC,1,565246,1403347391,33.2812,0.0449,33.1945,33.3681,33.28 ± 0.04
2016-2020,C34,Lung Cancer,RUCC,2,54134,93238846,41.6667,0.1822,41.3164,42.0192,41.67 ± 0.18
2016-2020,C34,Lung Cancer,RUCC,3,76032,113762539,44.7534,0.1653,44.4359,45.0727,44.75 ± 0.17
2016-2020,C34,Lung Cancer,RUCC,4,16759,23379649,42.9506,0.3394,42.3027,43.6059,42.95 ± 0.34
2016-2020,C34,Lung Cancer,RUCC,National,712171,1633728425,34.9061,0.0419,34.825,34.9872,34.91 ± 0.04
2016-2020,C50,Breast Cancer,RUCC,1,178758,1403347391,10.8337,0.0261,10.7835,10.884,10.83 ± 0.03
2016-2020,C50,Breast Cancer,RUCC,2,13319,93238846,10.9026,0.0975,10.7182,11.0893,10.90 ± 0.10
2016-2020,C50,Breast Cancer,RUCC,3,17098,113762539,10.8016,0.0858,10.6403,10.9648,10.80 ± 0.09
2016-2020,C50,Breast Cancer,RUCC,4,3490,23379649,9.4988,0.1681,9.1863,9.8193,9.50 ± 0.17
2016-2020,C50,Breast Cancer,RUCC,National,212665,1633728425,10.8126,0.0239,10.7667,10.8586,10.81 ± 0.02
2016-2020,C56,Ovary Cancer,RUCC,1,58110,1403347391,3.4648,0.0146,3.4367,3.4931,3.46 ± 0.01
2016-2020,C56,Ovary Cancer,RUCC,2,4327,93238846,3.4511,0.0538,3.349,3.5555,3.45 ± 0.05
2016-2020,C56,Ovary Cancer,RUCC,3,5446,113762539,3.3279,0.0464,3.2401,3.4175,3.33 ± 0.05
2016-2020,C56,Ovary Cancer,RUCC,4,1102,23379649,2.9279,0.0913,2.7575,3.106,2.93 ± 0.09
2016-2020,C56,Ovary Cancer,RUCC,National,68985,1633728425,3.4417,0.0133,3.4161,3.4675,3.44 ± 0.01
2016-2020,C61,Prostate Cancer,RUCC,1,128832,1403347391,7.7119,0.0217,7.6698,7.7541,7.71 ± 0.02
2016-2020,C61,Prostate Cancer,RUCC,2,10415,93238846,8.1014,0.0801,7.9465,8.2585,8.10 ± 0.08
