Model	Lag	Q1	Q2	Q3	Q4	Q5
Built	5	0.0	2.65(-0.29,5.59)	2.74(-0.30,5.76)	3.39(0.36,6.36)*	4.14(1.15,7.27)**
Built	10	0.0	4.80(1.93,7.79)**	3.50(0.37,6.53)*	4.27(1.20,7.32)**	4.55(1.46,7.56)**
Built	15	0.0	3.52(0.51,6.52)*	1.47(-1.70,4.45)	2.43(-0.64,5.42)	4.21(1.18,7.31)**
Social	5	0.0	3.40(-0.37,7.09)	4.43(1.02,7.79)*	6.58(3.24,9.96)***	11.65(8.45,14.93)***
Social	10	0.0	4.08(0.39,7.76)*	5.61(2.29,8.87)**	7.11(3.80,10.37)***	11.88(8.68,14.99)***
Social	15	0.0	2.43(-1.30,6.32)	2.36(-1.10,6.03)	3.96(0.62,7.44)*	7.85(4.61,11.16)***
Race(Black)
EQI	5	0.0	-2.78(-8.20,2.44)	2.93(-1.94,7.70)	10.07(5.45,14.82)***	23.44(18.70,28.22)***
EQI	10	0.0	-4.96(-10.97,0.79)	1.39(-3.88,6.67)	9.65(4.64,14.75)***	24.20(19.08,29.25)***
EQI	15	0.0	-4.83(-10.84,1.18)	2.02(-3.42,7.64)	8.79(3.70,14.04)***	26.93(21.76,32.23)***
Air	5	0.0	-7.75(-13.52,-1.94)**	-1.29(-6.45,3.71)	6.14(1.10,11.19)*	23.24(17.99,28.25)***
Air	10	0.0	-7.84(-14.42,-1.53)*	-1.66(-7.35,3.95)	5.05(-0.51,10.38)	25.40(19.90,30.86)***
Air	15	0.0	-8.40(-14.50,-2.04)**	-0.19(-5.73,5.79)	7.72(2.43,13.11)**	27.11(21.82,32.55)***
Water	5	0.0	0.42(-4.64,5.41)	1.72(-3.34,6.69)	-1.77(-6.67,3.12)	-0.65(-5.81,4.42)
Water	10	0.0	-1.64(-7.24,3.95)	0.29(-5.10,5.67)	-0.23(-5.81,5.23)	0.10(-5.65,5.71)
Water	15	0.0	-0.33(-5.96,5.22)	-1.99(-7.40,3.43)	1.94(-3.41,7.61)	0.26(-5.59,5.82)
Land	5	0.0	0.36(-3.85,4.57)	-1.43(-5.69,2.96)	-1.98(-6.65,2.84)	-0.24(-5.34,4.69)
Land	10	0.0	0.20(-4.36,4.78)	-2.99(-7.77,1.48)	-2.33(-7.43,2.78)	-1.25(-6.50,4.08)
Land	15	0.0	-0.10(-4.84,4.66)	-4.65(-9.49,0.10)	1.09(-4.17,6.29)	2.93(-2.48,8.32)
Built	5	0.0	0.73(-3.44,4.84)	4.36(-0.11,8.68)	10.34(5.93,14.76)***	11.37(7.04,15.72)***
Built	10	0.0	1.93(-2.67,6.69)	5.62(0.90,10.41)*	11.23(6.48,16.09)***	11.15(6.51,15.85)***
Built	15	0.0	3.16(-1.69,8.11)	7.84(3.09,12.67)***	10.66(5.92,15.39)***	11.33(6.54,16.17)***
Social	5	0.0	0.96(-4.23,6.08)	1.56(-3.11,6.34)	5.54(1.04,10.10)*	-1.13(-5.60,3.25)
Social	10	0.0	-0.43(-6.03,5.04)	1.05(-3.95,6.14)	4.79(-0.14,9.79)	-0.51(-5.42,4.36)
Social	15	0.0	1.93(-3.75,7.69)	1.14(-4.23,6.40)	5.09(-0.04,10.19)	0.66(-4.17,5.59)
Race(Asian)
EQI	5	0.0	0.04(-1.96,1.95)	1.02(-0.82,2.83)	1.21(-0.64,2.99)	5.33(3.33,7.23)***
EQI	10	0.0	0.60(-2.09,3.28)	2.00(-0.44,4.44)	3.17(0.70,5.64)**	9.71(7.18,12.18)***
EQI	15	0.0	1.33(-1.73,4.29)	2.40(-0.48,5.15)	4.65(1.81,7.38)**	14.26(11.27,17.12)***
Air	5	0.0	0.70(-2.08,3.38)	2.03(-0.50,4.45)	2.93(0.35,5.51)*	6.62(3.92,9.23)***
Air	10	0.0	0.47(-3.02,3.94)	3.00(-0.25,6.36)	4.89(1.46,8.29)**	10.55(7.10,14.00)***
Air	15	0.0	1.64(-2.30,5.58)	3.21(-0.46,6.90)	5.49(1.85,9.15)**	11.71(8.05,15.39)***
Water	5	0.0	-1.28(-3.10,0.55)	0.14(-1.68,2.04)	-1.12(-2.94,0.77)	-0.66(-2.64,1.28)
Water	10	0.0	-1.12(-3.70,1.43)	0.92(-1.55,3.41)	-0.39(-2.79,2.23)	0.07(-2.50,2.71)
Water	15	0.0	-1.50(-4.35,1.31)	0.32(-2.56,3.17)	-0.31(-3.24,2.50)	1.55(-1.48,4.45)
Land	5	0.0	-0.33(-1.81,1.09)	0.27(-1.32,1.78)	-0.23(-1.96,1.48)	0.80(-1.01,2.61)
Land	10	0.0	-0.94(-2.91,1.08)	0.14(-1.97,2.30)	-0.58(-2.88,1.81)	1.77(-0.63,4.27)
Land	15	0.0	0.30(-1.92,2.60)	0.94(-1.43,3.31)	0.11(-2.56,2.81)	2.97(0.26,5.67)*
Built	5	0.0	-1.37(-2.78,0.03)	-1.57(-3.08,-0.03)*	0.29(-1.23,1.82)	1.53(-0.05,3.09)
Built	10	0.0	-1.43(-3.29,0.47)	-1.17(-3.17,0.91)	1.14(-0.99,3.26)	3.55(1.40,5.69)**
Built	15	0.0	-0.53(-2.78,1.77)	-0.31(-2.85,2.13)	4.20(1.72,6.55)**	6.41(3.86,8.99)***
Social	5	0.0	-0.10(-2.00,1.81)	0.03(-1.81,1.85)	-0.46(-2.31,1.33)	0.10(-1.74,2.01)
Social	10	0.0	-0.00(-2.61,2.70)	-0.69(-3.17,1.86)	-0.22(-2.70,2.30)	-0.65(-3.15,1.89)
Social	15	0.0	0.47(-2.49,3.40)	-0.48(-3.30,2.16)	0.80(-1.98,3.57)	0.44(-2.40,3.20)
Race(Indian)
EQI	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
EQI	10	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
EQI	15	0.0	-0.03(-2.04,1.96)	0.49(-1.38,2.39)	1.58(-0.23,3.43)	3.79(1.90,5.72)***
Air	5	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Air	10	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Air	15	0.0	1.75(-1.05,4.57)	4.55(1.86,7.13)**	5.67(2.96,8.36)***	6.98(4.23,9.64)***
Water	5	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Water	10	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Water	15	0.0	0.35(-1.61,2.36)	0.07(-1.89,2.14)	-0.18(-2.26,1.90)	-0.04(-2.14,2.17)
Land	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Land	10	0.0	0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Land	15	0.0	0.31(-1.22,1.83)	0.66(-0.92,2.31)	0.40(-1.47,2.29)	1.59(-0.35,3.55)
Built	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Built	10	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)
Built	15	0.0	-0.73(-2.05,0.67)	-1.65(-3.23,-0.04)*	-0.96(-2.58,0.57)	0.56(-0.99,2.20)
Social	5	0.0	-0.00(-0.00,0.00)	-0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Social	10	0.0	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)	0.00(-0.00,0.00)
Social	15	0.0	0.77(-1.25,2.79)	0.90(-1.01,2.86)	0.75(-1.22,2.69)	-0.81(-2.80,1.20)
RUCC: Metropolitan urbanized
EQI	5	0.0	1.58(-2.21,5.36)	5.26(1.79,8.72)**	9.72(6.15,13.21)***	14.84(11.33,18.15)***
EQI	10	0.0	0.18(-3.61,4.07)	5.88(2.25,9.49)**	10.36(7.00,13.84)***	15.41(11.98,18.87)***
EQI	15	0.0	-0.62(-4.60,3.31)	3.97(0.36,7.60)*	8.92(5.49,12.45)***	13.11(9.69,16.67)***
Air	5	0.0	2.50(-2.28,7.25)	4.80(0.50,9.04)*	7.00(2.74,11.50)**	8.52(4.19,12.87)***
Air	10	0.0	1.20(-3.76,5.86)	5.17(0.94,9.40)*	7.33(3.11,11.40)***	8.95(4.71,13.17)***
Air	15	0.0	1.21(-3.62,5.84)	3.63(-0.66,7.93)	7.38(3.22,11.53)***	7.85(3.56,12.04)***
Water	5	0.0	4.53(1.02,8.14)*	3.62(0.09,7.24)*	2.33(-1.20,5.95)	3.18(-0.43,6.89)
Water	10	0.0	4.59(0.68,8.32)*	3.48(-0.05,7.15)	3.44(-0.03,7.05)	2.54(-1.04,6.28)
Water	15	0.0	4.34(0.58,8.10)*	4.27(0.55,7.99)*	4.14(0.39,7.71)*	4.69(0.84,8.46)*
Land	5	0.0	1.73(-1.24,4.69)	1.56(-1.38,4.50)	0.14(-3.24,3.35)	1.42(-1.97,4.71)
Land	10	0.0	2.50(-0.47,5.38)	4.16(1.24,7.09)**	2.35(-1.05,5.66)	3.06(-0.26,6.31)
