Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
VD,685 (0.03‰),1.99 ± 0.08,969 (0.04‰),2.66 ± 0.09,"1,362 (0.06‰)",3.45 ± 0.09
ALS,591 (0.02‰),1.78 ± 0.07,692 (0.03‰),1.95 ± 0.08,637 (0.03‰),1.70 ± 0.07
HD,85 (0.00‰),0.28 ± 0.03,115 (0.00‰),0.35 ± 0.03,100 (0.00‰),0.31 ± 0.03
Census Region: Northeast,,,,,,
NDD,"169,720 (0.62‰)",50.03 ± 0.12,"225,925 (0.81‰)",61.27 ± 0.13,"257,884 (0.92‰)",65.43 ± 0.13
Dementia,"145,265 (0.53‰)",42.40 ± 0.11,"197,391 (0.71‰)",52.95 ± 0.12,"223,167 (0.80‰)",56.11 ± 0.12
AD,"57,710 (0.21‰)",16.92 ± 0.07,"61,772 (0.22‰)",16.70 ± 0.07,"75,747 (0.27‰)",19.15 ± 0.07
PD,"18,582 (0.07‰)",5.74 ± 0.04,"22,102 (0.08‰)",6.41 ± 0.04,"28,335 (0.10‰)",7.60 ± 0.05
VD,"6,177 (0.02‰)",1.81 ± 0.02,"8,949 (0.03‰)",2.42 ± 0.03,"12,991 (0.05‰)",3.29 ± 0.03
ALS,"5,873 (0.02‰)",1.89 ± 0.02,"6,432 (0.02‰)",1.91 ± 0.02,"6,382 (0.02‰)",1.72 ± 0.02
HD,830 (0.00‰),0.27 ± 0.01,883 (0.00‰),0.27 ± 0.01,978 (0.00‰),0.28 ± 0.01
Census Region: Midwest,,,,,,
NDD,"243,515 (0.74‰)",64.58 ± 0.13,"310,150 (0.92‰)",75.52 ± 0.14,"341,299 (1.01‰)",77.87 ± 0.13
Dementia,"209,824 (0.63‰)",55.27 ± 0.12,"270,622 (0.81‰)",65.38 ± 0.13,"293,315 (0.86‰)",66.55 ± 0.12
AD,"96,668 (0.29‰)",25.57 ± 0.08,"107,379 (0.32‰)",26.09 ± 0.08,"139,842 (0.41‰)",31.84 ± 0.09
PD,"25,730 (0.08‰)",7.09 ± 0.04,"30,710 (0.09‰)",7.89 ± 0.05,"39,738 (0.12‰)",9.40 ± 0.05
VD,"10,374 (0.03‰)",2.74 ± 0.03,"14,389 (0.04‰)",3.49 ± 0.03,"20,281 (0.06‰)",4.60 ± 0.03
ALS,"7,961 (0.02‰)",2.22 ± 0.03,"8,818 (0.03‰)",2.25 ± 0.02,"8,246 (0.02‰)",1.92 ± 0.02
HD,"1,226 (0.00‰)",0.34 ± 0.01,"1,403 (0.00‰)",0.37 ± 0.01,"1,549 (0.00‰)",0.39 ± 0.01
Census Region: South,,,,,,
NDD,"359,114 (0.65‰)",66.06 ± 0.11,"479,726 (0.82‰)",76.46 ± 0.11,"519,147 (0.84‰)",72.20 ± 0.10
Dementia,"313,385 (0.56‰)",57.77 ± 0.10,"422,634 (0.72‰)",67.38 ± 0.10,"442,825 (0.72‰)",61.66 ± 0.09
AD,"141,093 (0.25‰)",26.04 ± 0.07,"168,310 (0.29‰)",26.91 ± 0.07,"241,026 (0.39‰)",33.62 ± 0.07
PD,"35,139 (0.06‰)",6.48 ± 0.03,"44,721 (0.08‰)",7.23 ± 0.03,"64,079 (0.10‰)",8.93 ± 0.04
VD,"15,510 (0.03‰)",2.85 ± 0.02,"21,526 (0.04‰)",3.42 ± 0.02,"27,958 (0.05‰)",3.87 ± 0.02
ALS,"10,590 (0.02‰)",1.81 ± 0.02,"12,371 (0.02‰)",1.86 ± 0.02,"12,243 (0.02‰)",1.60 ± 0.01
HD,"1,427 (0.00‰)",0.24 ± 0.01,"1,743 (0.00‰)",0.27 ± 0.01,"1,934 (0.00‰)",0.27 ± 0.01
Census Region: West,,,,,,
NDD,"198,561 (0.56‰)",60.01 ± 0.14,"256,052 (0.69‰)",66.30 ± 0.13,"287,898 (0.74‰)",65.70 ± 0.12
Dementia,"169,784 (0.48‰)",51.23 ± 0.12,"220,562 (0.59‰)",56.90 ± 0.12,"242,800 (0.62‰)",55.29 ± 0.11
AD,"95,378 (0.27‰)",28.83 ± 0.09,"118,835 (0.32‰)",30.73 ± 0.09,"157,295 (0.40‰)",35.86 ± 0.09
