Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
ALS,"7,476 (0.02‰)",2.03 ± 0.02,"8,478 (0.02‰)",2.03 ± 0.02,"8,273 (0.02‰)",1.74 ± 0.02
HD,"1,091 (0.00‰)",0.29 ± 0.01,"1,263 (0.00‰)",0.31 ± 0.01,"1,418 (0.00‰)",0.31 ± 0.01
Land Use Cluster: 0,,,,,,
NDD,"365,857 (0.64‰)",64.10 ± 0.11,"476,992 (0.80‰)",73.30 ± 0.11,"534,803 (0.86‰)",73.01 ± 0.10
Dementia,"316,136 (0.55‰)",55.40 ± 0.10,"416,362 (0.70‰)",63.91 ± 0.10,"456,655 (0.74‰)",62.36 ± 0.09
AD,"160,605 (0.28‰)",28.19 ± 0.07,"191,142 (0.32‰)",29.41 ± 0.07,"259,499 (0.42‰)",35.49 ± 0.07
PD,"37,955 (0.07‰)",6.74 ± 0.03,"46,933 (0.08‰)",7.38 ± 0.03,"64,690 (0.10‰)",8.91 ± 0.04
VD,"18,897 (0.03‰)",3.31 ± 0.02,"25,818 (0.04‰)",3.96 ± 0.02,"31,706 (0.05‰)",4.32 ± 0.02
ALS,"11,766 (0.02‰)",1.96 ± 0.02,"13,697 (0.02‰)",2.01 ± 0.02,"13,458 (0.02‰)",1.74 ± 0.02
HD,"1,756 (0.00‰)",0.29 ± 0.01,"2,005 (0.00‰)",0.30 ± 0.01,"2,206 (0.00‰)",0.30 ± 0.01
Land Use Cluster: 1,,,,,,
NDD,"180,210 (0.72‰)",58.44 ± 0.14,"234,326 (0.90‰)",66.60 ± 0.14,"253,428 (0.94‰)",64.33 ± 0.13
Dementia,"155,430 (0.62‰)",50.20 ± 0.13,"204,430 (0.79‰)",57.72 ± 0.13,"215,525 (0.80‰)",54.42 ± 0.12
AD,"66,632 (0.27‰)",21.58 ± 0.08,"74,788 (0.29‰)",21.21 ± 0.08,"98,866 (0.37‰)",25.06 ± 0.08
PD,"19,074 (0.08‰)",6.32 ± 0.05,"23,448 (0.09‰)",6.94 ± 0.05,"31,629 (0.12‰)",8.24 ± 0.05
VD,"8,416 (0.03‰)",2.72 ± 0.03,"11,378 (0.04‰)",3.22 ± 0.03,"17,423 (0.06‰)",4.39 ± 0.03
ALS,"5,706 (0.02‰)",1.92 ± 0.03,"6,448 (0.02‰)",1.93 ± 0.02,"6,274 (0.02‰)",1.67 ± 0.02
HD,643 (0.00‰),0.22 ± 0.01,804 (0.00‰),0.26 ± 0.01,845 (0.00‰),0.25 ± 0.01
Land Use Cluster: 2,,,,,,
NDD,"181,388 (0.71‰)",64.84 ± 0.15,"234,875 (0.89‰)",76.16 ± 0.16,"265,823 (0.98‰)",79.38 ± 0.15
Dementia,"156,453 (0.61‰)",55.64 ± 0.14,"204,908 (0.78‰)",66.07 ± 0.15,"228,254 (0.84‰)",67.91 ± 0.14
AD,"78,049 (0.30‰)",27.85 ± 0.10,"87,667 (0.33‰)",28.40 ± 0.10,"114,594 (0.42‰)",34.21 ± 0.10
PD,"19,055 (0.07‰)",7.04 ± 0.05,"23,401 (0.09‰)",7.92 ± 0.05,"31,282 (0.12‰)",9.60 ± 0.05
VD,"7,309 (0.03‰)",2.61 ± 0.03,"9,760 (0.04‰)",3.15 ± 0.03,"13,886 (0.05‰)",4.12 ± 0.04
ALS,"5,880 (0.02‰)",2.16 ± 0.03,"6,566 (0.02‰)",2.17 ± 0.03,"6,287 (0.02‰)",1.87 ± 0.02
HD,946 (0.00‰),0.34 ± 0.01,"1,068 (0.00‰)",0.37 ± 0.01,"1,237 (0.00‰)",0.39 ± 0.01
Land Use Cluster: 3,,,,,,
NDD,"247,495 (0.56‰)",56.54 ± 0.11,"330,501 (0.72‰)",67.82 ± 0.12,"356,965 (0.75‰)",66.92 ± 0.11
Dementia,"213,884 (0.48‰)",48.62 ± 0.11,"289,873 (0.63‰)",59.08 ± 0.11,"305,907 (0.64‰)",57.03 ± 0.10
AD,"86,651 (0.20‰)",19.76 ± 0.07,"103,820 (0.22‰)",21.29 ± 0.07,"142,259 (0.30‰)",26.64 ± 0.07
PD,"25,780 (0.06‰)",6.11 ± 0.04,"31,617 (0.07‰)",6.86 ± 0.04,"42,313 (0.09‰)",8.27 ± 0.04
VD,"11,557 (0.03‰)",2.63 ± 0.02,"18,006 (0.04‰)",3.68 ± 0.03,"22,430 (0.05‰)",4.18 ± 0.03
ALS,"7,831 (0.02‰)",1.81 ± 0.02,"9,011 (0.02‰)",1.88 ± 0.02,"8,745 (0.02‰)",1.62 ± 0.02
HD,"1,064 (0.00‰)",0.24 ± 0.01,"1,189 (0.00‰)",0.24 ± 0.01,"1,353 (0.00‰)",0.26 ± 0.01
Sex: Female,,,,,,
NDD,"641,679 (0.83‰)",62.55 ± 0.08,"831,442 (1.04‰)",73.41 ± 0.08,"901,681 (1.09‰)",73.62 ± 0.08
Sex: Male,,,,,,
NDD,"333,310 (0.45‰)",57.00 ± 0.10,"445,296 (0.57‰)",65.61 ± 0.10,"509,362 (0.63‰)",64.99 ± 0.09
