Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
Amyotrophic Lateral Sclerosis (ALS),"31,083 (0.02‰)",1.95 ± 0.01,"35,591 (0.02‰)",1.99 ± 0.01,"34,672 (0.02‰)",1.72 ± 0.01
Census Region: Northeast,,,,,,
Neurodegenerative Disease (NDD),"169,720 (0.62‰)",50.03 ± 0.12,"225,925 (0.81‰)",61.27 ± 0.13,"257,884 (0.92‰)",65.43 ± 0.13
Unspecified Dementia (UD),"81,378 (0.30‰)",23.67 ± 0.08,"126,670 (0.45‰)",33.83 ± 0.10,"134,429 (0.48‰)",33.68 ± 0.09
Alzheimer's Disease (AD),"57,710 (0.21‰)",16.92 ± 0.07,"61,772 (0.22‰)",16.70 ± 0.07,"75,747 (0.27‰)",19.15 ± 0.07
Parkinson's Disease (PD),"18,582 (0.07‰)",5.74 ± 0.04,"22,102 (0.08‰)",6.41 ± 0.04,"28,335 (0.10‰)",7.60 ± 0.05
Vascular Dementia (VD),"6,177 (0.02‰)",1.81 ± 0.02,"8,949 (0.03‰)",2.42 ± 0.03,"12,991 (0.05‰)",3.29 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"5,873 (0.02‰)",1.89 ± 0.02,"6,432 (0.02‰)",1.91 ± 0.02,"6,382 (0.02‰)",1.72 ± 0.02
Census Region: Midwest,,,,,,
Neurodegenerative Disease (NDD),"243,515 (0.74‰)",64.58 ± 0.13,"310,150 (0.92‰)",75.52 ± 0.14,"341,299 (1.01‰)",77.87 ± 0.13
Unspecified Dementia (UD),"102,782 (0.31‰)",26.96 ± 0.08,"148,854 (0.44‰)",35.81 ± 0.09,"133,192 (0.39‰)",30.11 ± 0.08
Alzheimer's Disease (AD),"96,668 (0.29‰)",25.57 ± 0.08,"107,379 (0.32‰)",26.09 ± 0.08,"139,842 (0.41‰)",31.84 ± 0.09
Parkinson's Disease (PD),"25,730 (0.08‰)",7.09 ± 0.04,"30,710 (0.09‰)",7.89 ± 0.05,"39,738 (0.12‰)",9.40 ± 0.05
Vascular Dementia (VD),"10,374 (0.03‰)",2.74 ± 0.03,"14,389 (0.04‰)",3.49 ± 0.03,"20,281 (0.06‰)",4.60 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"7,961 (0.02‰)",2.22 ± 0.03,"8,818 (0.03‰)",2.25 ± 0.02,"8,246 (0.02‰)",1.92 ± 0.02
Census Region: South,,,,,,
Neurodegenerative Disease (NDD),"359,114 (0.65‰)",66.06 ± 0.11,"479,726 (0.82‰)",76.46 ± 0.11,"519,147 (0.84‰)",72.20 ± 0.10
Unspecified Dementia (UD),"156,782 (0.28‰)",28.87 ± 0.07,"232,798 (0.40‰)",37.04 ± 0.08,"173,841 (0.28‰)",24.17 ± 0.06
Alzheimer's Disease (AD),"141,093 (0.25‰)",26.04 ± 0.07,"168,310 (0.29‰)",26.91 ± 0.07,"241,026 (0.39‰)",33.62 ± 0.07
Parkinson's Disease (PD),"35,139 (0.06‰)",6.48 ± 0.03,"44,721 (0.08‰)",7.23 ± 0.03,"64,079 (0.10‰)",8.93 ± 0.04
Vascular Dementia (VD),"15,510 (0.03‰)",2.85 ± 0.02,"21,526 (0.04‰)",3.42 ± 0.02,"27,958 (0.05‰)",3.87 ± 0.02
Amyotrophic Lateral Sclerosis (ALS),"10,590 (0.02‰)",1.81 ± 0.02,"12,371 (0.02‰)",1.86 ± 0.02,"12,243 (0.02‰)",1.60 ± 0.01
Census Region: West,,,,,,
Neurodegenerative Disease (NDD),"198,561 (0.56‰)",60.01 ± 0.14,"256,052 (0.69‰)",66.30 ± 0.13,"287,898 (0.74‰)",65.70 ± 0.12
Unspecified Dementia (UD),"60,507 (0.17‰)",18.21 ± 0.07,"81,899 (0.22‰)",21.05 ± 0.07,"61,675 (0.16‰)",14.02 ± 0.06
Alzheimer's Disease (AD),"95,378 (0.27‰)",28.83 ± 0.09,"118,835 (0.32‰)",30.73 ± 0.09,"157,295 (0.40‰)",35.86 ± 0.09
Parkinson's Disease (PD),"22,118 (0.06‰)",6.85 ± 0.05,"27,520 (0.07‰)",7.40 ± 0.05,"37,297 (0.10‰)",8.69 ± 0.05
Vascular Dementia (VD),"13,899 (0.04‰)",4.19 ± 0.04,"19,828 (0.05‰)",5.11 ± 0.04,"23,830 (0.06‰)",5.41 ± 0.04
Amyotrophic Lateral Sclerosis (ALS),"6,659 (0.02‰)",1.94 ± 0.02,"7,970 (0.02‰)",2.01 ± 0.02,"7,801 (0.02‰)",1.71 ± 0.02
Climate National,,,,,,
Neurodegenerative Disease (NDD),"970,910 (0.64‰)",61.06 ± 0.06,"1,271,853 (0.81‰)",71.00 ± 0.06,"1,406,228 (0.86‰)",70.76 ± 0.06
Unspecified Dementia (UD),"401,449 (0.27‰)",25.11 ± 0.04,"590,221 (0.37‰)",32.70 ± 0.04,"503,137 (0.31‰)",25.16 ± 0.04
Alzheimer's Disease (AD),"390,849 (0.26‰)",24.57 ± 0.04,"456,296 (0.29‰)",25.47 ± 0.04,"613,910 (0.38‰)",30.89 ± 0.04
Parkinson's Disease (PD),"101,569 (0.07‰)",6.55 ± 0.02,"125,053 (0.08‰)",7.25 ± 0.02,"169,449 (0.10‰)",8.73 ± 0.02
Vascular Dementia (VD),"45,960 (0.03‰)",2.89 ± 0.01,"64,692 (0.04‰)",3.60 ± 0.01,"85,060 (0.05‰)",4.26 ± 0.01
Amyotrophic Lateral Sclerosis (ALS),"31,083 (0.02‰)",1.95 ± 0.01,"35,591 (0.02‰)",1.99 ± 0.01,"34,672 (0.02‰)",1.72 ± 0.01
Köppen-Geiger Climate Zone: Dry,,,,,,
Neurodegenerative Disease (NDD),"96,196 (0.57‰)",57.69 ± 0.19,"121,546 (0.67‰)",61.53 ± 0.18,"133,264 (0.70‰)",58.42 ± 0.16
Unspecified Dementia (UD),"36,728 (0.22‰)",22.00 ± 0.11,"47,408 (0.26‰)",23.85 ± 0.11,"33,836 (0.18‰)",14.75 ± 0.08
Alzheimer's Disease (AD),"40,899 (0.24‰)",24.55 ± 0.12,"50,042 (0.28‰)",25.32 ± 0.11,"68,843 (0.36‰)",30.15 ± 0.12
Parkinson's Disease (PD),"11,214 (0.07‰)",6.79 ± 0.06,"14,137 (0.08‰)",7.35 ± 0.06,"18,739 (0.10‰)",8.37 ± 0.06
Vascular Dementia (VD),"4,357 (0.03‰)",2.61 ± 0.04,"6,387 (0.04‰)",3.21 ± 0.04,"8,330 (0.04‰)",3.63 ± 0.04
Amyotrophic Lateral Sclerosis (ALS),"2,998 (0.02‰)",1.74 ± 0.03,"3,572 (0.02‰)",1.80 ± 0.03,"3,516 (0.02‰)",1.53 ± 0.03
Köppen-Geiger Climate Zone: Temperate,,,,,,
Neurodegenerative Disease (NDD),"599,375 (0.62‰)",61.13 ± 0.08,"796,604 (0.79‰)",71.65 ± 0.08,"875,012 (0.84‰)",70.24 ± 0.08
Unspecified Dementia (UD),"242,367 (0.25‰)",24.63 ± 0.05,"363,251 (0.36‰)",32.49 ± 0.05,"294,629 (0.28‰)",23.55 ± 0.04
Alzheimer's Disease (AD),"246,990 (0.26‰)",25.21 ± 0.05,"293,192 (0.29‰)",26.38 ± 0.05,"399,635 (0.38‰)",32.10 ± 0.05
Parkinson's Disease (PD),"61,442 (0.06‰)",6.39 ± 0.03,"76,619 (0.08‰)",7.12 ± 0.03,"106,288 (0.10‰)",8.69 ± 0.03
Vascular Dementia (VD),"29,809 (0.03‰)",3.04 ± 0.02,"41,728 (0.04‰)",3.74 ± 0.02,"52,952 (0.05‰)",4.23 ± 0.02
Amyotrophic Lateral Sclerosis (ALS),"18,767 (0.02‰)",1.86 ± 0.01,"21,814 (0.02‰)",1.92 ± 0.01,"21,508 (0.02‰)",1.67 ± 0.01
Köppen-Geiger Climate Zone: Continental,,,,,,
Neurodegenerative Disease (NDD),"275,339 (0.72‰)",62.17 ± 0.12,"353,703 (0.91‰)",73.36 ± 0.12,"397,952 (1.02‰)",77.44 ± 0.12
Unspecified Dementia (UD),"122,354 (0.32‰)",27.29 ± 0.08,"179,562 (0.46‰)",36.75 ± 0.09,"174,672 (0.45‰)",33.65 ± 0.08
Alzheimer's Disease (AD),"102,960 (0.27‰)",23.17 ± 0.07,"113,062 (0.29‰)",23.41 ± 0.07,"145,432 (0.37‰)",28.27 ± 0.07
Parkinson's Disease (PD),"28,913 (0.08‰)",6.81 ± 0.04,"34,297 (0.09‰)",7.54 ± 0.04,"44,422 (0.11‰)",8.99 ± 0.04
Vascular Dementia (VD),"11,794 (0.03‰)",2.66 ± 0.02,"16,577 (0.04‰)",3.43 ± 0.03,"23,778 (0.06‰)",4.61 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"9,318 (0.02‰)",2.24 ± 0.02,"10,205 (0.03‰)",2.24 ± 0.02,"9,648 (0.02‰)",1.92 ± 0.02
DOE National,,,,,,
Neurodegenerative Disease (NDD),"970,910 (0.64‰)",61.06 ± 0.06,"1,271,853 (0.81‰)",71.00 ± 0.06,"1,406,228 (0.86‰)",70.76 ± 0.06
Unspecified Dementia (UD),"401,449 (0.27‰)",25.11 ± 0.04,"590,221 (0.37‰)",32.70 ± 0.04,"503,137 (0.31‰)",25.16 ± 0.04
Alzheimer's Disease (AD),"390,849 (0.26‰)",24.57 ± 0.04,"456,296 (0.29‰)",25.47 ± 0.04,"613,910 (0.38‰)",30.89 ± 0.04
Parkinson's Disease (PD),"101,569 (0.07‰)",6.55 ± 0.02,"125,053 (0.08‰)",7.25 ± 0.02,"169,449 (0.10‰)",8.73 ± 0.02
Vascular Dementia (VD),"45,960 (0.03‰)",2.89 ± 0.01,"64,692 (0.04‰)",3.60 ± 0.01,"85,060 (0.05‰)",4.26 ± 0.01
Amyotrophic Lateral Sclerosis (ALS),"31,083 (0.02‰)",1.95 ± 0.01,"35,591 (0.02‰)",1.99 ± 0.01,"34,672 (0.02‰)",1.72 ± 0.01
DOE Climate Zone: Hot,,,,,,
Neurodegenerative Disease (NDD),"138,112 (0.62‰)",58.50 ± 0.16,"179,850 (0.75‰)",64.19 ± 0.15,"188,945 (0.74‰)",57.84 ± 0.13
Unspecified Dementia (UD),"59,089 (0.27‰)",25.01 ± 0.10,"83,168 (0.35‰)",29.53 ± 0.10,"55,652 (0.22‰)",16.95 ± 0.07
Alzheimer's Disease (AD),"53,439 (0.24‰)",22.66 ± 0.10,"63,707 (0.27‰)",22.74 ± 0.09,"89,656 (0.35‰)",27.43 ± 0.09
Parkinson's Disease (PD),"15,392 (0.07‰)",6.56 ± 0.05,"19,294 (0.08‰)",7.05 ± 0.05,"27,354 (0.11‰)",8.49 ± 0.05
Vascular Dementia (VD),"6,049 (0.03‰)",2.56 ± 0.03,"8,963 (0.04‰)",3.19 ± 0.03,"11,444 (0.04‰)",3.48 ± 0.03
Amyotrophic Lateral Sclerosis (ALS),"4,143 (0.02‰)",1.71 ± 0.03,"4,718 (0.02‰)",1.68 ± 0.02,"4,839 (0.02‰)",1.48 ± 0.02
DOE Climate Zone: Warm,,,,,,
