Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,G20_G30_G12.2_F01_F03,NDD,Sex,Female,Female,641679,772431266,62.5496,0.0789,62.3967,62.7029,62.55 ± 0.08
2006-2010,G20_G30_G12.2_F01_F03,NDD,Sex,Male,Male,333310,746790822,57.0012,0.0994,56.8077,57.1952,57.00 ± 0.10
2011-2015,G20_G30_G12.2_F01_F03,NDD,Sex,Female,Female,831442,803310400,73.4099,0.0819,73.2522,73.5679,73.41 ± 0.08
2011-2015,G20_G30_G12.2_F01_F03,NDD,Sex,Male,Male,445296,778600252,65.606,0.0989,65.4133,65.7991,65.61 ± 0.10
2016-2020,G20_G30_G12.2_F01_F03,NDD,Sex,Female,Female,901681,829204131,73.6222,0.0785,73.4703,73.7743,73.62 ± 0.08
2016-2020,G20_G30_G12.2_F01_F03,NDD,Sex,Male,Male,509362,804524286,64.9886,0.0917,64.8102,65.1674,64.99 ± 0.09
