Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C22,Liver Cancer,Cluster_k4,2,Medium EQI,25591,398153791,5.631,0.0354,5.5622,5.7004,5.63 ± 0.04
2006-2010,C22,Liver Cancer,Cluster_k4,3,High EQI,54130,944656562,5.5539,0.0241,5.5072,5.6009,5.55 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k4,National,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k5,0,Very Low EQI,1931,29434252,6.1497,0.1406,5.8785,6.4303,6.15 ± 0.14
2006-2010,C22,Liver Cancer,Cluster_k5,1,Low EQI,1320,20495378,5.2108,0.1446,4.9335,5.4997,5.21 ± 0.14
2006-2010,C22,Liver Cancer,Cluster_k5,2,Medium EQI,25432,393303442,5.6617,0.0357,5.5923,5.7317,5.66 ± 0.04
2006-2010,C22,Liver Cancer,Cluster_k5,3,High EQI,9689,148681280,5.7411,0.0588,5.6274,5.8566,5.74 ± 0.06
2006-2010,C22,Liver Cancer,Cluster_k5,4,Very High EQI,53025,927043681,5.544,0.0243,5.4969,5.5914,5.54 ± 0.02
2006-2010,C22,Liver Cancer,Cluster_k5,National,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C25,Pancreatic Cancer,Cluster_k3,0,Low EQI,9745,81106909,10.3442,0.1056,10.1399,10.5517,10.34 ± 0.11
2006-2010,C25,Pancreatic Cancer,Cluster_k3,1,Medium EQI,54305,428983518,11.1526,0.0481,11.059,11.2468,11.15 ± 0.05
2006-2010,C25,Pancreatic Cancer,Cluster_k3,2,High EQI,111082,1008867606,10.8428,0.0328,10.7791,10.9068,10.84 ± 0.03
2006-2010,C25,Pancreatic Cancer,Cluster_k3,National,National,175132,1518958033,10.9018,0.0262,10.8508,10.953,10.90 ± 0.03
2006-2010,C25,Pancreatic Cancer,Cluster_k4,0,Very Low EQI,6195,51121576,10.7049,0.1368,10.44,10.9749,10.70 ± 0.14
2006-2010,C25,Pancreatic Cancer,Cluster_k4,1,Low EQI,14682,125026104,10.2379,0.085,10.0729,10.4048,10.24 ± 0.09
2006-2010,C25,Pancreatic Cancer,Cluster_k4,2,Medium EQI,50549,398153791,11.1909,0.05,11.0936,11.2889,11.19 ± 0.05
2006-2010,C25,Pancreatic Cancer,Cluster_k4,3,High EQI,103706,944656562,10.8882,0.0341,10.822,10.9546,10.89 ± 0.03
2006-2010,C25,Pancreatic Cancer,Cluster_k4,National,National,175132,1518958033,10.9018,0.0262,10.8508,10.953,10.90 ± 0.03
2006-2010,C25,Pancreatic Cancer,Cluster_k5,0,Very Low EQI,3158,29434252,10.2014,0.1823,9.8486,10.5635,10.20 ± 0.18
2006-2010,C25,Pancreatic Cancer,Cluster_k5,1,Low EQI,2651,20495378,10.5516,0.2064,10.1538,10.9611,10.55 ± 0.21
2006-2010,C25,Pancreatic Cancer,Cluster_k5,2,Medium EQI,50041,393303442,11.2113,0.0503,11.1132,11.3099,11.21 ± 0.05
