Model	Lag	Q1	Q2	Q3	Q4	Q5
Sex(Male)
EQI	5	0.0	4.28(-1.18,9.91)	9.09(4.15,14.19)***	11.30(6.76,16.17)***	16.71(12.13,21.26)***
EQI	10	0.0	4.77(-0.72,10.33)	12.50(7.51,17.35)***	14.75(10.20,19.24)***	17.16(12.75,21.66)***
EQI	15	0.0	-0.04(-4.83,4.98)	8.88(4.66,13.20)***	9.65(5.46,13.74)***	11.65(7.49,15.73)***
Air	5	0.0	2.88(-3.34,9.06)	10.13(4.61,15.59)***	10.16(4.90,15.35)***	15.42(9.98,20.56)***
Air	10	0.0	0.33(-6.00,6.70)	12.89(7.40,18.30)***	14.05(9.11,19.17)***	18.17(12.97,23.16)***
Air	15	0.0	8.01(2.14,13.74)**	10.24(5.07,15.38)***	12.68(7.82,17.62)***	14.23(9.38,19.12)***
Water	5	0.0	-0.27(-5.37,4.77)	1.94(-2.84,6.64)	-0.09(-4.87,4.55)	2.69(-2.27,7.55)
Water	10	0.0	1.03(-3.70,5.91)	2.63(-2.23,7.19)	0.67(-3.94,5.44)	2.14(-2.35,6.88)
Water	15	0.0	-0.69(-5.11,3.59)	1.79(-2.38,5.90)	2.99(-1.10,7.18)	3.67(-0.67,8.00)
Land	5	0.0	3.31(-0.63,7.33)	3.81(-0.15,7.70)	0.38(-4.04,4.92)	3.12(-1.63,7.61)
Land	10	0.0	2.46(-1.53,6.47)	2.84(-1.12,6.86)	0.19(-4.35,4.55)	2.47(-1.96,6.85)
Land	15	0.0	4.03(0.44,7.57)*	2.25(-1.27,5.87)	-0.95(-4.85,3.04)	2.65(-1.38,6.64)
Built	5	0.0	6.63(2.12,11.01)**	4.80(0.53,9.16)*	7.03(2.80,11.38)**	10.63(6.52,14.74)***
Built	10	0.0	10.24(5.81,14.64)***	7.88(3.45,12.38)**	8.51(4.09,12.75)***	10.94(6.53,15.25)***
Built	15	0.0	7.22(3.29,11.16)***	5.00(1.07,8.89)*	6.26(2.43,10.18)**	6.73(2.87,10.60)***
Social	5	0.0	6.26(1.24,11.46)*	1.09(-3.56,5.72)	1.05(-3.40,5.52)	3.51(-0.87,7.74)
Social	10	0.0	4.90(-0.40,10.11)	2.46(-2.13,6.97)	0.97(-3.47,5.37)	1.85(-2.43,5.99)
Social	15	0.0	6.08(1.33,10.57)**	2.08(-2.22,6.25)	0.30(-3.68,4.20)	1.47(-2.39,5.22)
Sex(Female)
EQI	5	0.0	3.60(-1.13,8.26)	9.84(5.50,14.07)***	17.01(12.78,21.00)***	25.71(21.64,29.53)***
EQI	10	0.0	5.02(0.59,9.62)*	12.06(7.98,16.21)***	19.56(15.57,23.53)***	24.67(20.86,28.51)***
EQI	15	0.0	8.81(4.58,12.95)***	13.65(9.77,17.45)***	17.80(14.04,21.39)***	21.06(17.54,24.69)***
Air	5	0.0	1.44(-3.80,7.05)	14.32(9.44,19.06)***	18.53(14.04,23.30)***	22.78(18.22,27.60)***
Air	10	0.0	-0.14(-5.36,5.18)	12.55(7.85,17.21)***	18.28(13.82,22.60)***	21.35(16.85,25.81)***
Air	15	0.0	3.06(-1.92,8.12)	13.06(8.61,17.50)***	17.08(12.78,21.40)***	18.60(14.24,22.85)***
Water	5	0.0	-2.14(-5.95,1.74)	1.23(-2.49,4.92)	1.67(-2.04,5.26)	2.64(-0.90,6.28)
Water	10	0.0	-4.16(-7.78,-0.47)*	1.76(-1.75,5.37)	1.52(-1.99,5.00)	3.16(-0.34,6.63)
Water	15	0.0	-1.84(-4.98,1.38)	1.98(-1.03,5.03)	1.02(-2.03,4.09)	1.67(-1.33,4.71)
Land	5	0.0	1.26(-1.90,4.60)	3.04(-0.17,6.27)	0.31(-3.37,3.90)	2.91(-0.79,6.60)
Land	10	0.0	2.28(-0.87,5.41)	2.34(-0.85,5.46)	0.03(-3.35,3.49)	3.57(0.12,7.11)*
Land	15	0.0	2.72(-0.15,5.48)	1.36(-1.42,4.21)	-0.75(-3.88,2.30)	2.66(-0.55,5.77)
Built	5	0.0	10.08(6.56,13.68)***	12.19(8.72,15.67)***	13.62(10.24,16.90)***	15.69(12.23,19.07)***
Built	10	0.0	9.61(6.08,13.14)***	9.84(6.38,13.26)***	11.18(7.75,14.58)***	13.23(9.94,16.51)***
Built	15	0.0	9.98(6.69,13.08)***	9.15(6.01,12.26)***	10.24(7.15,13.31)***	9.63(6.71,12.70)***
Social	5	0.0	1.64(-2.53,5.97)	1.86(-1.93,5.77)	1.46(-2.30,5.29)	3.23(-0.38,6.79)
Social	10	0.0	4.39(0.23,8.54)*	0.70(-3.04,4.42)	2.01(-1.74,5.65)	3.31(-0.08,6.82)
Social	15	0.0	5.16(1.31,8.87)*	3.66(0.15,7.07)*	3.77(0.29,7.14)*	4.66(1.26,7.90)**
Race(White)
EQI	5	0.0	5.00(1.15,8.78)*	7.57(3.80,11.21)***	8.48(4.76,12.15)***	13.60(10.03,17.25)***
EQI	10	0.0	6.55(2.30,10.69)**	11.81(8.22,15.58)***	12.23(8.65,15.84)***	14.83(11.11,18.41)***
EQI	15	0.0	4.80(0.82,8.79)*	8.53(4.89,12.25)***	8.48(4.88,12.01)***	9.96(6.37,13.56)***
Air	5	0.0	4.54(-0.50,9.94)	9.07(4.49,13.54)***	10.02(5.63,14.50)***	13.24(8.73,17.70)***
Air	10	0.0	2.48(-2.74,7.51)	8.33(3.65,12.78)***	11.51(7.00,15.91)***	13.33(8.74,17.85)***
Air	15	0.0	5.62(0.73,10.61)*	9.12(4.53,13.67)***	11.25(6.94,15.58)***	10.71(6.43,15.12)***
Water	5	0.0	1.75(-1.85,5.36)	1.34(-2.08,4.70)	0.22(-3.07,3.67)	2.33(-1.17,5.73)
Water	10	0.0	1.32(-2.39,4.94)	2.32(-1.22,5.86)	1.68(-1.73,5.02)	3.79(0.23,7.47)*
Water	15	0.0	2.18(-1.26,5.74)	2.87(-0.44,6.28)	3.42(-0.02,6.82)	4.19(0.67,7.69)*
Land	5	0.0	3.08(0.33,5.94)*	3.38(0.61,6.25)*	1.06(-2.07,4.28)	3.12(-0.26,6.45)
Land	10	0.0	2.66(-0.13,5.56)	2.19(-0.76,5.12)	1.25(-2.03,4.73)	3.18(-0.14,6.65)
Land	15	0.0	3.78(1.04,6.49)*	1.57(-1.25,4.38)	-0.69(-3.79,2.36)	2.85(-0.53,6.14)
Built	5	0.0	4.70(1.55,7.82)**	4.39(1.21,7.49)**	3.83(0.72,6.91)*	4.78(1.60,8.00)**
Built	10	0.0	8.22(4.87,11.36)***	5.21(1.81,8.41)**	4.98(1.75,8.18)**	5.52(2.29,8.73)**
Built	15	0.0	5.92(2.88,8.89)***	3.40(0.42,6.50)*	3.96(0.94,6.94)*	1.83(-1.11,4.81)
Social	5	0.0	1.95(-1.93,5.48)	3.79(0.47,7.13)*	3.07(-0.28,6.39)	6.82(3.56,9.99)***
Social	10	0.0	4.42(0.53,8.40)*	3.92(0.51,7.47)*	2.92(-0.57,6.40)	4.80(1.34,8.05)**
Social	15	0.0	5.68(1.83,9.48)**	5.18(1.59,8.55)**	3.47(0.05,6.89)*	5.29(1.99,8.57)**
Race(Black)
EQI	5	0.0	-8.45(-17.23,0.27)	-3.83(-12.25,4.27)	4.66(-3.12,12.34)	23.94(16.01,31.78)***
EQI	10	0.0	-9.54(-17.54,-1.53)*	-3.50(-11.32,4.38)	5.25(-2.33,12.83)	25.82(18.28,33.21)***
EQI	15	0.0	-11.27(-19.55,-2.85)**	-3.22(-10.77,4.11)	4.47(-2.80,11.65)	28.83(21.63,35.90)***
Air	5	0.0	-13.24(-21.81,-4.58)**	-10.34(-18.44,-1.99)*	-0.22(-7.71,7.33)	37.30(29.85,44.95)***
Air	10	0.0	-13.94(-22.68,-5.33)**	-9.00(-16.86,-0.97)*	0.14(-7.47,7.54)	37.95(30.36,45.39)***
Air	15	0.0	-14.73(-22.94,-6.42)***	-9.92(-17.52,-2.34)**	3.70(-3.55,10.91)	38.46(31.64,45.52)***
Water	5	0.0	-2.32(-10.95,6.43)	-0.28(-8.38,7.79)	-0.06(-8.24,8.08)	0.58(-7.70,9.14)
Water	10	0.0	-2.80(-11.01,5.36)	-0.96(-8.89,7.19)	1.38(-6.74,9.33)	-0.34(-8.57,7.89)
Water	15	0.0	-1.39(-9.04,6.18)	-1.35(-9.41,6.39)	0.61(-7.01,8.43)	0.98(-6.99,8.78)
Land	5	0.0	1.16(-6.60,8.95)	-3.94(-11.40,3.91)	-0.99(-9.07,7.25)	2.53(-5.40,10.61)
Land	10	0.0	1.47(-6.38,9.30)	-6.16(-13.60,1.38)	-0.67(-8.49,7.03)	3.64(-4.19,11.46)
Land	15	0.0	-0.02(-7.01,7.22)	-6.83(-14.04,0.28)	1.44(-6.39,9.08)	5.31(-2.30,12.71)
Built	5	0.0	-6.85(-14.38,0.84)	0.15(-7.77,8.08)	13.45(5.87,21.06)***	19.38(11.78,26.72)***
Built	10	0.0	-5.03(-12.71,2.54)	3.06(-4.65,10.61)	13.14(5.90,20.25)***	19.67(12.22,26.95)***
Built	15	0.0	-4.60(-11.86,2.46)	3.46(-3.97,10.57)	13.25(6.54,19.74)***	18.69(11.81,25.61)***
Social	5	0.0	2.45(-6.08,10.91)	-0.82(-8.64,7.15)	8.76(0.90,16.30)*	-6.00(-13.32,1.17)
Social	10	0.0	2.11(-6.20,10.15)	-0.84(-8.51,6.80)	7.79(0.70,15.03)*	-5.85(-13.06,1.50)
Social	15	0.0	3.36(-4.76,11.55)	-0.88(-8.28,6.63)	5.53(-1.68,12.62)	-2.69(-9.38,4.25)
Race(Asian)
EQI	5	0.0	-1.24(-6.72,4.14)	2.32(-2.71,7.25)	5.13(0.10,10.03)*	20.78(15.98,25.54)***
EQI	10	0.0	-1.39(-7.02,4.27)	1.98(-3.30,7.07)	5.81(0.84,10.76)*	24.83(19.92,29.65)***
EQI	15	0.0	-2.11(-7.84,3.30)	2.83(-2.27,8.07)	7.99(3.13,12.96)***	29.36(24.80,33.98)***
Air	5	0.0	-3.55(-9.82,2.78)	0.48(-4.87,5.80)	3.10(-2.04,8.12)	19.59(14.37,24.93)***
Air	10	0.0	-3.95(-10.32,2.65)	-0.23(-6.13,5.36)	4.85(-0.66,10.00)	21.54(16.05,26.90)***
Air	15	0.0	-4.35(-10.59,2.18)	-0.14(-5.79,5.30)	6.02(0.63,11.28)*	23.28(17.67,28.82)***
Water	5	0.0	-2.03(-7.20,3.23)	3.54(-1.65,8.74)	-1.95(-7.23,3.21)	0.43(-5.19,6.18)
Water	10	0.0	-2.40(-7.90,2.87)	1.36(-3.90,6.55)	-2.76(-8.09,2.89)	0.56(-4.88,6.15)
Water	15	0.0	-1.95(-7.28,3.46)	0.55(-4.61,5.89)	-2.33(-7.50,3.00)	1.60(-4.09,7.18)
Land	5	0.0	-0.68(-5.37,3.88)	2.89(-1.52,7.53)	-0.37(-5.33,4.56)	4.83(-0.47,10.17)
Land	10	0.0	-1.62(-6.12,2.99)	3.17(-1.57,7.88)	1.31(-3.80,6.39)	6.99(1.60,12.30)**
Land	15	0.0	-0.76(-5.26,3.77)	1.44(-3.29,6.23)	0.21(-4.95,5.28)	5.90(0.82,11.02)*
Built	5	0.0	-3.12(-7.36,1.31)	-1.33(-5.90,3.27)	5.53(0.82,10.44)*	10.00(5.33,14.81)***
Built	10	0.0	-3.29(-7.89,1.35)	0.03(-4.66,4.91)	6.45(1.63,11.23)**	12.89(7.98,17.71)***
Built	15	0.0	-2.24(-6.88,2.45)	2.74(-1.92,7.49)	8.78(3.90,13.33)***	15.18(10.50,20.10)***
Social	5	0.0	-0.61(-6.23,4.96)	0.16(-4.86,5.22)	-1.27(-6.34,3.72)	1.92(-2.90,6.73)
Social	10	0.0	-0.66(-6.17,4.88)	-0.03(-5.27,5.26)	0.65(-4.33,5.79)	2.22(-2.72,7.04)
Social	15	0.0	-0.57(-6.12,4.87)	-0.35(-5.44,4.78)	1.95(-2.89,6.94)	4.07(-0.64,8.79)
Race(Indian)
EQI	5	0.0	-1.75(-6.55,3.29)	-0.84(-5.37,3.72)	2.12(-2.29,6.53)	7.93(3.58,12.33)***
EQI	10	0.0	0.48(-1.85,2.86)	-0.16(-2.30,2.03)	1.49(-0.64,3.69)	4.40(2.19,6.70)***
EQI	15	0.0	-1.26(-6.05,3.61)	-0.57(-5.36,3.89)	2.98(-1.39,7.35)	9.42(4.99,13.86)***
Air	5	0.0	-4.80(-10.65,1.13)	2.73(-2.50,7.91)	3.61(-1.46,8.67)	8.23(3.08,13.50)**
Air	10	0.0	0.50(-2.61,3.78)	3.17(0.30,6.19)*	3.98(1.07,7.06)**	6.21(3.20,9.37)***
Air	15	0.0	-4.30(-10.06,1.62)	3.52(-1.70,8.88)	6.43(1.46,11.66)*	9.71(4.37,15.04)**
Water	5	0.0	1.97(-2.87,6.87)	1.61(-3.10,6.55)	1.09(-3.81,6.09)	0.07(-5.28,5.22)
Water	10	0.0	0.96(-1.29,3.24)	0.60(-1.61,2.89)	0.80(-1.52,3.24)	0.98(-1.56,3.55)
Water	15	0.0	1.69(-3.24,6.55)	0.62(-4.22,5.56)	0.66(-4.42,5.66)	1.31(-3.96,6.55)
Land	5	0.0	0.47(-3.54,4.41)	0.40(-3.71,4.45)	-0.51(-5.17,4.14)	2.73(-2.20,7.49)
Land	10	0.0	0.17(-1.62,1.92)	0.45(-1.41,2.29)	-0.68(-2.85,1.47)	1.46(-0.79,3.64)
Land	15	0.0	-0.44(-4.48,3.68)	0.74(-3.44,5.05)	-2.12(-6.70,2.52)	2.01(-2.67,6.93)
Built	5	0.0	-2.03(-5.86,1.90)	-3.31(-7.39,0.86)	1.19(-3.06,5.43)	4.78(0.75,9.04)*
Built	10	0.0	-0.97(-2.66,0.73)	-1.17(-3.05,0.70)	-0.47(-2.33,1.39)	1.03(-0.94,3.03)
Built	15	0.0	-2.01(-6.10,2.04)	-2.96(-7.10,1.46)	1.48(-2.84,5.70)	6.85(2.52,11.09)**
Social	5	0.0	2.64(-2.13,7.59)	2.31(-2.23,6.81)	2.16(-2.26,6.61)	-1.40(-5.69,3.04)
Social	10	0.0	1.05(-1.21,3.39)	0.11(-2.12,2.46)	0.52(-1.74,2.76)	-0.69(-2.97,1.55)
Social	15	0.0	1.01(-3.88,5.97)	0.62(-3.88,5.18)	2.69(-1.68,7.04)	-2.45(-6.64,1.81)
