ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p_MRR,MRD_mean,MRD_lower,MRD_upper,p_MRD
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q2,1.2096,1.1613,1.2605,20.964,0.0002,9.28,7.33,11.2,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q3,1.3179,1.2663,1.3737,31.7904,0.0002,14.09,12.15,16.0,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q4,1.4247,1.3653,1.4891,42.4693,0.0002,18.82,16.76,20.86,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q5,1.5581,1.487,1.6297,55.813,0.0002,24.73,22.52,26.93,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q2,1.4086,1.296,1.5167,40.8584,0.0002,10.16,8.05,12.26,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q3,1.5018,1.3925,1.6145,50.1779,0.0002,14.29,12.13,16.27,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q4,1.6183,1.5037,1.7353,61.8253,0.0002,19.45,17.42,21.59,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q5,1.7794,1.6563,1.9076,77.9429,0.0002,26.6,24.26,28.96,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q2,1.4809,1.3737,1.594,48.0901,0.0002,8.62,6.45,10.8,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q3,1.5446,1.4368,1.6556,54.4599,0.0002,11.45,9.34,13.59,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q4,1.6558,1.5409,1.7714,65.5809,0.0002,16.38,14.17,18.66,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q5,1.7982,1.678,1.9258,79.8196,0.0002,22.69,20.37,25.1,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q2,1.206,1.154,1.2629,20.5984,0.0002,7.95,6.17,9.81,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.3074,1.2491,1.3706,30.7409,0.0002,11.87,10.02,13.75,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.4093,1.3462,1.4753,40.9321,0.0002,15.82,13.9,17.73,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.5424,1.47,1.6208,54.2366,0.0002,20.96,18.88,23.02,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.4276,1.317,1.5494,42.7608,0.0002,8.73,6.83,10.57,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.5137,1.3986,1.6383,51.3735,0.0002,12.06,10.11,14.0,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.6305,1.5123,1.7594,63.0503,0.0002,16.58,14.59,18.62,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.7927,1.6658,1.9309,79.2679,0.0002,22.85,20.61,25.03,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.4807,1.3679,1.6055,48.0728,0.0002,7.3,5.4,9.26,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.5313,1.4167,1.6575,53.1265,0.0002,9.25,7.31,11.31,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q4,1.6387,1.52,1.7687,63.8686,0.0002,13.41,11.37,15.42,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q5,1.7714,1.6489,1.9092,77.1382,0.0002,18.54,16.29,20.77,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q2,1.2251,1.152,1.3056,22.5129,0.0002,4.46,3.15,5.83,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q3,1.274,1.1965,1.3604,27.3996,0.0002,5.43,4.1,6.8,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q4,1.3807,1.2953,1.4762,38.0743,0.0002,7.56,6.15,9.01,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q5,1.4309,1.3374,1.5342,43.089,0.0002,8.55,7.06,10.04,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q2,1.2464,1.108,1.4036,24.6427,0.0007,3.7,2.27,5.03,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q3,1.285,1.1432,1.4374,28.4982,0.0002,4.47,3.09,5.84,0.0002
