Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,EQI,National,National,2825257,1518958033,176.33,0.1055,176.1245,176.5358,176.33 ± 0.11
2006-2010,C00_C97,All-site Cancer,EQI,Q1,Q1,108639,54149792,176.7989,0.5398,175.7492,177.8534,176.80 ± 0.54
2006-2010,C00_C97,All-site Cancer,EQI,Q2,Q2,216142,96778284,182.7814,0.396,182.0117,183.5537,182.78 ± 0.40
2006-2010,C00_C97,All-site Cancer,EQI,Q3,Q3,374287,180414358,182.7817,0.3003,182.1966,183.3682,182.78 ± 0.30
2006-2010,C00_C97,All-site Cancer,EQI,Q4,Q4,523453,260777432,182.6834,0.2538,182.1888,183.179,182.68 ± 0.25
2006-2010,C00_C97,All-site Cancer,EQI,Q5,Q5,1602736,926838167,172.3996,0.1372,172.1328,172.6667,172.40 ± 0.14
2006-2010,C18_C21,Colorectal Cancer,EQI,National,National,265107,1518958033,16.5355,0.0323,16.4727,16.5986,16.54 ± 0.03
2006-2010,C18_C21,Colorectal Cancer,EQI,Q1,Q1,10756,54149792,17.644,0.1712,17.3121,17.9806,17.64 ± 0.17
2006-2010,C18_C21,Colorectal Cancer,EQI,Q2,Q2,20130,96778284,17.121,0.1216,16.8853,17.3592,17.12 ± 0.12
2006-2010,C18_C21,Colorectal Cancer,EQI,Q3,Q3,35238,180414358,17.259,0.0924,17.0793,17.4402,17.26 ± 0.09
2006-2010,C18_C21,Colorectal Cancer,EQI,Q4,Q4,49860,260777432,17.3904,0.0783,17.2381,17.5438,17.39 ± 0.08
2006-2010,C18_C21,Colorectal Cancer,EQI,Q5,Q5,149123,926838167,15.9985,0.0417,15.9174,16.0799,16.00 ± 0.04
2006-2010,C22,Liver Cancer,EQI,National,National,91397,1518958033,5.5974,0.0186,5.5612,5.6338,5.60 ± 0.02
2006-2010,C22,Liver Cancer,EQI,Q1,Q1,3687,54149792,5.9455,0.0986,5.7551,6.1406,5.95 ± 0.10
2006-2010,C22,Liver Cancer,EQI,Q2,Q2,6587,96778284,5.5622,0.069,5.4287,5.6982,5.56 ± 0.07
2006-2010,C22,Liver Cancer,EQI,Q3,Q3,11615,180414358,5.6014,0.0523,5.5,5.7042,5.60 ± 0.05
2006-2010,C22,Liver Cancer,EQI,Q4,Q4,16217,260777432,5.5885,0.0441,5.5028,5.6752,5.59 ± 0.04
2006-2010,C22,Liver Cancer,EQI,Q5,Q5,53291,926838167,5.5965,0.0245,5.549,5.6442,5.60 ± 0.02
2006-2010,C25,Pancreatic Cancer,EQI,National,National,175132,1518958033,10.9018,0.0262,10.8508,10.953,10.90 ± 0.03
2006-2010,C25,Pancreatic Cancer,EQI,Q1,Q1,6410,54149792,10.4074,0.1307,10.1542,10.6654,10.41 ± 0.13
2006-2010,C25,Pancreatic Cancer,EQI,Q2,Q2,12604,96778284,10.5667,0.0947,10.3831,10.7529,10.57 ± 0.09
2006-2010,C25,Pancreatic Cancer,EQI,Q3,Q3,22094,180414358,10.7412,0.0726,10.6,10.8838,10.74 ± 0.07
2006-2010,C25,Pancreatic Cancer,EQI,Q4,Q4,31885,260777432,11.0846,0.0624,10.9633,11.207,11.08 ± 0.06
2006-2010,C25,Pancreatic Cancer,EQI,Q5,Q5,102139,926838167,10.9805,0.0346,10.9133,11.0481,10.98 ± 0.03
2006-2010,C34,Lung Cancer,EQI,National,National,791510,1518958033,49.4241,0.0559,49.3153,49.5331,49.42 ± 0.06
2006-2010,C34,Lung Cancer,EQI,Q1,Q1,32246,54149792,51.6022,0.289,51.0405,52.1686,51.60 ± 0.29
2006-2010,C34,Lung Cancer,EQI,Q2,Q2,67763,96778284,56.3788,0.2177,55.9551,56.8049,56.38 ± 0.22
2006-2010,C34,Lung Cancer,EQI,Q3,Q3,111382,180414358,53.9329,0.1623,53.6166,54.2506,53.93 ± 0.16
2006-2010,C34,Lung Cancer,EQI,Q4,Q4,150338,260777432,52.3222,0.1356,52.0581,52.5874,52.32 ± 0.14
2006-2010,C34,Lung Cancer,EQI,Q5,Q5,429781,926838167,46.5764,0.0716,46.4373,46.7159,46.58 ± 0.07
2006-2010,C50,Breast Cancer,EQI,National,National,205392,1518958033,12.7111,0.0282,12.6562,12.7662,12.71 ± 0.03
2006-2010,C50,Breast Cancer,EQI,Q1,Q1,7187,54149792,11.8153,0.1406,11.5437,12.0916,11.82 ± 0.14
2006-2010,C50,Breast Cancer,EQI,Q2,Q2,13659,96778284,11.7909,0.102,11.594,11.9903,11.79 ± 0.10
2006-2010,C50,Breast Cancer,EQI,Q3,Q3,25274,180414358,12.4319,0.0788,12.2791,12.5861,12.43 ± 0.08
2006-2010,C50,Breast Cancer,EQI,Q4,Q4,37259,260777432,13.0188,0.0679,12.887,13.1517,13.02 ± 0.07
2006-2010,C50,Breast Cancer,EQI,Q5,Q5,122013,926838167,12.8764,0.0372,12.8042,12.9488,12.88 ± 0.04
2006-2010,C56,Ovary Cancer,EQI,National,National,72743,1518958033,4.5134,0.0168,4.4806,4.5463,4.51 ± 0.02
2006-2010,C56,Ovary Cancer,EQI,Q1,Q1,2451,54149792,3.9899,0.0811,3.8335,4.1511,3.99 ± 0.08
2006-2010,C56,Ovary Cancer,EQI,Q2,Q2,4777,96778284,4.0468,0.059,3.9329,4.1632,4.05 ± 0.06
2006-2010,C56,Ovary Cancer,EQI,Q3,Q3,8921,180414358,4.3528,0.0463,4.2629,4.4441,4.35 ± 0.05
2006-2010,C56,Ovary Cancer,EQI,Q4,Q4,13194,260777432,4.5906,0.0402,4.5126,4.6696,4.59 ± 0.04
2006-2010,C56,Ovary Cancer,EQI,Q5,Q5,43400,926838167,4.6254,0.0224,4.582,4.6691,4.63 ± 0.02
2006-2010,C61,Prostate Cancer,EQI,National,National,142530,1518958033,9.0287,0.024,8.9818,9.0756,9.03 ± 0.02
2006-2010,C61,Prostate Cancer,EQI,Q1,Q1,5837,54149792,9.745,0.128,9.4966,9.9983,9.75 ± 0.13
2006-2010,C61,Prostate Cancer,EQI,Q2,Q2,10792,96778284,9.133,0.0881,8.9615,9.3069,9.13 ± 0.09
2006-2010,C61,Prostate Cancer,EQI,Q3,Q3,18988,180414358,9.3435,0.0679,9.2111,9.4774,9.34 ± 0.07
2006-2010,C61,Prostate Cancer,EQI,Q4,Q4,26389,260777432,9.2475,0.0571,9.1362,9.3597,9.25 ± 0.06
2006-2010,C61,Prostate Cancer,EQI,Q5,Q5,80524,926838167,8.8326,0.0313,8.7717,8.8938,8.83 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,National,National,64034,1518958033,3.9703,0.0158,3.9396,4.0012,3.97 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,Q1,Q1,2450,54149792,3.9717,0.0808,3.816,4.1321,3.97 ± 0.08
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,Q2,Q2,4966,96778284,4.1811,0.0597,4.0656,4.299,4.18 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,Q3,Q3,8737,180414358,4.2402,0.0456,4.1517,4.33,4.24 ± 0.05
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,Q4,Q4,12122,260777432,4.2025,0.0384,4.128,4.278,4.20 ± 0.04
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,EQI,Q5,Q5,35759,926838167,3.8221,0.0204,3.7826,3.862,3.82 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,National,National,101990,1518958033,6.4321,0.0202,6.3927,6.4717,6.43 ± 0.02
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,Q1,Q1,3560,54149792,5.8832,0.0992,5.6915,6.0797,5.88 ± 0.10
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,Q2,Q2,7389,96778284,6.3049,0.0738,6.162,6.4504,6.30 ± 0.07
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,Q3,Q3,13260,180414358,6.5454,0.0571,6.4345,6.6578,6.55 ± 0.06
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,Q4,Q4,18668,260777432,6.5635,0.0483,6.4696,6.6583,6.56 ± 0.05
2006-2010,C82_C85,Non-Hodgkin Lymphoma,EQI,Q5,Q5,59113,926838167,6.4265,0.0266,6.3748,6.4785,6.43 ± 0.03
2006-2010,C91_C95,Leukemia,EQI,National,National,110573,1518958033,7.0051,0.0212,6.9639,7.0466,7.01 ± 0.02
2006-2010,C91_C95,Leukemia,EQI,Q1,Q1,3997,54149792,6.6731,0.1062,6.4678,6.8833,6.67 ± 0.11
2006-2010,C91_C95,Leukemia,EQI,Q2,Q2,7903,96778284,6.8072,0.0772,6.6579,6.9589,6.81 ± 0.08
2006-2010,C91_C95,Leukemia,EQI,Q3,Q3,14144,180414358,7.03,0.0594,6.9146,7.1468,7.03 ± 0.06
2006-2010,C91_C95,Leukemia,EQI,Q4,Q4,20041,260777432,7.093,0.0504,6.9951,7.1918,7.09 ± 0.05
2006-2010,C91_C95,Leukemia,EQI,Q5,Q5,64488,926838167,7.0269,0.0278,6.9728,7.0814,7.03 ± 0.03
2006-2010,F01,Vascular Dementia (VD),EQI,National,National,46177,1518958033,2.8873,0.0135,2.861,2.9137,2.89 ± 0.01
2006-2010,F01,Vascular Dementia (VD),EQI,Q1,Q1,1203,54149792,2.0793,0.06,1.9635,2.2002,2.08 ± 0.06
2006-2010,F01,Vascular Dementia (VD),EQI,Q2,Q2,2670,96778284,2.3079,0.0447,2.2212,2.3971,2.31 ± 0.04
2006-2010,F01,Vascular Dementia (VD),EQI,Q3,Q3,5317,180414358,2.6227,0.036,2.5527,2.6941,2.62 ± 0.04
2006-2010,F01,Vascular Dementia (VD),EQI,Q4,Q4,7812,260777432,2.7006,0.0306,2.6411,2.7612,2.70 ± 0.03
2006-2010,F01,Vascular Dementia (VD),EQI,Q5,Q5,29175,926838167,3.1245,0.0184,3.0887,3.1606,3.12 ± 0.02
2006-2010,F03,Unspecified Dementia (UD),EQI,National,National,403763,1518958033,25.1473,0.0397,25.0698,25.225,25.15 ± 0.04
2006-2010,F03,Unspecified Dementia (UD),EQI,Q1,Q1,11774,54149792,20.4398,0.1885,20.0722,20.8123,20.44 ± 0.19
2006-2010,F03,Unspecified Dementia (UD),EQI,Q2,Q2,28447,96778284,24.6292,0.1461,24.3438,24.9171,24.63 ± 0.15
2006-2010,F03,Unspecified Dementia (UD),EQI,Q3,Q3,49833,180414358,24.5588,0.1101,24.3437,24.7754,24.56 ± 0.11
2006-2010,F03,Unspecified Dementia (UD),EQI,Q4,Q4,73092,260777432,25.1528,0.0932,24.9707,25.3358,25.15 ± 0.09
2006-2010,F03,Unspecified Dementia (UD),EQI,Q5,Q5,240617,926838167,25.6198,0.0524,25.5176,25.7224,25.62 ± 0.05
2006-2010,G10,Huntington's Disease (HD),EQI,National,National,4408,1518958033,0.2713,0.0041,0.2634,0.2794,0.27 ± 0.00
2006-2010,G10,Huntington's Disease (HD),EQI,Q1,Q1,120,54149792,0.1974,0.0182,0.1637,0.2361,0.20 ± 0.02
2006-2010,G10,Huntington's Disease (HD),EQI,Q2,Q2,296,96778284,0.2642,0.0156,0.235,0.2961,0.26 ± 0.02
2006-2010,G10,Huntington's Disease (HD),EQI,Q3,Q3,560,180414358,0.2794,0.012,0.2567,0.3035,0.28 ± 0.01
2006-2010,G10,Huntington's Disease (HD),EQI,Q4,Q4,837,260777432,0.2973,0.0104,0.2775,0.3182,0.30 ± 0.01
2006-2010,G10,Huntington's Disease (HD),EQI,Q5,Q5,2595,926838167,0.2686,0.0053,0.2583,0.2791,0.27 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),EQI,National,National,31178,1518958033,1.9436,0.0111,1.9221,1.9653,1.94 ± 0.01
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),EQI,Q1,Q1,903,54149792,1.4454,0.0484,1.3526,1.5428,1.45 ± 0.05
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),EQI,Q2,Q2,2009,96778284,1.6951,0.0381,1.6217,1.7708,1.70 ± 0.04
2006-2010,G12.2,Amyotrophic Lateral Sclerosis (ALS),EQI,Q3,Q3,3715,180414358,1.8074,0.0298,1.7497,1.8664,1.81 ± 0.03
