Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C00_C97,All-site Cancer,LandUse,0,Natural,1038943,571554533,174.8544,0.1727,174.5184,175.191,174.85 ± 0.17
2006-2010,C00_C97,All-site Cancer,LandUse,1,Water-Sensitive,527656,249881527,176.3341,0.2439,175.8586,176.8105,176.33 ± 0.24
2006-2010,C00_C97,All-site Cancer,LandUse,2,Agricultural,495596,256231205,180.9085,0.2584,180.4052,181.4129,180.91 ± 0.26
2006-2010,C00_C97,All-site Cancer,LandUse,3,Urban,763064,441345687,175.6229,0.2025,175.2291,176.0174,175.62 ± 0.20
2006-2010,C00_C97,All-site Cancer,LandUse,National,National,2825259,1519012952,176.3254,0.1055,176.1199,176.5312,176.33 ± 0.11
2006-2010,C18_C21,Colorectal Cancer,LandUse,0,Natural,96302,571554533,16.2547,0.0527,16.1522,16.3577,16.25 ± 0.05
2006-2010,C18_C21,Colorectal Cancer,LandUse,1,Water-Sensitive,48089,249881527,16.036,0.0735,15.893,16.1799,16.04 ± 0.07
2006-2010,C18_C21,Colorectal Cancer,LandUse,2,Agricultural,47355,256231205,17.2301,0.0796,17.0752,17.3859,17.23 ± 0.08
2006-2010,C18_C21,Colorectal Cancer,LandUse,3,Urban,73353,441345687,16.8373,0.0626,16.7157,16.9596,16.84 ± 0.06
2006-2010,C18_C21,Colorectal Cancer,LandUse,National,National,265099,1519012952,16.5347,0.0323,16.4718,16.5977,16.53 ± 0.03
2006-2010,C22,Liver Cancer,LandUse,0,Natural,33367,571554533,5.4947,0.0303,5.4359,5.5539,5.49 ± 0.03
2006-2010,C22,Liver Cancer,LandUse,1,Water-Sensitive,17019,249881527,5.6479,0.0435,5.5634,5.7334,5.65 ± 0.04
2006-2010,C22,Liver Cancer,LandUse,2,Agricultural,13584,256231205,4.8913,0.0422,4.8094,4.9743,4.89 ± 0.04
2006-2010,C22,Liver Cancer,LandUse,3,Urban,27427,441345687,6.1462,0.0374,6.0737,6.2194,6.15 ± 0.04
2006-2010,C22,Liver Cancer,LandUse,National,National,91397,1519012952,5.5972,0.0186,5.561,5.6336,5.60 ± 0.02
2006-2010,C25,Pancreatic Cancer,LandUse,0,Natural,63163,571554533,10.5928,0.0424,10.5104,10.6758,10.59 ± 0.04
2006-2010,C25,Pancreatic Cancer,LandUse,1,Water-Sensitive,33383,249881527,11.0895,0.0609,10.9708,11.2091,11.09 ± 0.06
2006-2010,C25,Pancreatic Cancer,LandUse,2,Agricultural,29459,256231205,10.7173,0.0628,10.5953,10.8404,10.72 ± 0.06
2006-2010,C25,Pancreatic Cancer,LandUse,3,Urban,49137,441345687,11.3284,0.0515,11.2284,11.429,11.33 ± 0.05
2006-2010,C25,Pancreatic Cancer,LandUse,National,National,175142,1519012952,10.9022,0.0262,10.8512,10.9534,10.90 ± 0.03
2006-2010,C34,Lung Cancer,LandUse,0,Natural,293811,571554533,49.2625,0.0915,49.0845,49.4409,49.26 ± 0.09
2006-2010,C34,Lung Cancer,LandUse,1,Water-Sensitive,150939,249881527,50.2162,0.1297,49.9632,50.4702,50.22 ± 0.13
2006-2010,C34,Lung Cancer,LandUse,2,Agricultural,144848,256231205,52.9726,0.1399,52.7001,53.2461,52.97 ± 0.14
2006-2010,C34,Lung Cancer,LandUse,3,Urban,201900,441345687,46.9051,0.1052,46.7007,47.1102,46.91 ± 0.11
2006-2010,C34,Lung Cancer,LandUse,National,National,791498,1519012952,49.4221,0.0558,49.3133,49.5311,49.42 ± 0.06
2006-2010,C50,Breast Cancer,LandUse,0,Natural,73274,571554533,12.2057,0.0454,12.1175,12.2944,12.21 ± 0.05
2006-2010,C50,Breast Cancer,LandUse,1,Water-Sensitive,36808,249881527,12.4109,0.0652,12.2844,12.5384,12.41 ± 0.07
2006-2010,C50,Breast Cancer,LandUse,2,Agricultural,34335,256231205,12.462,0.0677,12.3305,12.5945,12.46 ± 0.07
2006-2010,C50,Breast Cancer,LandUse,3,Urban,60991,441345687,13.7734,0.0562,13.6643,13.8832,13.77 ± 0.06
2006-2010,C50,Breast Cancer,LandUse,National,National,205408,1519012952,12.7118,0.0282,12.6569,12.7669,12.71 ± 0.03
2006-2010,C56,Ovary Cancer,LandUse,0,Natural,27099,571554533,4.5247,0.0277,4.471,4.5789,4.52 ± 0.03
2006-2010,C56,Ovary Cancer,LandUse,1,Water-Sensitive,12941,249881527,4.3236,0.0382,4.2494,4.3988,4.32 ± 0.04
2006-2010,C56,Ovary Cancer,LandUse,2,Agricultural,12468,256231205,4.5386,0.0409,4.4593,4.6189,4.54 ± 0.04
2006-2010,C56,Ovary Cancer,LandUse,3,Urban,20235,441345687,4.6205,0.0327,4.557,4.6846,4.62 ± 0.03
2006-2010,C56,Ovary Cancer,LandUse,National,National,72743,1519012952,4.5132,0.0168,4.4805,4.5461,4.51 ± 0.02
2006-2010,C61,Prostate Cancer,LandUse,0,Natural,53254,571554533,9.2464,0.0402,9.1681,9.3253,9.25 ± 0.04
2006-2010,C61,Prostate Cancer,LandUse,1,Water-Sensitive,26499,249881527,8.754,0.0539,8.649,8.8601,8.75 ± 0.05
2006-2010,C61,Prostate Cancer,LandUse,2,Agricultural,24179,256231205,8.8657,0.0572,8.7543,8.9781,8.87 ± 0.06
2006-2010,C61,Prostate Cancer,LandUse,3,Urban,38600,441345687,9.0463,0.0463,8.9563,9.137,9.05 ± 0.05
2006-2010,C61,Prostate Cancer,LandUse,National,National,142532,1519012952,9.0286,0.024,8.9818,9.0756,9.03 ± 0.02
