ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
"C00_C97","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB+UN+PD+DB+FC","0.00","10.32(7.88,12.78)","12.61(10.15,15.13)","12.93(10.44,15.49)","14.49(11.55,17.36)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0019","1.0032","1.0023",2859,2374,2173,2231,3404,3216,3380,3191,"4.51(4.17,4.83)","0.0002","1.0012",2615,3631,"-0.36(-0.51,-0.21)","0.0002","1.0007",1979,2865,"0.61(0.20,1.01)","0.0044","1.0026",1822,2597,"-1.73(-2.08,-1.38)","0.0002","1.0014",1803,2977,"0.02(0.01,0.03)","0.0002","1.0022",5075,3802,"3.93(2.72,5.12)","0.0002","1.0030",1751,2404,"0.07(0.03,0.11)","0.0006","1.0013",2760,3574
"C00_C97","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB+UN+PD+DB+FC","0.00","1.80(-0.76,4.37)","1.59(-1.36,4.40)","1.62(-1.50,4.64)","3.17(-0.52,6.81)","0.1743","0.2839","0.3256","0.1006","1.0014","1.0018","1.0023","1.0018",2023,1638,1423,1410,3007,2633,2282,2341,"4.51(4.17,4.83)","0.0002","1.0012",2615,3631,"-0.36(-0.51,-0.21)","0.0002","1.0007",1979,2865,"0.61(0.20,1.01)","0.0044","1.0026",1822,2597,"-1.73(-2.08,-1.38)","0.0002","1.0014",1803,2977,"0.02(0.01,0.03)","0.0002","1.0022",5075,3802,"3.93(2.72,5.12)","0.0002","1.0030",1751,2404,"0.07(0.03,0.11)","0.0006","1.0013",2760,3574
"C00_C97","2000_2005","2021_2024",20,"EQI+SM+PA+OB+UN","0.00","15.32(12.01,18.69)","16.02(12.64,19.40)","16.00(12.37,19.71)","17.58(13.49,21.82)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0010","1.0014","1.0016",2611,2295,1835,1894,2694,3031,2419,2057,"5.70(5.24,6.15)","0.0002","1.0001",2631,3231,"-0.62(-0.78,-0.46)","0.0002","1.0009",1828,3118,"1.93(1.55,2.32)","0.0002","1.0013",2366,2783,"-1.05(-1.52,-0.59)","0.0002","1.0005",2274,3132,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB+UN","0.00","14.78(11.38,18.14)","15.29(11.77,18.76)","12.33(8.59,15.94)","8.04(4.03,11.95)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0005","1.0010","1.0008",3338,2691,2464,2407,3829,3610,3251,2792,"5.64(5.17,6.11)","0.0002","1.0009",3049,3449,"-0.58(-0.77,-0.40)","0.0002","1.0011",2009,2915,"1.69(1.31,2.07)","0.0002","1.0010",2745,3677,"-1.25(-1.73,-0.77)","0.0002","1.0029",2728,3188,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB+UN","0.00","-2.72(-6.60,1.19)","1.80(-2.26,5.89)","6.38(2.27,10.38)","3.62(-0.90,8.13)","0.1739","0.3872","0.0023","0.1135","1.0008","1.0014","1.0018","1.0003",2924,2272,2424,2436,3546,3685,3291,3213,"5.64(5.17,6.11)","0.0002","1.0009",3049,3449,"-0.58(-0.77,-0.40)","0.0002","1.0011",2009,2915,"1.69(1.31,2.07)","0.0002","1.0010",2745,3677,"-1.25(-1.73,-0.77)","0.0002","1.0029",2728,3188,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Land+SM+PA+OB+UN","0.00","-0.62(-3.70,2.48)","0.94(-2.44,4.42)","1.74(-1.97,5.53)","4.01(0.09,8.16)","0.6992","0.5830","0.3522","0.0460","1.0006","1.0004","1.0006","1.0005",3547,3032,2622,2572,3780,3656,3425,2973,"5.64(5.17,6.11)","0.0002","1.0009",3049,3449,"-0.58(-0.77,-0.40)","0.0002","1.0011",2009,2915,"1.69(1.31,2.07)","0.0002","1.0010",2745,3677,"-1.25(-1.73,-0.77)","0.0002","1.0029",2728,3188,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Built+SM+PA+OB+UN","0.00","12.34(9.22,15.50)","13.97(10.70,17.12)","16.24(12.99,19.55)","18.92(15.46,22.45)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0001","1.0015","1.0016",3503,3015,2939,2797,3915,3900,3633,3589,"5.64(5.17,6.11)","0.0002","1.0009",3049,3449,"-0.58(-0.77,-0.40)","0.0002","1.0011",2009,2915,"1.69(1.31,2.07)","0.0002","1.0010",2745,3677,"-1.25(-1.73,-0.77)","0.0002","1.0029",2728,3188,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Social+SM+PA+OB+UN","0.00","-0.82(-4.03,2.38)","-6.22(-9.69,-2.81)","-3.56(-7.31,0.25)","-3.87(-8.20,0.60)","0.6138","0.0002","0.0685","0.0881","1.0016","1.0012","1.0018","1.0024",3177,2844,2592,2188,3376,3454,3753,2966,"5.64(5.17,6.11)","0.0002","1.0009",3049,3449,"-0.58(-0.77,-0.40)","0.0002","1.0011",2009,2915,"1.69(1.31,2.07)","0.0002","1.0010",2745,3677,"-1.25(-1.73,-0.77)","0.0002","1.0029",2728,3188,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI+SM+PA+OB+PD","0.00","15.20(11.85,18.54)","15.97(12.68,19.36)","15.54(11.89,19.27)","15.96(11.86,20.21)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0009","1.0010","1.0020",2700,2228,1908,1750,3237,2805,2442,2423,"5.55(5.11,5.99)","0.0002","1.0017",1988,2535,"-0.74(-0.91,-0.57)","0.0002","1.0033",1420,2358,"2.02(1.64,2.40)","0.0002","1.0011",1797,2712,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0000",3690,3623,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB+PD","0.00","14.77(11.28,18.22)","15.66(12.19,19.21)","12.38(8.79,16.06)","7.11(3.08,11.13)","0.0002","0.0002","0.0002","0.0006","1.0010","1.0004","1.0005","1.0003",3431,3022,2559,2573,3420,3480,3361,3504,"5.51(5.07,5.96)","0.0002","1.0010",3573,3360,"-0.70(-0.88,-0.51)","0.0002","1.0012",2031,3153,"1.69(1.31,2.07)","0.0002","1.0010",3173,4005,"",NA,"NA",NA,NA,"0.02(0.01,0.03)","0.0002","1.0002",5611,3758,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
