ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",5,"RUCC_4_EQI","2.23(-2.15,6.81)","5.64(1.73,9.72)**","1.50(-2.34,5.27)","-0.63(-2.17,0.91)","0.3322","0.0069","1.0007","1.0004",4551,4176,3734,3526,1.0012,668
"G20_G30_G12.2_F01_F03",5,"RUCC_4_Air","2.75(-4.85,10.39)","5.80(2.16,9.48)**","2.28(-0.81,5.62)","-0.27(-1.76,1.29)","0.4805","0.0048","1.0010","1.0023",8129,5767,3385,3486,1.0023,668
"G20_G30_G12.2_F01_F03",5,"RUCC_4_Water","2.64(-2.25,7.63)","-3.91(-8.39,0.56)","5.10(2.26,8.19)***","-0.52(-2.02,0.97)","0.2989","0.0994","1.0027","1.0006",9442,8053,3424,3581,1.0027,668
"G20_G30_G12.2_F01_F03",5,"RUCC_4_Land","-2.95(-6.82,0.88)","3.87(-0.25,7.82)","4.40(0.95,7.93)*","-0.87(-2.41,0.64)","0.1289","0.0673","1.0010","1.0017",5797,5249,4036,3644,1.0022,668
"G20_G30_G12.2_F01_F03",5,"RUCC_4_Built","1.52(-3.00,6.12)","2.30(-2.12,6.58)","3.07(-1.37,7.72)","-0.68(-2.21,0.88)","0.5176","0.2968","1.0003","1.0012",4875,4830,4035,3767,1.0019,668
"G20_G30_G12.2_F01_F03",5,"RUCC_4_Social","4.14(-1.08,9.25)","1.69(-2.47,5.99)","3.06(-1.26,7.50)","-0.57(-2.08,0.91)","0.1214","0.4476","1.0003","1.0017",4306,3781,3923,3750,1.0017,668
"G20_G30_G12.2_F01_F03",10,"EQI","-0.65(-1.87,0.57)","0.70(-0.65,2.02)","1.41(-0.14,3.03)","-0.08(-0.56,0.40)","0.3093","0.3189","1.0021","0.9999",4263,4646,3688,3696,1.0021,3136
"G20_G30_G12.2_F01_F03",10,"Air","-2.69(-3.84,-1.48)***","0.09(-1.32,1.54)","2.28(0.78,3.77)**","-0.17(-0.63,0.29)","0.0002","0.9121","1.0003","1.0018",6059,6218,3771,3690,1.0024,3136
"G20_G30_G12.2_F01_F03",10,"Water","-0.64(-2.56,1.24)","0.71(-0.95,2.35)","1.22(-0.24,2.69)","-0.07(-0.52,0.38)","0.5164","0.4172","1.0005","1.0006",5194,5119,3795,3786,1.0018,3136
"G20_G30_G12.2_F01_F03",10,"Land","-1.51(-2.77,-0.27)*","-0.24(-1.62,1.14)","1.97(0.30,3.68)*","-0.09(-0.55,0.37)","0.0165","0.7396","1.0012","1.0007",5389,5903,3585,3431,1.0032,3136
"G20_G30_G12.2_F01_F03",10,"Built","0.45(-1.00,1.98)","-0.03(-1.59,1.52)","0.99(-0.82,2.89)","-0.08(-0.53,0.37)","0.5522","0.9596","1.0027","1.0020",4636,4453,3893,3787,1.0027,3136
"G20_G30_G12.2_F01_F03",10,"Social","-2.08(-3.71,-0.47)*","1.50(-0.26,3.25)","1.66(-0.35,3.61)","-0.35(-0.81,0.12)","0.0123","0.0973","1.0013","1.0008",3755,3995,3523,3894,1.0051,3136
"G20_G30_G12.2_F01_F03",10,"RUCC_1_EQI","-0.40(-1.80,1.00)","1.20(-0.60,2.97)","-0.27(-2.39,1.80)","-0.00(-0.58,0.57)","0.5705","0.2010","1.0002","1.0018",4935,5915,3581,3910,1.0031,1088
